seq,src,dst,noise,received,error,rssi
1,node5-2,node3-8,-10,True,False,7
2,node5-2,node3-8,-10,True,False,6
3,node5-2,node3-8,-10,True,False,3
4,node5-2,node3-8,-10,True,False,3
5,node5-2,node3-8,-10,False,False,0
6,node5-2,node3-8,-10,True,False,5
7,node5-2,node3-8,-10,True,False,4
8,node5-2,node3-8,-10,True,False,6
9,node5-2,node3-8,-10,False,False,0
10,node5-2,node3-8,-10,True,False,3
11,node5-2,node3-8,-10,True,False,2
12,node5-2,node3-8,-10,False,False,0
13,node5-2,node3-8,-10,False,False,0
14,node5-2,node3-8,-10,True,False,1
15,node5-2,node3-8,-10,True,False,2
16,node5-2,node3-8,-10,True,False,4
17,node5-2,node3-8,-10,False,False,0
18,node5-2,node3-8,-10,True,False,5
19,node5-2,node3-8,-10,True,False,4
20,node5-2,node3-8,-10,True,False,3
21,node5-2,node3-8,-10,False,False,0
22,node5-2,node3-8,-10,False,False,0
23,node5-2,node3-8,-10,True,False,5
24,node5-2,node3-8,-10,False,True,0
25,node5-2,node3-8,-10,False,False,0
26,node5-2,node3-8,-10,True,False,3
27,node5-2,node3-8,-10,True,False,4
28,node5-2,node3-8,-10,True,False,4
29,node5-2,node3-8,-10,True,False,4
30,node5-2,node3-8,-10,False,False,0
31,node5-2,node3-8,-10,False,False,0
32,node5-2,node3-8,-10,True,False,4
33,node5-2,node3-8,-10,True,False,5
34,node5-2,node3-8,-10,True,False,4
35,node5-2,node3-8,-10,True,False,2
36,node5-2,node3-8,-10,False,False,0
37,node5-2,node3-8,-10,True,False,6
38,node5-2,node3-8,-10,True,False,3
39,node5-2,node3-8,-10,False,False,0
40,node5-2,node3-8,-10,True,False,3
41,node5-2,node3-8,-10,True,False,6
42,node5-2,node3-8,-10,False,False,0
43,node5-2,node3-8,-10,True,False,2
44,node5-2,node3-8,-10,False,False,0
45,node5-2,node3-8,-10,True,False,3
46,node5-2,node3-8,-10,False,True,0
47,node5-2,node3-8,-10,True,False,4
48,node5-2,node3-8,-10,True,False,3
49,node5-2,node3-8,-10,True,False,3
50,node5-2,node3-8,-10,True,False,4
51,node5-2,node3-8,-10,True,False,3
52,node5-2,node3-8,-10,True,False,4
53,node5-2,node3-8,-10,True,False,4
54,node5-2,node3-8,-10,False,False,0
55,node5-2,node3-8,-10,True,False,6
56,node5-2,node3-8,-10,True,False,4
57,node5-2,node3-8,-10,False,False,0
58,node5-2,node3-8,-10,True,False,2
59,node5-2,node3-8,-10,True,False,4
60,node5-2,node3-8,-10,True,False,4
61,node5-2,node3-8,-10,False,False,0
62,node5-2,node3-8,-10,True,False,3
63,node5-2,node3-8,-10,True,False,6
64,node5-2,node3-8,-10,True,False,5
65,node5-2,node3-8,-10,True,False,5
66,node5-2,node3-8,-10,False,False,0
67,node5-2,node3-8,-10,True,False,0
68,node5-2,node3-8,-10,False,False,0
69,node5-2,node3-8,-10,False,False,0
70,node5-2,node3-8,-10,True,False,3
71,node5-2,node3-8,-10,True,False,3
