seq,src,dst,noise,received,error,rssi
1,node3-4,node5-8,-10,True,False,7
2,node3-4,node5-8,-10,True,False,4
3,node3-4,node5-8,-10,True,False,3
4,node3-4,node5-8,-10,True,False,2
5,node3-4,node5-8,-10,True,False,3
6,node3-4,node5-8,-10,False,False,0
7,node3-4,node5-8,-10,True,False,4
8,node3-4,node5-8,-10,True,False,4
9,node3-4,node5-8,-10,True,False,4
10,node3-4,node5-8,-10,True,False,4
11,node3-4,node5-8,-10,True,False,3
12,node3-4,node5-8,-10,True,False,3
13,node3-4,node5-8,-10,True,False,4
14,node3-4,node5-8,-10,True,False,3
15,node3-4,node5-8,-10,True,False,3
16,node3-4,node5-8,-10,True,False,3
17,node3-4,node5-8,-10,True,False,3
18,node3-4,node5-8,-10,True,False,2
19,node3-4,node5-8,-10,True,False,4
20,node3-4,node5-8,-10,False,False,0
21,node3-4,node5-8,-10,True,False,3
22,node3-4,node5-8,-10,True,False,1
23,node3-4,node5-8,-10,True,False,2
24,node3-4,node5-8,-10,True,False,2
25,node3-4,node5-8,-10,True,False,4
26,node3-4,node5-8,-10,True,False,2
27,node3-4,node5-8,-10,False,False,0
28,node3-4,node5-8,-10,True,False,2
29,node3-4,node5-8,-10,True,False,3
30,node3-4,node5-8,-10,True,False,4
31,node3-4,node5-8,-10,True,False,3
32,node3-4,node5-8,-10,True,False,4
33,node3-4,node5-8,-10,True,False,3
34,node3-4,node5-8,-10,True,False,4
35,node3-4,node5-8,-10,True,False,3
36,node3-4,node5-8,-10,True,False,2
37,node3-4,node5-8,-10,True,False,1
38,node3-4,node5-8,-10,True,False,1
39,node3-4,node5-8,-10,True,False,1
40,node3-4,node5-8,-10,True,False,5
41,node3-4,node5-8,-10,True,False,4
42,node3-4,node5-8,-10,True,False,4
43,node3-4,node5-8,-10,True,False,3
44,node3-4,node5-8,-10,True,False,3
45,node3-4,node5-8,-10,True,False,2
46,node3-4,node5-8,-10,False,False,0
47,node3-4,node5-8,-10,True,False,3
48,node3-4,node5-8,-10,True,False,3
49,node3-4,node5-8,-10,True,False,4
50,node3-4,node5-8,-10,True,False,2
51,node3-4,node5-8,-10,True,False,4
52,node3-4,node5-8,-10,True,False,1
53,node3-4,node5-8,-10,True,False,4
54,node3-4,node5-8,-10,True,False,1
55,node3-4,node5-8,-10,True,False,3
56,node3-4,node5-8,-10,True,False,4
57,node3-4,node5-8,-10,True,False,2
58,node3-4,node5-8,-10,True,False,4
59,node3-4,node5-8,-10,False,False,0
60,node3-4,node5-8,-10,True,False,2
