seq,src,dst,noise,received,error,rssi
1,node3-6,node4-1,-15,True,False,11
2,node3-6,node4-1,-15,True,False,10
3,node3-6,node4-1,-15,True,False,7
4,node3-6,node4-1,-15,True,False,4
5,node3-6,node4-1,-15,True,False,4
6,node3-6,node4-1,-15,True,False,4
7,node3-6,node4-1,-15,True,False,2
8,node3-6,node4-1,-15,True,False,4
9,node3-6,node4-1,-15,True,False,3
10,node3-6,node4-1,-15,True,False,5
11,node3-6,node4-1,-15,True,False,5
12,node3-6,node4-1,-15,True,False,3
13,node3-6,node4-1,-15,True,False,4
14,node3-6,node4-1,-15,True,False,4
15,node3-6,node4-1,-15,True,False,4
16,node3-6,node4-1,-15,True,False,3
17,node3-6,node4-1,-15,True,False,5
18,node3-6,node4-1,-15,True,False,4
19,node3-6,node4-1,-15,True,False,4
20,node3-6,node4-1,-15,True,False,2
21,node3-6,node4-1,-15,True,False,3
22,node3-6,node4-1,-15,True,False,3
23,node3-6,node4-1,-15,True,False,2
24,node3-6,node4-1,-15,False,False,0
25,node3-6,node4-1,-15,True,False,4
26,node3-6,node4-1,-15,True,False,5
27,node3-6,node4-1,-15,True,False,4
28,node3-6,node4-1,-15,True,False,3
29,node3-6,node4-1,-15,True,False,6
30,node3-6,node4-1,-15,True,False,4
31,node3-6,node4-1,-15,True,False,4
32,node3-6,node4-1,-15,True,False,4
33,node3-6,node4-1,-15,True,False,3
34,node3-6,node4-1,-15,True,False,4
35,node3-6,node4-1,-15,True,False,5
36,node3-6,node4-1,-15,True,False,3
37,node3-6,node4-1,-15,True,False,4
38,node3-6,node4-1,-15,True,False,4
39,node3-6,node4-1,-15,True,False,5
40,node3-6,node4-1,-15,True,False,4
41,node3-6,node4-1,-15,True,False,6
42,node3-6,node4-1,-15,True,False,5
43,node3-6,node4-1,-15,True,False,4
44,node3-6,node4-1,-15,True,False,4
45,node3-6,node4-1,-15,True,False,4
46,node3-6,node4-1,-15,True,False,4
47,node3-6,node4-1,-15,True,False,5
48,node3-6,node4-1,-15,True,False,4
49,node3-6,node4-1,-15,True,False,4
50,node3-6,node4-1,-15,True,False,4
51,node3-6,node4-1,-15,True,False,4
52,node3-6,node4-1,-15,True,False,3
