seq,src,dst,noise,received,error,rssi
1,node4-3,node2-5,-5,True,False,16
2,node4-3,node2-5,-5,True,False,13
3,node4-3,node2-5,-5,True,False,11
4,node4-3,node2-5,-5,True,False,7
5,node4-3,node2-5,-5,True,False,7
6,node4-3,node2-5,-5,True,False,8
7,node4-3,node2-5,-5,True,False,8
8,node4-3,node2-5,-5,True,False,9
9,node4-3,node2-5,-5,True,False,8
10,node4-3,node2-5,-5,True,False,8
11,node4-3,node2-5,-5,True,False,8
12,node4-3,node2-5,-5,True,False,8
13,node4-3,node2-5,-5,True,False,8
14,node4-3,node2-5,-5,True,False,7
15,node4-3,node2-5,-5,True,False,8
16,node4-3,node2-5,-5,True,False,7
17,node4-3,node2-5,-5,True,False,8
18,node4-3,node2-5,-5,True,False,10
19,node4-3,node2-5,-5,True,False,8
20,node4-3,node2-5,-5,True,False,8
21,node4-3,node2-5,-5,True,False,7
22,node4-3,node2-5,-5,True,False,8
23,node4-3,node2-5,-5,True,False,8
24,node4-3,node2-5,-5,True,False,8
25,node4-3,node2-5,-5,True,False,8
26,node4-3,node2-5,-5,True,False,7
27,node4-3,node2-5,-5,True,False,8
28,node4-3,node2-5,-5,True,False,8
29,node4-3,node2-5,-5,True,False,8
30,node4-3,node2-5,-5,True,False,9
31,node4-3,node2-5,-5,True,False,7
32,node4-3,node2-5,-5,True,False,8
33,node4-3,node2-5,-5,True,False,7
34,node4-3,node2-5,-5,True,False,8
35,node4-3,node2-5,-5,True,False,8
36,node4-3,node2-5,-5,True,False,8
37,node4-3,node2-5,-5,True,False,8
38,node4-3,node2-5,-5,True,False,7
39,node4-3,node2-5,-5,True,False,9
40,node4-3,node2-5,-5,True,False,8
41,node4-3,node2-5,-5,True,False,9
42,node4-3,node2-5,-5,True,False,6
43,node4-3,node2-5,-5,True,False,9
44,node4-3,node2-5,-5,True,False,7
45,node4-3,node2-5,-5,True,False,8
46,node4-3,node2-5,-5,True,False,7
47,node4-3,node2-5,-5,True,False,8
48,node4-3,node2-5,-5,True,False,8
49,node4-3,node2-5,-5,True,False,8
50,node4-3,node2-5,-5,True,False,7
