seq,src,dst,noise,received,error,rssi
1,node1-6,node4-1,-20,True,False,22
2,node1-6,node4-1,-20,True,False,20
3,node1-6,node4-1,-20,True,False,16
4,node1-6,node4-1,-20,True,False,17
5,node1-6,node4-1,-20,True,False,17
6,node1-6,node4-1,-20,True,False,18
7,node1-6,node4-1,-20,True,False,17
8,node1-6,node4-1,-20,True,False,15
9,node1-6,node4-1,-20,True,False,17
10,node1-6,node4-1,-20,True,False,17
11,node1-6,node4-1,-20,True,False,18
12,node1-6,node4-1,-20,True,False,17
13,node1-6,node4-1,-20,True,False,16
14,node1-6,node4-1,-20,True,False,18
15,node1-6,node4-1,-20,True,False,18
16,node1-6,node4-1,-20,True,False,18
17,node1-6,node4-1,-20,True,False,16
18,node1-6,node4-1,-20,True,False,18
19,node1-6,node4-1,-20,True,False,17
20,node1-6,node4-1,-20,True,False,16
21,node1-6,node4-1,-20,True,False,17
22,node1-6,node4-1,-20,True,False,18
23,node1-6,node4-1,-20,True,False,16
24,node1-6,node4-1,-20,True,False,18
25,node1-6,node4-1,-20,True,False,16
26,node1-6,node4-1,-20,True,False,18
27,node1-6,node4-1,-20,True,False,18
28,node1-6,node4-1,-20,True,False,17
29,node1-6,node4-1,-20,True,False,17
30,node1-6,node4-1,-20,True,False,18
31,node1-6,node4-1,-20,True,False,18
32,node1-6,node4-1,-20,True,False,18
33,node1-6,node4-1,-20,True,False,17
34,node1-6,node4-1,-20,True,False,18
35,node1-6,node4-1,-20,True,False,16
36,node1-6,node4-1,-20,True,False,18
37,node1-6,node4-1,-20,True,False,16
38,node1-6,node4-1,-20,True,False,18
39,node1-6,node4-1,-20,True,False,17
40,node1-6,node4-1,-20,True,False,18
41,node1-6,node4-1,-20,True,False,17
42,node1-6,node4-1,-20,True,False,17
43,node1-6,node4-1,-20,True,False,16
44,node1-6,node4-1,-20,True,False,18
45,node1-6,node4-1,-20,True,False,19
46,node1-6,node4-1,-20,True,False,17
47,node1-6,node4-1,-20,True,False,18
48,node1-6,node4-1,-20,True,False,16
49,node1-6,node4-1,-20,True,False,18
50,node1-6,node4-1,-20,True,False,18
51,node1-6,node4-1,-20,True,False,17
52,node1-6,node4-1,-20,True,False,18
53,node1-6,node4-1,-20,True,False,16
54,node1-6,node4-1,-20,True,False,17
55,node1-6,node4-1,-20,True,False,17
56,node1-6,node4-1,-20,True,False,18
57,node1-6,node4-1,-20,True,False,18
58,node1-6,node4-1,-20,True,False,18
59,node1-6,node4-1,-20,True,False,17
60,node1-6,node4-1,-20,True,False,17
61,node1-6,node4-1,-20,True,False,17
62,node1-6,node4-1,-20,True,False,17
63,node1-6,node4-1,-20,True,False,17
64,node1-6,node4-1,-20,True,False,17
65,node1-6,node4-1,-20,True,False,17
66,node1-6,node4-1,-20,True,False,17
67,node1-6,node4-1,-20,True,False,18
68,node1-6,node4-1,-20,True,False,18
69,node1-6,node4-1,-20,True,False,17
70,node1-6,node4-1,-20,True,False,16
71,node1-6,node4-1,-20,True,False,18
72,node1-6,node4-1,-20,True,False,17
73,node1-6,node4-1,-20,True,False,18
74,node1-6,node4-1,-20,True,False,18
75,node1-6,node4-1,-20,True,False,18
76,node1-6,node4-1,-20,True,False,17
77,node1-6,node4-1,-20,True,False,16
78,node1-6,node4-1,-20,True,False,17
79,node1-6,node4-1,-20,True,False,18
80,node1-6,node4-1,-20,True,False,18
81,node1-6,node4-1,-20,True,False,18
82,node1-6,node4-1,-20,True,False,17
83,node1-6,node4-1,-20,True,False,17
84,node1-6,node4-1,-20,True,False,18
85,node1-6,node4-1,-20,True,False,18
86,node1-6,node4-1,-20,True,False,17
87,node1-6,node4-1,-20,True,False,17
88,node1-6,node4-1,-20,True,False,18
89,node1-6,node4-1,-20,True,False,16
90,node1-6,node4-1,-20,True,False,17
91,node1-6,node4-1,-20,True,False,17
92,node1-6,node4-1,-20,True,False,18
93,node1-6,node4-1,-20,True,False,18
94,node1-6,node4-1,-20,True,False,17
95,node1-6,node4-1,-20,True,False,18
96,node1-6,node4-1,-20,True,False,17
97,node1-6,node4-1,-20,True,False,19
98,node1-6,node4-1,-20,True,False,18
99,node1-6,node4-1,-20,True,False,16
100,node1-6,node4-1,-20,True,False,18
101,node1-6,node4-1,-20,True,False,17
102,node1-6,node4-1,-20,True,False,18
103,node1-6,node4-1,-20,True,False,17
104,node1-6,node4-1,-20,True,False,16
105,node1-6,node4-1,-20,True,False,17
106,node1-6,node4-1,-20,True,False,18
107,node1-6,node4-1,-20,True,False,17
108,node1-6,node4-1,-20,True,False,17
109,node1-6,node4-1,-20,True,False,17
110,node1-6,node4-1,-20,True,False,17
111,node1-6,node4-1,-20,True,False,16
112,node1-6,node4-1,-20,True,False,17
113,node1-6,node4-1,-20,True,False,18
114,node1-6,node4-1,-20,True,False,16
115,node1-6,node4-1,-20,True,False,17
116,node1-6,node4-1,-20,True,False,18
117,node1-6,node4-1,-20,True,False,18
118,node1-6,node4-1,-20,True,False,18
119,node1-6,node4-1,-20,True,False,15
120,node1-6,node4-1,-20,True,False,18
121,node1-6,node4-1,-20,True,False,17
122,node1-6,node4-1,-20,True,False,17
123,node1-6,node4-1,-20,True,False,17
124,node1-6,node4-1,-20,True,False,15
125,node1-6,node4-1,-20,True,False,18
126,node1-6,node4-1,-20,True,False,17
127,node1-6,node4-1,-20,True,False,18
128,node1-6,node4-1,-20,True,False,15
129,node1-6,node4-1,-20,True,False,17
130,node1-6,node4-1,-20,True,False,17
131,node1-6,node4-1,-20,True,False,17
132,node1-6,node4-1,-20,True,False,17
133,node1-6,node4-1,-20,True,False,17
134,node1-6,node4-1,-20,True,False,16
135,node1-6,node4-1,-20,True,False,16
136,node1-6,node4-1,-20,True,False,17
137,node1-6,node4-1,-20,True,False,17
138,node1-6,node4-1,-20,True,False,18
139,node1-6,node4-1,-20,True,False,17
140,node1-6,node4-1,-20,True,False,17
141,node1-6,node4-1,-20,True,False,17
142,node1-6,node4-1,-20,True,False,15
143,node1-6,node4-1,-20,True,False,18
144,node1-6,node4-1,-20,True,False,16
145,node1-6,node4-1,-20,True,False,17
146,node1-6,node4-1,-20,True,False,17
147,node1-6,node4-1,-20,True,False,17
148,node1-6,node4-1,-20,True,False,17
149,node1-6,node4-1,-20,True,False,18
150,node1-6,node4-1,-20,True,False,18
151,node1-6,node4-1,-20,True,False,17
152,node1-6,node4-1,-20,True,False,16
153,node1-6,node4-1,-20,True,False,18
154,node1-6,node4-1,-20,True,False,17
155,node1-6,node4-1,-20,True,False,18
156,node1-6,node4-1,-20,True,False,18
157,node1-6,node4-1,-20,True,False,17
158,node1-6,node4-1,-20,True,False,17
159,node1-6,node4-1,-20,True,False,18
160,node1-6,node4-1,-20,True,False,17
161,node1-6,node4-1,-20,True,False,17
162,node1-6,node4-1,-20,True,False,16
163,node1-6,node4-1,-20,True,False,18
164,node1-6,node4-1,-20,True,False,18
165,node1-6,node4-1,-20,True,False,18
166,node1-6,node4-1,-20,True,False,17
167,node1-6,node4-1,-20,True,False,16
168,node1-6,node4-1,-20,True,False,19
169,node1-6,node4-1,-20,True,False,17
170,node1-6,node4-1,-20,True,False,16
171,node1-6,node4-1,-20,True,False,17
172,node1-6,node4-1,-20,True,False,17
