seq,src,dst,noise,received,error,rssi
1,node1-6,node8-7,-10,True,False,11
2,node1-6,node8-7,-10,True,False,9
3,node1-6,node8-7,-10,True,False,7
4,node1-6,node8-7,-10,True,False,7
5,node1-6,node8-7,-10,True,False,8
6,node1-6,node8-7,-10,True,False,7
7,node1-6,node8-7,-10,True,False,7
8,node1-6,node8-7,-10,True,False,6
9,node1-6,node8-7,-10,True,False,7
10,node1-6,node8-7,-10,True,False,7
11,node1-6,node8-7,-10,True,False,7
12,node1-6,node8-7,-10,True,False,6
13,node1-6,node8-7,-10,True,False,8
14,node1-6,node8-7,-10,True,False,5
15,node1-6,node8-7,-10,True,False,7
16,node1-6,node8-7,-10,True,False,8
17,node1-6,node8-7,-10,True,False,6
18,node1-6,node8-7,-10,True,False,6
19,node1-6,node8-7,-10,True,False,8
20,node1-6,node8-7,-10,True,False,7
21,node1-6,node8-7,-10,True,False,7
22,node1-6,node8-7,-10,True,False,6
23,node1-6,node8-7,-10,True,False,8
24,node1-6,node8-7,-10,True,False,7
25,node1-6,node8-7,-10,True,False,7
26,node1-6,node8-7,-10,True,False,7
27,node1-6,node8-7,-10,True,False,7
28,node1-6,node8-7,-10,True,False,7
29,node1-6,node8-7,-10,True,False,7
30,node1-6,node8-7,-10,True,False,6
31,node1-6,node8-7,-10,True,False,7
32,node1-6,node8-7,-10,True,False,6
33,node1-6,node8-7,-10,True,False,7
34,node1-6,node8-7,-10,True,False,7
35,node1-6,node8-7,-10,True,False,8
36,node1-6,node8-7,-10,True,False,6
37,node1-6,node8-7,-10,True,False,8
38,node1-6,node8-7,-10,True,False,7
39,node1-6,node8-7,-10,True,False,7
40,node1-6,node8-7,-10,True,False,6
41,node1-6,node8-7,-10,True,False,7
42,node1-6,node8-7,-10,True,False,8
43,node1-6,node8-7,-10,True,False,7
44,node1-6,node8-7,-10,True,False,8
45,node1-6,node8-7,-10,True,False,6
46,node1-6,node8-7,-10,True,False,7
47,node1-6,node8-7,-10,True,False,7
48,node1-6,node8-7,-10,True,False,7
49,node1-6,node8-7,-10,True,False,8
50,node1-6,node8-7,-10,True,False,8
51,node1-6,node8-7,-10,True,False,7
52,node1-6,node8-7,-10,True,False,7
53,node1-6,node8-7,-10,True,False,9
54,node1-6,node8-7,-10,True,False,7
55,node1-6,node8-7,-10,True,False,8
56,node1-6,node8-7,-10,True,False,8
57,node1-6,node8-7,-10,True,False,6
58,node1-6,node8-7,-10,True,False,7
59,node1-6,node8-7,-10,True,False,7
60,node1-6,node8-7,-10,True,False,8
61,node1-6,node8-7,-10,True,False,7
62,node1-6,node8-7,-10,True,False,7
63,node1-6,node8-7,-10,True,False,7
64,node1-6,node8-7,-10,True,False,6
65,node1-6,node8-7,-10,True,False,7
66,node1-6,node8-7,-10,True,False,7
67,node1-6,node8-7,-10,True,False,8
68,node1-6,node8-7,-10,True,False,7
69,node1-6,node8-7,-10,True,False,7
70,node1-6,node8-7,-10,True,False,6
71,node1-6,node8-7,-10,True,False,8
72,node1-6,node8-7,-10,True,False,7
73,node1-6,node8-7,-10,True,False,7
74,node1-6,node8-7,-10,True,False,7
75,node1-6,node8-7,-10,True,False,7
76,node1-6,node8-7,-10,True,False,8
77,node1-6,node8-7,-10,True,False,6
78,node1-6,node8-7,-10,True,False,7
79,node1-6,node8-7,-10,True,False,7
80,node1-6,node8-7,-10,True,False,7
81,node1-6,node8-7,-10,True,False,7
82,node1-6,node8-7,-10,True,False,6
83,node1-6,node8-7,-10,True,False,7
84,node1-6,node8-7,-10,True,False,6
85,node1-6,node8-7,-10,True,False,7
86,node1-6,node8-7,-10,True,False,7
87,node1-6,node8-7,-10,True,False,7
88,node1-6,node8-7,-10,True,False,7
89,node1-6,node8-7,-10,True,False,7
90,node1-6,node8-7,-10,True,False,7
91,node1-6,node8-7,-10,True,False,6
92,node1-6,node8-7,-10,True,False,8
93,node1-6,node8-7,-10,True,False,7
94,node1-6,node8-7,-10,True,False,7
95,node1-6,node8-7,-10,True,False,8
96,node1-6,node8-7,-10,True,False,7
97,node1-6,node8-7,-10,True,False,7
98,node1-6,node8-7,-10,True,False,8
99,node1-6,node8-7,-10,True,False,8
100,node1-6,node8-7,-10,True,False,7
101,node1-6,node8-7,-10,True,False,7
102,node1-6,node8-7,-10,True,False,6
103,node1-6,node8-7,-10,True,False,7
104,node1-6,node8-7,-10,True,False,8
105,node1-6,node8-7,-10,True,False,6
106,node1-6,node8-7,-10,True,False,7
