seq,src,dst,noise,received,error,rssi
1,node5-2,node6-5,-5,True,False,7
2,node5-2,node6-5,-5,True,False,5
3,node5-2,node6-5,-5,True,False,3
4,node5-2,node6-5,-5,True,False,2
5,node5-2,node6-5,-5,True,False,1
6,node5-2,node6-5,-5,True,False,4
7,node5-2,node6-5,-5,True,False,3
8,node5-2,node6-5,-5,True,False,3
9,node5-2,node6-5,-5,True,False,4
10,node5-2,node6-5,-5,True,False,3
11,node5-2,node6-5,-5,True,False,2
12,node5-2,node6-5,-5,True,False,3
13,node5-2,node6-5,-5,True,False,1
14,node5-2,node6-5,-5,True,False,2
15,node5-2,node6-5,-5,True,False,2
16,node5-2,node6-5,-5,True,False,2
17,node5-2,node6-5,-5,True,False,3
18,node5-2,node6-5,-5,True,False,2
19,node5-2,node6-5,-5,True,False,2
20,node5-2,node6-5,-5,True,False,3
21,node5-2,node6-5,-5,True,False,2
22,node5-2,node6-5,-5,True,False,3
23,node5-2,node6-5,-5,True,False,3
24,node5-2,node6-5,-5,True,False,4
25,node5-2,node6-5,-5,True,False,2
26,node5-2,node6-5,-5,True,False,3
27,node5-2,node6-5,-5,True,False,4
28,node5-2,node6-5,-5,True,False,0
29,node5-2,node6-5,-5,True,False,2
30,node5-2,node6-5,-5,True,False,3
31,node5-2,node6-5,-5,True,False,3
32,node5-2,node6-5,-5,True,False,3
33,node5-2,node6-5,-5,True,False,1
34,node5-2,node6-5,-5,True,False,2
35,node5-2,node6-5,-5,True,False,4
36,node5-2,node6-5,-5,True,False,2
37,node5-2,node6-5,-5,True,False,3
38,node5-2,node6-5,-5,True,False,2
39,node5-2,node6-5,-5,True,False,3
40,node5-2,node6-5,-5,True,False,3
41,node5-2,node6-5,-5,True,False,2
42,node5-2,node6-5,-5,True,False,0
43,node5-2,node6-5,-5,True,False,3
44,node5-2,node6-5,-5,True,False,3
45,node5-2,node6-5,-5,True,False,0
46,node5-2,node6-5,-5,True,False,2
47,node5-2,node6-5,-5,True,False,3
48,node5-2,node6-5,-5,True,False,2
49,node5-2,node6-5,-5,True,False,3
50,node5-2,node6-5,-5,True,False,3
51,node5-2,node6-5,-5,True,False,2
52,node5-2,node6-5,-5,True,False,3
53,node5-2,node6-5,-5,True,False,4
54,node5-2,node6-5,-5,True,False,2
55,node5-2,node6-5,-5,True,False,3
56,node5-2,node6-5,-5,True,False,3
57,node5-2,node6-5,-5,True,False,3
58,node5-2,node6-5,-5,True,False,3
59,node5-2,node6-5,-5,True,False,2
60,node5-2,node6-5,-5,True,False,0
61,node5-2,node6-5,-5,True,False,2
62,node5-2,node6-5,-5,True,False,3
63,node5-2,node6-5,-5,True,False,3
64,node5-2,node6-5,-5,True,False,3
65,node5-2,node6-5,-5,True,False,2
66,node5-2,node6-5,-5,True,False,3
67,node5-2,node6-5,-5,True,False,3
68,node5-2,node6-5,-5,True,False,3
69,node5-2,node6-5,-5,True,False,3
70,node5-2,node6-5,-5,True,False,3
71,node5-2,node6-5,-5,True,False,2
72,node5-2,node6-5,-5,True,False,2
73,node5-2,node6-5,-5,True,False,4
74,node5-2,node6-5,-5,True,False,2
75,node5-2,node6-5,-5,True,False,1
76,node5-2,node6-5,-5,True,False,2
77,node5-2,node6-5,-5,True,False,2
78,node5-2,node6-5,-5,True,False,4
79,node5-2,node6-5,-5,True,False,3
80,node5-2,node6-5,-5,True,False,2
81,node5-2,node6-5,-5,True,False,2
82,node5-2,node6-5,-5,True,False,3
83,node5-2,node6-5,-5,True,False,2
84,node5-2,node6-5,-5,True,False,3
85,node5-2,node6-5,-5,True,False,2
86,node5-2,node6-5,-5,True,False,3
87,node5-2,node6-5,-5,True,False,4
88,node5-2,node6-5,-5,True,False,3
89,node5-2,node6-5,-5,True,False,2
90,node5-2,node6-5,-5,True,False,3
91,node5-2,node6-5,-5,True,False,4
92,node5-2,node6-5,-5,True,False,1
93,node5-2,node6-5,-5,True,False,3
94,node5-2,node6-5,-5,True,False,5
