seq,src,dst,noise,received,error,rssi
1,node3-6,node5-6,-10,True,False,19
2,node3-6,node5-6,-10,True,False,20
3,node3-6,node5-6,-10,True,False,16
4,node3-6,node5-6,-10,True,False,15
5,node3-6,node5-6,-10,True,False,16
6,node3-6,node5-6,-10,True,False,15
7,node3-6,node5-6,-10,True,False,16
8,node3-6,node5-6,-10,True,False,16
9,node3-6,node5-6,-10,True,False,17
10,node3-6,node5-6,-10,True,False,17
11,node3-6,node5-6,-10,True,False,16
12,node3-6,node5-6,-10,True,False,16
13,node3-6,node5-6,-10,True,False,17
14,node3-6,node5-6,-10,True,False,17
15,node3-6,node5-6,-10,True,False,17
16,node3-6,node5-6,-10,True,False,15
17,node3-6,node5-6,-10,True,False,17
18,node3-6,node5-6,-10,True,False,16
19,node3-6,node5-6,-10,True,False,15
20,node3-6,node5-6,-10,True,False,16
21,node3-6,node5-6,-10,True,False,16
22,node3-6,node5-6,-10,True,False,16
23,node3-6,node5-6,-10,True,False,15
24,node3-6,node5-6,-10,True,False,16
25,node3-6,node5-6,-10,True,False,16
26,node3-6,node5-6,-10,True,False,17
27,node3-6,node5-6,-10,True,False,17
28,node3-6,node5-6,-10,True,False,17
29,node3-6,node5-6,-10,True,False,17
30,node3-6,node5-6,-10,True,False,17
31,node3-6,node5-6,-10,True,False,17
32,node3-6,node5-6,-10,True,False,17
33,node3-6,node5-6,-10,True,False,17
34,node3-6,node5-6,-10,True,False,16
35,node3-6,node5-6,-10,True,False,17
36,node3-6,node5-6,-10,True,False,17
37,node3-6,node5-6,-10,True,False,17
38,node3-6,node5-6,-10,True,False,17
39,node3-6,node5-6,-10,True,False,16
40,node3-6,node5-6,-10,True,False,17
41,node3-6,node5-6,-10,True,False,16
42,node3-6,node5-6,-10,True,False,16
43,node3-6,node5-6,-10,True,False,17
44,node3-6,node5-6,-10,True,False,17
45,node3-6,node5-6,-10,True,False,16
46,node3-6,node5-6,-10,True,False,17
47,node3-6,node5-6,-10,True,False,16
48,node3-6,node5-6,-10,True,False,17
49,node3-6,node5-6,-10,True,False,17
50,node3-6,node5-6,-10,True,False,16
51,node3-6,node5-6,-10,True,False,17
52,node3-6,node5-6,-10,True,False,16
53,node3-6,node5-6,-10,True,False,17
54,node3-6,node5-6,-10,True,False,16
55,node3-6,node5-6,-10,True,False,16
56,node3-6,node5-6,-10,True,False,17
57,node3-6,node5-6,-10,True,False,17
58,node3-6,node5-6,-10,True,False,16
59,node3-6,node5-6,-10,True,False,17
60,node3-6,node5-6,-10,True,False,16
61,node3-6,node5-6,-10,True,False,17
62,node3-6,node5-6,-10,True,False,17
63,node3-6,node5-6,-10,True,False,17
64,node3-6,node5-6,-10,True,False,17
65,node3-6,node5-6,-10,True,False,18
66,node3-6,node5-6,-10,True,False,17
67,node3-6,node5-6,-10,True,False,17
68,node3-6,node5-6,-10,True,False,17
69,node3-6,node5-6,-10,True,False,16
70,node3-6,node5-6,-10,True,False,17
71,node3-6,node5-6,-10,True,False,17
72,node3-6,node5-6,-10,True,False,16
73,node3-6,node5-6,-10,True,False,17
74,node3-6,node5-6,-10,True,False,17
75,node3-6,node5-6,-10,True,False,15
76,node3-6,node5-6,-10,True,False,16
77,node3-6,node5-6,-10,True,False,16
78,node3-6,node5-6,-10,True,False,17
79,node3-6,node5-6,-10,True,False,17
80,node3-6,node5-6,-10,True,False,16
81,node3-6,node5-6,-10,True,False,17
82,node3-6,node5-6,-10,True,False,16
83,node3-6,node5-6,-10,True,False,17
84,node3-6,node5-6,-10,True,False,16
85,node3-6,node5-6,-10,True,False,17
86,node3-6,node5-6,-10,True,False,17
87,node3-6,node5-6,-10,True,False,17
88,node3-6,node5-6,-10,True,False,16
89,node3-6,node5-6,-10,True,False,17
90,node3-6,node5-6,-10,True,False,17
91,node3-6,node5-6,-10,True,False,18
92,node3-6,node5-6,-10,True,False,16
93,node3-6,node5-6,-10,True,False,17
94,node3-6,node5-6,-10,True,False,18
95,node3-6,node5-6,-10,True,False,17
96,node3-6,node5-6,-10,True,False,16
97,node3-6,node5-6,-10,True,False,16
98,node3-6,node5-6,-10,True,False,17
99,node3-6,node5-6,-10,True,False,17
100,node3-6,node5-6,-10,True,False,16
101,node3-6,node5-6,-10,True,False,17
102,node3-6,node5-6,-10,True,False,17
103,node3-6,node5-6,-10,True,False,17
104,node3-6,node5-6,-10,True,False,16
105,node3-6,node5-6,-10,True,False,18
106,node3-6,node5-6,-10,True,False,17
107,node3-6,node5-6,-10,True,False,17
108,node3-6,node5-6,-10,True,False,16
109,node3-6,node5-6,-10,True,False,17
110,node3-6,node5-6,-10,True,False,17
111,node3-6,node5-6,-10,True,False,17
112,node3-6,node5-6,-10,True,False,16
113,node3-6,node5-6,-10,True,False,16
114,node3-6,node5-6,-10,True,False,17
115,node3-6,node5-6,-10,True,False,17
116,node3-6,node5-6,-10,True,False,18
