seq,src,dst,noise,received,error,rssi
1,node3-6,node5-8,-15,True,False,20
2,node3-6,node5-8,-15,True,False,22
3,node3-6,node5-8,-15,True,False,20
4,node3-6,node5-8,-15,True,False,14
5,node3-6,node5-8,-15,True,False,16
6,node3-6,node5-8,-15,True,False,16
7,node3-6,node5-8,-15,True,False,15
8,node3-6,node5-8,-15,True,False,16
9,node3-6,node5-8,-15,True,False,16
10,node3-6,node5-8,-15,True,False,16
11,node3-6,node5-8,-15,True,False,15
12,node3-6,node5-8,-15,True,False,16
13,node3-6,node5-8,-15,True,False,14
14,node3-6,node5-8,-15,True,False,16
15,node3-6,node5-8,-15,True,False,16
16,node3-6,node5-8,-15,True,False,16
17,node3-6,node5-8,-15,True,False,16
18,node3-6,node5-8,-15,True,False,16
19,node3-6,node5-8,-15,True,False,15
20,node3-6,node5-8,-15,True,False,17
21,node3-6,node5-8,-15,True,False,16
22,node3-6,node5-8,-15,True,False,15
23,node3-6,node5-8,-15,True,False,15
24,node3-6,node5-8,-15,True,False,16
25,node3-6,node5-8,-15,True,False,16
26,node3-6,node5-8,-15,True,False,16
27,node3-6,node5-8,-15,True,False,16
28,node3-6,node5-8,-15,True,False,14
29,node3-6,node5-8,-15,True,False,16
30,node3-6,node5-8,-15,True,False,16
31,node3-6,node5-8,-15,True,False,14
32,node3-6,node5-8,-15,True,False,16
33,node3-6,node5-8,-15,True,False,16
34,node3-6,node5-8,-15,True,False,16
35,node3-6,node5-8,-15,True,False,17
36,node3-6,node5-8,-15,True,False,16
37,node3-6,node5-8,-15,True,False,16
38,node3-6,node5-8,-15,True,False,16
39,node3-6,node5-8,-15,True,False,17
40,node3-6,node5-8,-15,True,False,17
41,node3-6,node5-8,-15,True,False,17
42,node3-6,node5-8,-15,True,False,16
43,node3-6,node5-8,-15,True,False,17
44,node3-6,node5-8,-15,True,False,16
45,node3-6,node5-8,-15,True,False,17
46,node3-6,node5-8,-15,True,False,16
47,node3-6,node5-8,-15,True,False,17
48,node3-6,node5-8,-15,True,False,16
49,node3-6,node5-8,-15,True,False,18
50,node3-6,node5-8,-15,True,False,17
51,node3-6,node5-8,-15,True,False,17
52,node3-6,node5-8,-15,True,False,16
53,node3-6,node5-8,-15,True,False,15
54,node3-6,node5-8,-15,True,False,17
55,node3-6,node5-8,-15,True,False,17
56,node3-6,node5-8,-15,True,False,16
57,node3-6,node5-8,-15,True,False,16
58,node3-6,node5-8,-15,True,False,16
59,node3-6,node5-8,-15,True,False,15
60,node3-6,node5-8,-15,True,False,16
61,node3-6,node5-8,-15,True,False,17
62,node3-6,node5-8,-15,True,False,17
63,node3-6,node5-8,-15,True,False,17
64,node3-6,node5-8,-15,True,False,17
65,node3-6,node5-8,-15,True,False,17
66,node3-6,node5-8,-15,True,False,16
67,node3-6,node5-8,-15,True,False,16
68,node3-6,node5-8,-15,True,False,17
69,node3-6,node5-8,-15,True,False,16
70,node3-6,node5-8,-15,True,False,17
71,node3-6,node5-8,-15,True,False,16
72,node3-6,node5-8,-15,True,False,17
73,node3-6,node5-8,-15,True,False,15
74,node3-6,node5-8,-15,True,False,17
75,node3-6,node5-8,-15,True,False,15
76,node3-6,node5-8,-15,True,False,16
77,node3-6,node5-8,-15,True,False,17
78,node3-6,node5-8,-15,True,False,16
79,node3-6,node5-8,-15,True,False,17
80,node3-6,node5-8,-15,True,False,16
81,node3-6,node5-8,-15,True,False,17
82,node3-6,node5-8,-15,True,False,17
83,node3-6,node5-8,-15,True,False,17
84,node3-6,node5-8,-15,True,False,17
85,node3-6,node5-8,-15,True,False,17
86,node3-6,node5-8,-15,True,False,15
87,node3-6,node5-8,-15,True,False,17
88,node3-6,node5-8,-15,True,False,16
89,node3-6,node5-8,-15,True,False,17
90,node3-6,node5-8,-15,True,False,16
91,node3-6,node5-8,-15,True,False,17
92,node3-6,node5-8,-15,True,False,17
93,node3-6,node5-8,-15,True,False,16
94,node3-6,node5-8,-15,True,False,17
95,node3-6,node5-8,-15,True,False,17
96,node3-6,node5-8,-15,True,False,17
97,node3-6,node5-8,-15,True,False,16
98,node3-6,node5-8,-15,True,False,16
99,node3-6,node5-8,-15,True,False,17
100,node3-6,node5-8,-15,True,False,17
101,node3-6,node5-8,-15,True,False,14
102,node3-6,node5-8,-15,True,False,16
103,node3-6,node5-8,-15,True,False,16
104,node3-6,node5-8,-15,True,False,16
105,node3-6,node5-8,-15,True,False,16
106,node3-6,node5-8,-15,True,False,17
107,node3-6,node5-8,-15,True,False,17
108,node3-6,node5-8,-15,True,False,17
109,node3-6,node5-8,-15,True,False,17
110,node3-6,node5-8,-15,True,False,17
111,node3-6,node5-8,-15,True,False,17
112,node3-6,node5-8,-15,True,False,16
113,node3-6,node5-8,-15,True,False,16
114,node3-6,node5-8,-15,True,False,17
115,node3-6,node5-8,-15,True,False,16
116,node3-6,node5-8,-15,True,False,16
117,node3-6,node5-8,-15,True,False,16
118,node3-6,node5-8,-15,True,False,17
119,node3-6,node5-8,-15,True,False,17
120,node3-6,node5-8,-15,True,False,16
121,node3-6,node5-8,-15,True,False,17
122,node3-6,node5-8,-15,True,False,17
123,node3-6,node5-8,-15,True,False,17
124,node3-6,node5-8,-15,True,False,16
125,node3-6,node5-8,-15,True,False,17
126,node3-6,node5-8,-15,True,False,16
127,node3-6,node5-8,-15,True,False,16
128,node3-6,node5-8,-15,True,False,16
129,node3-6,node5-8,-15,True,False,17
130,node3-6,node5-8,-15,True,False,16
131,node3-6,node5-8,-15,True,False,16
132,node3-6,node5-8,-15,True,False,17
133,node3-6,node5-8,-15,True,False,17
134,node3-6,node5-8,-15,True,False,14
135,node3-6,node5-8,-15,True,False,17
136,node3-6,node5-8,-15,True,False,16
137,node3-6,node5-8,-15,True,False,17
138,node3-6,node5-8,-15,True,False,17
139,node3-6,node5-8,-15,True,False,17
140,node3-6,node5-8,-15,True,False,16
141,node3-6,node5-8,-15,True,False,17
142,node3-6,node5-8,-15,True,False,15
143,node3-6,node5-8,-15,True,False,16
144,node3-6,node5-8,-15,True,False,15
145,node3-6,node5-8,-15,True,False,16
146,node3-6,node5-8,-15,True,False,16
147,node3-6,node5-8,-15,True,False,16
148,node3-6,node5-8,-15,True,False,15
149,node3-6,node5-8,-15,True,False,17
150,node3-6,node5-8,-15,True,False,17
151,node3-6,node5-8,-15,True,False,17
152,node3-6,node5-8,-15,True,False,16
153,node3-6,node5-8,-15,True,False,17
154,node3-6,node5-8,-15,True,False,16
155,node3-6,node5-8,-15,True,False,15
156,node3-6,node5-8,-15,True,False,15
157,node3-6,node5-8,-15,True,False,17
158,node3-6,node5-8,-15,True,False,16
159,node3-6,node5-8,-15,True,False,15
160,node3-6,node5-8,-15,True,False,16
161,node3-6,node5-8,-15,True,False,16
162,node3-6,node5-8,-15,True,False,17
163,node3-6,node5-8,-15,True,False,16
164,node3-6,node5-8,-15,True,False,17
165,node3-6,node5-8,-15,True,False,17
166,node3-6,node5-8,-15,True,False,17
167,node3-6,node5-8,-15,True,False,17
168,node3-6,node5-8,-15,True,False,17
169,node3-6,node5-8,-15,True,False,16
170,node3-6,node5-8,-15,True,False,17
171,node3-6,node5-8,-15,True,False,16
172,node3-6,node5-8,-15,True,False,17
173,node3-6,node5-8,-15,True,False,16
174,node3-6,node5-8,-15,True,False,16
175,node3-6,node5-8,-15,True,False,17
176,node3-6,node5-8,-15,True,False,17
177,node3-6,node5-8,-15,True,False,16
178,node3-6,node5-8,-15,True,False,16
179,node3-6,node5-8,-15,True,False,16
180,node3-6,node5-8,-15,True,False,15
181,node3-6,node5-8,-15,True,False,16
182,node3-6,node5-8,-15,True,False,17
183,node3-6,node5-8,-15,True,False,15
184,node3-6,node5-8,-15,True,False,16
185,node3-6,node5-8,-15,True,False,16
186,node3-6,node5-8,-15,True,False,15
187,node3-6,node5-8,-15,True,False,17
188,node3-6,node5-8,-15,True,False,16
189,node3-6,node5-8,-15,True,False,16
190,node3-6,node5-8,-15,True,False,17
191,node3-6,node5-8,-15,True,False,17
192,node3-6,node5-8,-15,True,False,17
193,node3-6,node5-8,-15,True,False,15
194,node3-6,node5-8,-15,True,False,16
195,node3-6,node5-8,-15,True,False,16
196,node3-6,node5-8,-15,True,False,17
197,node3-6,node5-8,-15,True,False,17
198,node3-6,node5-8,-15,True,False,16
199,node3-6,node5-8,-15,True,False,15
200,node3-6,node5-8,-15,True,False,17
201,node3-6,node5-8,-15,True,False,17
202,node3-6,node5-8,-15,True,False,15
203,node3-6,node5-8,-15,True,False,17
204,node3-6,node5-8,-15,True,False,17
205,node3-6,node5-8,-15,True,False,15
206,node3-6,node5-8,-15,True,False,17
207,node3-6,node5-8,-15,True,False,16
208,node3-6,node5-8,-15,True,False,16
209,node3-6,node5-8,-15,True,False,15
210,node3-6,node5-8,-15,True,False,16
211,node3-6,node5-8,-15,True,False,17
212,node3-6,node5-8,-15,True,False,16
213,node3-6,node5-8,-15,True,False,16
214,node3-6,node5-8,-15,True,False,16
215,node3-6,node5-8,-15,True,False,16
216,node3-6,node5-8,-15,True,False,15
217,node3-6,node5-8,-15,True,False,16
218,node3-6,node5-8,-15,True,False,16
219,node3-6,node5-8,-15,True,False,17
220,node3-6,node5-8,-15,True,False,17
221,node3-6,node5-8,-15,True,False,16
222,node3-6,node5-8,-15,True,False,16
223,node3-6,node5-8,-15,True,False,16
224,node3-6,node5-8,-15,True,False,17
225,node3-6,node5-8,-15,True,False,17
226,node3-6,node5-8,-15,True,False,16
227,node3-6,node5-8,-15,True,False,16
228,node3-6,node5-8,-15,True,False,16
229,node3-6,node5-8,-15,True,False,17
230,node3-6,node5-8,-15,True,False,15
231,node3-6,node5-8,-15,True,False,16
232,node3-6,node5-8,-15,True,False,17
233,node3-6,node5-8,-15,True,False,17
234,node3-6,node5-8,-15,True,False,17
235,node3-6,node5-8,-15,True,False,17
236,node3-6,node5-8,-15,True,False,17
237,node3-6,node5-8,-15,True,False,16
238,node3-6,node5-8,-15,True,False,14
239,node3-6,node5-8,-15,True,False,17
240,node3-6,node5-8,-15,True,False,17
241,node3-6,node5-8,-15,True,False,17
242,node3-6,node5-8,-15,True,False,15
243,node3-6,node5-8,-15,True,False,17
244,node3-6,node5-8,-15,True,False,17
245,node3-6,node5-8,-15,True,False,17
246,node3-6,node5-8,-15,True,False,16
247,node3-6,node5-8,-15,True,False,15
248,node3-6,node5-8,-15,True,False,16
249,node3-6,node5-8,-15,True,False,16
250,node3-6,node5-8,-15,True,False,16
251,node3-6,node5-8,-15,True,False,16
252,node3-6,node5-8,-15,True,False,17
253,node3-6,node5-8,-15,True,False,17
254,node3-6,node5-8,-15,True,False,16
255,node3-6,node5-8,-15,True,False,17
256,node3-6,node5-8,-15,True,False,17
257,node3-6,node5-8,-15,True,False,17
258,node3-6,node5-8,-15,True,False,16
259,node3-6,node5-8,-15,True,False,17
260,node3-6,node5-8,-15,True,False,17
261,node3-6,node5-8,-15,True,False,16
262,node3-6,node5-8,-15,True,False,15
263,node3-6,node5-8,-15,True,False,17
264,node3-6,node5-8,-15,True,False,16
265,node3-6,node5-8,-15,True,False,16
266,node3-6,node5-8,-15,True,False,17
267,node3-6,node5-8,-15,True,False,17
268,node3-6,node5-8,-15,True,False,17
269,node3-6,node5-8,-15,True,False,17
270,node3-6,node5-8,-15,True,False,16
271,node3-6,node5-8,-15,True,False,16
272,node3-6,node5-8,-15,True,False,16
273,node3-6,node5-8,-15,True,False,17
274,node3-6,node5-8,-15,True,False,16
275,node3-6,node5-8,-15,True,False,17
276,node3-6,node5-8,-15,True,False,16
277,node3-6,node5-8,-15,True,False,16
278,node3-6,node5-8,-15,True,False,17
279,node3-6,node5-8,-15,True,False,17
280,node3-6,node5-8,-15,True,False,16
281,node3-6,node5-8,-15,True,False,17
282,node3-6,node5-8,-15,True,False,15
283,node3-6,node5-8,-15,True,False,17
284,node3-6,node5-8,-15,True,False,16
285,node3-6,node5-8,-15,True,False,16
286,node3-6,node5-8,-15,True,False,16
287,node3-6,node5-8,-15,True,False,15
288,node3-6,node5-8,-15,True,False,16
289,node3-6,node5-8,-15,True,False,15
290,node3-6,node5-8,-15,True,False,17
291,node3-6,node5-8,-15,True,False,17
292,node3-6,node5-8,-15,True,False,17
293,node3-6,node5-8,-15,True,False,17
294,node3-6,node5-8,-15,True,False,17
295,node3-6,node5-8,-15,True,False,14
296,node3-6,node5-8,-15,True,False,17
297,node3-6,node5-8,-15,True,False,16
298,node3-6,node5-8,-15,True,False,17
299,node3-6,node5-8,-15,True,False,17
300,node3-6,node5-8,-15,True,False,16
