seq,src,dst,noise,received,error,rssi
1,node6-1,node7-2,-10,True,False,15
2,node6-1,node7-2,-10,True,False,13
3,node6-1,node7-2,-10,True,False,11
4,node6-1,node7-2,-10,True,False,8
5,node6-1,node7-2,-10,True,False,8
6,node6-1,node7-2,-10,True,False,8
7,node6-1,node7-2,-10,True,False,8
8,node6-1,node7-2,-10,True,False,9
9,node6-1,node7-2,-10,True,False,9
10,node6-1,node7-2,-10,True,False,9
11,node6-1,node7-2,-10,True,False,8
12,node6-1,node7-2,-10,True,False,8
13,node6-1,node7-2,-10,True,False,9
14,node6-1,node7-2,-10,True,False,9
15,node6-1,node7-2,-10,True,False,9
16,node6-1,node7-2,-10,True,False,8
17,node6-1,node7-2,-10,True,False,7
18,node6-1,node7-2,-10,True,False,10
19,node6-1,node7-2,-10,True,False,8
20,node6-1,node7-2,-10,True,False,9
21,node6-1,node7-2,-10,True,False,9
22,node6-1,node7-2,-10,True,False,7
23,node6-1,node7-2,-10,True,False,8
24,node6-1,node7-2,-10,True,False,8
25,node6-1,node7-2,-10,True,False,9
26,node6-1,node7-2,-10,True,False,9
27,node6-1,node7-2,-10,True,False,9
28,node6-1,node7-2,-10,True,False,7
29,node6-1,node7-2,-10,True,False,7
30,node6-1,node7-2,-10,True,False,9
31,node6-1,node7-2,-10,True,False,8
32,node6-1,node7-2,-10,True,False,9
33,node6-1,node7-2,-10,True,False,7
34,node6-1,node7-2,-10,True,False,8
35,node6-1,node7-2,-10,True,False,8
36,node6-1,node7-2,-10,True,False,8
37,node6-1,node7-2,-10,True,False,8
38,node6-1,node7-2,-10,True,False,8
39,node6-1,node7-2,-10,True,False,8
40,node6-1,node7-2,-10,True,False,7
41,node6-1,node7-2,-10,True,False,7
42,node6-1,node7-2,-10,True,False,7
43,node6-1,node7-2,-10,True,False,9
44,node6-1,node7-2,-10,True,False,8
45,node6-1,node7-2,-10,True,False,8
46,node6-1,node7-2,-10,True,False,9
47,node6-1,node7-2,-10,True,False,7
48,node6-1,node7-2,-10,True,False,8
49,node6-1,node7-2,-10,True,False,9
50,node6-1,node7-2,-10,True,False,9
51,node6-1,node7-2,-10,True,False,8
52,node6-1,node7-2,-10,True,False,9
53,node6-1,node7-2,-10,True,False,7
54,node6-1,node7-2,-10,True,False,8
55,node6-1,node7-2,-10,True,False,8
56,node6-1,node7-2,-10,True,False,7
57,node6-1,node7-2,-10,True,False,9
58,node6-1,node7-2,-10,True,False,9
59,node6-1,node7-2,-10,True,False,8
60,node6-1,node7-2,-10,True,False,9
61,node6-1,node7-2,-10,True,False,8
62,node6-1,node7-2,-10,True,False,9
63,node6-1,node7-2,-10,True,False,8
64,node6-1,node7-2,-10,True,False,7
65,node6-1,node7-2,-10,True,False,8
66,node6-1,node7-2,-10,True,False,9
67,node6-1,node7-2,-10,True,False,8
68,node6-1,node7-2,-10,True,False,8
69,node6-1,node7-2,-10,True,False,9
70,node6-1,node7-2,-10,True,False,9
71,node6-1,node7-2,-10,True,False,8
72,node6-1,node7-2,-10,True,False,8
73,node6-1,node7-2,-10,True,False,9
74,node6-1,node7-2,-10,True,False,8
75,node6-1,node7-2,-10,True,False,8
76,node6-1,node7-2,-10,True,False,8
77,node6-1,node7-2,-10,True,False,8
78,node6-1,node7-2,-10,True,False,8
79,node6-1,node7-2,-10,True,False,8
80,node6-1,node7-2,-10,True,False,8
81,node6-1,node7-2,-10,True,False,9
82,node6-1,node7-2,-10,True,False,9
83,node6-1,node7-2,-10,True,False,8
84,node6-1,node7-2,-10,True,False,8
85,node6-1,node7-2,-10,True,False,8
86,node6-1,node7-2,-10,True,False,8
87,node6-1,node7-2,-10,True,False,8
88,node6-1,node7-2,-10,True,False,8
89,node6-1,node7-2,-10,True,False,9
90,node6-1,node7-2,-10,True,False,9
91,node6-1,node7-2,-10,True,False,9
92,node6-1,node7-2,-10,True,False,8
93,node6-1,node7-2,-10,True,False,9
94,node6-1,node7-2,-10,True,False,8
95,node6-1,node7-2,-10,True,False,8
96,node6-1,node7-2,-10,True,False,7
97,node6-1,node7-2,-10,True,False,8
98,node6-1,node7-2,-10,True,False,8
99,node6-1,node7-2,-10,True,False,8
100,node6-1,node7-2,-10,True,False,7
101,node6-1,node7-2,-10,True,False,9
102,node6-1,node7-2,-10,True,False,7
103,node6-1,node7-2,-10,True,False,9
104,node6-1,node7-2,-10,True,False,8
