seq,src,dst,noise,received,error,rssi
1,node8-3,node6-5,-20,True,False,20
2,node8-3,node6-5,-20,True,False,19
3,node8-3,node6-5,-20,True,False,17
4,node8-3,node6-5,-20,True,False,11
5,node8-3,node6-5,-20,True,False,14
6,node8-3,node6-5,-20,True,False,13
7,node8-3,node6-5,-20,True,False,14
8,node8-3,node6-5,-20,True,False,15
9,node8-3,node6-5,-20,True,False,15
10,node8-3,node6-5,-20,True,False,13
11,node8-3,node6-5,-20,True,False,15
12,node8-3,node6-5,-20,True,False,14
13,node8-3,node6-5,-20,True,False,14
14,node8-3,node6-5,-20,True,False,11
15,node8-3,node6-5,-20,True,False,15
16,node8-3,node6-5,-20,True,False,12
17,node8-3,node6-5,-20,True,False,15
18,node8-3,node6-5,-20,True,False,15
19,node8-3,node6-5,-20,True,False,15
20,node8-3,node6-5,-20,True,False,15
21,node8-3,node6-5,-20,True,False,14
22,node8-3,node6-5,-20,True,False,15
23,node8-3,node6-5,-20,True,False,14
24,node8-3,node6-5,-20,True,False,12
25,node8-3,node6-5,-20,True,False,14
26,node8-3,node6-5,-20,True,False,15
27,node8-3,node6-5,-20,True,False,14
28,node8-3,node6-5,-20,True,False,15
29,node8-3,node6-5,-20,True,False,12
30,node8-3,node6-5,-20,True,False,14
31,node8-3,node6-5,-20,True,False,15
32,node8-3,node6-5,-20,True,False,14
33,node8-3,node6-5,-20,True,False,13
34,node8-3,node6-5,-20,True,False,14
35,node8-3,node6-5,-20,True,False,14
36,node8-3,node6-5,-20,True,False,14
37,node8-3,node6-5,-20,True,False,14
38,node8-3,node6-5,-20,True,False,15
39,node8-3,node6-5,-20,True,False,14
40,node8-3,node6-5,-20,True,False,15
41,node8-3,node6-5,-20,True,False,15
42,node8-3,node6-5,-20,True,False,14
43,node8-3,node6-5,-20,True,False,15
44,node8-3,node6-5,-20,True,False,15
45,node8-3,node6-5,-20,True,False,15
46,node8-3,node6-5,-20,True,False,13
47,node8-3,node6-5,-20,True,False,15
48,node8-3,node6-5,-20,True,False,14
49,node8-3,node6-5,-20,True,False,14
50,node8-3,node6-5,-20,True,False,15
51,node8-3,node6-5,-20,True,False,14
52,node8-3,node6-5,-20,True,False,16
