seq,src,dst,noise,received,error,rssi
1,node6-7,node8-3,-20,True,False,5
2,node6-7,node8-3,-20,True,False,6
3,node6-7,node8-3,-20,True,False,1
4,node6-7,node8-3,-20,True,False,3
5,node6-7,node8-3,-20,True,False,2
6,node6-7,node8-3,-20,True,False,3
7,node6-7,node8-3,-20,True,False,2
8,node6-7,node8-3,-20,True,False,3
9,node6-7,node8-3,-20,True,False,2
10,node6-7,node8-3,-20,True,False,2
11,node6-7,node8-3,-20,True,False,4
12,node6-7,node8-3,-20,True,False,3
13,node6-7,node8-3,-20,True,False,2
14,node6-7,node8-3,-20,True,False,4
15,node6-7,node8-3,-20,True,False,2
16,node6-7,node8-3,-20,True,False,3
17,node6-7,node8-3,-20,True,False,3
18,node6-7,node8-3,-20,True,False,4
19,node6-7,node8-3,-20,False,False,0
20,node6-7,node8-3,-20,True,False,4
21,node6-7,node8-3,-20,True,False,3
22,node6-7,node8-3,-20,True,False,0
23,node6-7,node8-3,-20,True,False,5
24,node6-7,node8-3,-20,True,False,1
25,node6-7,node8-3,-20,True,False,2
26,node6-7,node8-3,-20,True,False,3
27,node6-7,node8-3,-20,True,False,2
28,node6-7,node8-3,-20,True,False,4
29,node6-7,node8-3,-20,True,False,0
30,node6-7,node8-3,-20,True,False,2
31,node6-7,node8-3,-20,True,False,4
32,node6-7,node8-3,-20,True,False,0
33,node6-7,node8-3,-20,False,False,0
34,node6-7,node8-3,-20,True,False,2
35,node6-7,node8-3,-20,True,False,4
36,node6-7,node8-3,-20,True,False,4
37,node6-7,node8-3,-20,True,False,1
38,node6-7,node8-3,-20,True,False,2
39,node6-7,node8-3,-20,True,False,2
40,node6-7,node8-3,-20,True,False,3
41,node6-7,node8-3,-20,True,False,4
42,node6-7,node8-3,-20,True,False,1
43,node6-7,node8-3,-20,True,False,2
44,node6-7,node8-3,-20,True,False,3
45,node6-7,node8-3,-20,True,False,2
46,node6-7,node8-3,-20,True,False,2
47,node6-7,node8-3,-20,True,False,4
48,node6-7,node8-3,-20,True,False,2
49,node6-7,node8-3,-20,True,False,4
50,node6-7,node8-3,-20,True,False,2
51,node6-7,node8-3,-20,True,False,3
52,node6-7,node8-3,-20,False,False,0
53,node6-7,node8-3,-20,False,False,0
54,node6-7,node8-3,-20,True,False,3
55,node6-7,node8-3,-20,True,False,1
56,node6-7,node8-3,-20,True,False,2
57,node6-7,node8-3,-20,True,False,2
58,node6-7,node8-3,-20,True,False,3
59,node6-7,node8-3,-20,True,False,1
60,node6-7,node8-3,-20,True,False,2
61,node6-7,node8-3,-20,True,False,2
62,node6-7,node8-3,-20,True,False,1
63,node6-7,node8-3,-20,True,False,2
64,node6-7,node8-3,-20,True,False,0
65,node6-7,node8-3,-20,True,False,3
66,node6-7,node8-3,-20,True,False,2
67,node6-7,node8-3,-20,True,False,4
68,node6-7,node8-3,-20,True,False,3
69,node6-7,node8-3,-20,True,False,2
70,node6-7,node8-3,-20,False,False,0
71,node6-7,node8-3,-20,True,False,0
72,node6-7,node8-3,-20,True,False,3
73,node6-7,node8-3,-20,True,False,2
74,node6-7,node8-3,-20,True,False,2
75,node6-7,node8-3,-20,True,False,2
76,node6-7,node8-3,-20,False,True,0
77,node6-7,node8-3,-20,True,False,2
78,node6-7,node8-3,-20,True,False,2
79,node6-7,node8-3,-20,True,False,3
80,node6-7,node8-3,-20,True,False,2
81,node6-7,node8-3,-20,True,False,3
82,node6-7,node8-3,-20,True,False,1
83,node6-7,node8-3,-20,True,False,0
84,node6-7,node8-3,-20,True,False,3
85,node6-7,node8-3,-20,True,False,2
86,node6-7,node8-3,-20,True,False,1
87,node6-7,node8-3,-20,True,False,4
88,node6-7,node8-3,-20,True,False,2
89,node6-7,node8-3,-20,True,False,4
90,node6-7,node8-3,-20,True,False,3
91,node6-7,node8-3,-20,True,False,0
92,node6-7,node8-3,-20,True,False,1
93,node6-7,node8-3,-20,True,False,3
94,node6-7,node8-3,-20,True,False,2
95,node6-7,node8-3,-20,True,False,2
96,node6-7,node8-3,-20,True,False,4
97,node6-7,node8-3,-20,True,False,3
98,node6-7,node8-3,-20,True,False,2
99,node6-7,node8-3,-20,True,False,2
100,node6-7,node8-3,-20,True,False,1
101,node6-7,node8-3,-20,True,False,4
102,node6-7,node8-3,-20,True,False,1
103,node6-7,node8-3,-20,True,False,2
104,node6-7,node8-3,-20,False,False,0
105,node6-7,node8-3,-20,True,False,3
106,node6-7,node8-3,-20,True,False,3
107,node6-7,node8-3,-20,True,False,3
108,node6-7,node8-3,-20,True,False,3
109,node6-7,node8-3,-20,True,False,3
110,node6-7,node8-3,-20,True,False,2
111,node6-7,node8-3,-20,True,False,2
112,node6-7,node8-3,-20,True,False,2
113,node6-7,node8-3,-20,True,False,1
114,node6-7,node8-3,-20,True,False,2
115,node6-7,node8-3,-20,True,False,2
116,node6-7,node8-3,-20,True,False,4
117,node6-7,node8-3,-20,True,False,3
118,node6-7,node8-3,-20,True,False,1
119,node6-7,node8-3,-20,True,False,2
120,node6-7,node8-3,-20,True,False,3
121,node6-7,node8-3,-20,True,False,3
122,node6-7,node8-3,-20,True,False,2
123,node6-7,node8-3,-20,True,False,4
124,node6-7,node8-3,-20,True,False,3
125,node6-7,node8-3,-20,True,False,1
126,node6-7,node8-3,-20,True,False,3
127,node6-7,node8-3,-20,True,False,2
128,node6-7,node8-3,-20,True,False,3
129,node6-7,node8-3,-20,True,False,3
130,node6-7,node8-3,-20,True,False,3
131,node6-7,node8-3,-20,True,False,3
132,node6-7,node8-3,-20,True,False,2
133,node6-7,node8-3,-20,True,False,1
134,node6-7,node8-3,-20,True,False,4
135,node6-7,node8-3,-20,True,False,3
136,node6-7,node8-3,-20,True,False,4
137,node6-7,node8-3,-20,True,False,3
138,node6-7,node8-3,-20,False,True,0
139,node6-7,node8-3,-20,True,False,4
140,node6-7,node8-3,-20,True,False,2
141,node6-7,node8-3,-20,True,False,3
142,node6-7,node8-3,-20,True,False,4
143,node6-7,node8-3,-20,True,False,1
144,node6-7,node8-3,-20,True,False,2
145,node6-7,node8-3,-20,True,False,2
146,node6-7,node8-3,-20,True,False,3
147,node6-7,node8-3,-20,True,False,4
148,node6-7,node8-3,-20,True,False,2
149,node6-7,node8-3,-20,True,False,4
150,node6-7,node8-3,-20,True,False,4
151,node6-7,node8-3,-20,False,False,0
152,node6-7,node8-3,-20,False,False,0
153,node6-7,node8-3,-20,True,False,0
154,node6-7,node8-3,-20,True,False,4
155,node6-7,node8-3,-20,True,False,2
156,node6-7,node8-3,-20,True,False,3
157,node6-7,node8-3,-20,True,False,2
