seq,src,dst,noise,received,error,rssi
1,node2-1,node2-5,-20,True,False,27
2,node2-1,node2-5,-20,True,False,25
3,node2-1,node2-5,-20,True,False,22
4,node2-1,node2-5,-20,True,False,22
5,node2-1,node2-5,-20,True,False,22
6,node2-1,node2-5,-20,True,False,22
7,node2-1,node2-5,-20,True,False,22
8,node2-1,node2-5,-20,True,False,22
9,node2-1,node2-5,-20,True,False,22
10,node2-1,node2-5,-20,True,False,23
11,node2-1,node2-5,-20,True,False,22
12,node2-1,node2-5,-20,True,False,22
13,node2-1,node2-5,-20,True,False,22
14,node2-1,node2-5,-20,True,False,22
15,node2-1,node2-5,-20,True,False,22
16,node2-1,node2-5,-20,True,False,22
17,node2-1,node2-5,-20,True,False,21
18,node2-1,node2-5,-20,True,False,22
19,node2-1,node2-5,-20,True,False,22
20,node2-1,node2-5,-20,True,False,22
21,node2-1,node2-5,-20,True,False,22
22,node2-1,node2-5,-20,True,False,23
23,node2-1,node2-5,-20,True,False,22
24,node2-1,node2-5,-20,True,False,22
25,node2-1,node2-5,-20,True,False,22
26,node2-1,node2-5,-20,True,False,22
27,node2-1,node2-5,-20,True,False,22
28,node2-1,node2-5,-20,True,False,22
29,node2-1,node2-5,-20,True,False,22
30,node2-1,node2-5,-20,True,False,22
31,node2-1,node2-5,-20,True,False,22
32,node2-1,node2-5,-20,True,False,22
33,node2-1,node2-5,-20,True,False,22
34,node2-1,node2-5,-20,True,False,22
35,node2-1,node2-5,-20,True,False,22
36,node2-1,node2-5,-20,True,False,22
37,node2-1,node2-5,-20,True,False,22
38,node2-1,node2-5,-20,True,False,22
39,node2-1,node2-5,-20,True,False,22
40,node2-1,node2-5,-20,True,False,22
41,node2-1,node2-5,-20,True,False,22
42,node2-1,node2-5,-20,True,False,22
43,node2-1,node2-5,-20,True,False,22
44,node2-1,node2-5,-20,True,False,22
45,node2-1,node2-5,-20,True,False,22
46,node2-1,node2-5,-20,True,False,22
47,node2-1,node2-5,-20,True,False,22
