seq,src,dst,noise,received,error,rssi
1,node5-8,node4-5,-20,True,False,28
2,node5-8,node4-5,-20,True,False,29
3,node5-8,node4-5,-20,True,False,24
4,node5-8,node4-5,-20,True,False,26
5,node5-8,node4-5,-20,True,False,25
6,node5-8,node4-5,-20,True,False,24
7,node5-8,node4-5,-20,True,False,24
8,node5-8,node4-5,-20,True,False,26
9,node5-8,node4-5,-20,True,False,26
10,node5-8,node4-5,-20,True,False,25
11,node5-8,node4-5,-20,True,False,25
12,node5-8,node4-5,-20,True,False,25
13,node5-8,node4-5,-20,True,False,25
14,node5-8,node4-5,-20,True,False,25
15,node5-8,node4-5,-20,True,False,26
16,node5-8,node4-5,-20,True,False,24
17,node5-8,node4-5,-20,True,False,24
18,node5-8,node4-5,-20,True,False,25
19,node5-8,node4-5,-20,True,False,26
20,node5-8,node4-5,-20,True,False,24
21,node5-8,node4-5,-20,True,False,26
22,node5-8,node4-5,-20,True,False,26
23,node5-8,node4-5,-20,True,False,26
24,node5-8,node4-5,-20,True,False,25
25,node5-8,node4-5,-20,True,False,25
26,node5-8,node4-5,-20,True,False,27
27,node5-8,node4-5,-20,True,False,26
28,node5-8,node4-5,-20,True,False,25
29,node5-8,node4-5,-20,True,False,26
30,node5-8,node4-5,-20,True,False,25
31,node5-8,node4-5,-20,True,False,25
32,node5-8,node4-5,-20,True,False,25
33,node5-8,node4-5,-20,True,False,26
34,node5-8,node4-5,-20,True,False,26
35,node5-8,node4-5,-20,True,False,26
36,node5-8,node4-5,-20,True,False,24
37,node5-8,node4-5,-20,True,False,27
38,node5-8,node4-5,-20,True,False,25
39,node5-8,node4-5,-20,True,False,25
40,node5-8,node4-5,-20,True,False,26
41,node5-8,node4-5,-20,True,False,24
42,node5-8,node4-5,-20,True,False,26
43,node5-8,node4-5,-20,True,False,24
44,node5-8,node4-5,-20,True,False,26
45,node5-8,node4-5,-20,True,False,25
46,node5-8,node4-5,-20,True,False,25
47,node5-8,node4-5,-20,True,False,26
48,node5-8,node4-5,-20,True,False,25
49,node5-8,node4-5,-20,True,False,26
