seq,src,dst,noise,received,error,rssi
1,node3-4,node1-6,-10,True,False,9
2,node3-4,node1-6,-10,True,False,9
3,node3-4,node1-6,-10,True,False,4
4,node3-4,node1-6,-10,True,False,3
5,node3-4,node1-6,-10,True,False,2
6,node3-4,node1-6,-10,True,False,3
7,node3-4,node1-6,-10,True,False,2
8,node3-4,node1-6,-10,True,False,5
9,node3-4,node1-6,-10,True,False,5
10,node3-4,node1-6,-10,True,False,6
11,node3-4,node1-6,-10,True,False,6
12,node3-4,node1-6,-10,True,False,4
13,node3-4,node1-6,-10,True,False,5
14,node3-4,node1-6,-10,True,False,3
15,node3-4,node1-6,-10,True,False,6
16,node3-4,node1-6,-10,True,False,4
17,node3-4,node1-6,-10,True,False,5
18,node3-4,node1-6,-10,True,False,3
19,node3-4,node1-6,-10,True,False,3
20,node3-4,node1-6,-10,True,False,5
21,node3-4,node1-6,-10,True,False,5
22,node3-4,node1-6,-10,True,False,6
23,node3-4,node1-6,-10,True,False,4
24,node3-4,node1-6,-10,True,False,3
25,node3-4,node1-6,-10,True,False,5
26,node3-4,node1-6,-10,True,False,4
27,node3-4,node1-6,-10,True,False,3
28,node3-4,node1-6,-10,True,False,5
29,node3-4,node1-6,-10,True,False,4
30,node3-4,node1-6,-10,True,False,4
31,node3-4,node1-6,-10,True,False,4
32,node3-4,node1-6,-10,True,False,3
33,node3-4,node1-6,-10,True,False,4
34,node3-4,node1-6,-10,True,False,4
35,node3-4,node1-6,-10,True,False,6
36,node3-4,node1-6,-10,True,False,4
37,node3-4,node1-6,-10,True,False,0
38,node3-4,node1-6,-10,True,False,5
39,node3-4,node1-6,-10,True,False,6
40,node3-4,node1-6,-10,True,False,4
41,node3-4,node1-6,-10,True,False,4
42,node3-4,node1-6,-10,True,False,4
43,node3-4,node1-6,-10,True,False,2
44,node3-4,node1-6,-10,True,False,4
45,node3-4,node1-6,-10,True,False,3
46,node3-4,node1-6,-10,True,False,2
47,node3-4,node1-6,-10,True,False,6
48,node3-4,node1-6,-10,True,False,3
49,node3-4,node1-6,-10,True,False,3
50,node3-4,node1-6,-10,True,False,3
51,node3-4,node1-6,-10,True,False,2
52,node3-4,node1-6,-10,True,False,5
53,node3-4,node1-6,-10,True,False,3
54,node3-4,node1-6,-10,True,False,3
55,node3-4,node1-6,-10,True,False,2
56,node3-4,node1-6,-10,True,False,4
57,node3-4,node1-6,-10,True,False,3
58,node3-4,node1-6,-10,True,False,4
59,node3-4,node1-6,-10,True,False,5
60,node3-4,node1-6,-10,True,False,5
61,node3-4,node1-6,-10,True,False,2
62,node3-4,node1-6,-10,True,False,4
63,node3-4,node1-6,-10,True,False,4
64,node3-4,node1-6,-10,True,False,4
65,node3-4,node1-6,-10,True,False,3
66,node3-4,node1-6,-10,True,False,3
67,node3-4,node1-6,-10,True,False,5
68,node3-4,node1-6,-10,True,False,3
69,node3-4,node1-6,-10,True,False,6
70,node3-4,node1-6,-10,True,False,3
71,node3-4,node1-6,-10,True,False,5
72,node3-4,node1-6,-10,True,False,5
73,node3-4,node1-6,-10,True,False,5
74,node3-4,node1-6,-10,True,False,5
75,node3-4,node1-6,-10,True,False,4
76,node3-4,node1-6,-10,True,False,4
77,node3-4,node1-6,-10,True,False,3
78,node3-4,node1-6,-10,True,False,4
79,node3-4,node1-6,-10,True,False,4
80,node3-4,node1-6,-10,True,False,4
81,node3-4,node1-6,-10,True,False,4
82,node3-4,node1-6,-10,True,False,5
83,node3-4,node1-6,-10,True,False,5
84,node3-4,node1-6,-10,True,False,4
85,node3-4,node1-6,-10,True,False,4
86,node3-4,node1-6,-10,True,False,6
