seq,src,dst,noise,received,error,rssi
1,node3-4,node6-7,-10,True,False,9
2,node3-4,node6-7,-10,True,False,5
3,node3-4,node6-7,-10,True,False,4
4,node3-4,node6-7,-10,True,False,3
5,node3-4,node6-7,-10,False,False,0
6,node3-4,node6-7,-10,True,False,3
7,node3-4,node6-7,-10,True,False,4
8,node3-4,node6-7,-10,True,False,4
9,node3-4,node6-7,-10,True,False,2
10,node3-4,node6-7,-10,False,False,0
11,node3-4,node6-7,-10,True,False,5
12,node3-4,node6-7,-10,False,False,0
13,node3-4,node6-7,-10,True,False,3
14,node3-4,node6-7,-10,True,False,4
15,node3-4,node6-7,-10,False,False,0
16,node3-4,node6-7,-10,True,False,3
17,node3-4,node6-7,-10,False,False,0
18,node3-4,node6-7,-10,False,False,0
19,node3-4,node6-7,-10,False,False,0
20,node3-4,node6-7,-10,True,False,4
21,node3-4,node6-7,-10,False,False,0
22,node3-4,node6-7,-10,False,False,0
23,node3-4,node6-7,-10,True,False,3
24,node3-4,node6-7,-10,True,False,1
25,node3-4,node6-7,-10,True,False,4
26,node3-4,node6-7,-10,True,False,5
27,node3-4,node6-7,-10,False,False,0
28,node3-4,node6-7,-10,False,False,0
29,node3-4,node6-7,-10,True,False,2
30,node3-4,node6-7,-10,False,False,0
31,node3-4,node6-7,-10,False,False,0
32,node3-4,node6-7,-10,True,False,4
33,node3-4,node6-7,-10,True,False,4
34,node3-4,node6-7,-10,True,False,3
35,node3-4,node6-7,-10,True,False,4
36,node3-4,node6-7,-10,True,False,3
37,node3-4,node6-7,-10,False,False,0
38,node3-4,node6-7,-10,True,False,4
39,node3-4,node6-7,-10,True,False,4
40,node3-4,node6-7,-10,True,False,4
41,node3-4,node6-7,-10,False,False,0
42,node3-4,node6-7,-10,True,False,3
43,node3-4,node6-7,-10,False,False,0
44,node3-4,node6-7,-10,False,False,0
45,node3-4,node6-7,-10,True,False,5
46,node3-4,node6-7,-10,False,False,0
47,node3-4,node6-7,-10,False,False,0
48,node3-4,node6-7,-10,True,False,2
49,node3-4,node6-7,-10,True,False,3
50,node3-4,node6-7,-10,True,False,2
51,node3-4,node6-7,-10,True,False,5
52,node3-4,node6-7,-10,True,False,4
53,node3-4,node6-7,-10,True,False,2
54,node3-4,node6-7,-10,True,False,3
55,node3-4,node6-7,-10,True,False,4
56,node3-4,node6-7,-10,False,False,0
