seq,src,dst,noise,received,error,rssi
1,node1-2,node5-2,0,True,False,13
2,node1-2,node5-2,0,True,False,10
3,node1-2,node5-2,0,True,False,8
4,node1-2,node5-2,0,True,False,6
5,node1-2,node5-2,0,True,False,6
6,node1-2,node5-2,0,True,False,7
7,node1-2,node5-2,0,True,False,7
8,node1-2,node5-2,0,True,False,6
9,node1-2,node5-2,0,True,False,7
10,node1-2,node5-2,0,True,False,6
11,node1-2,node5-2,0,True,False,8
12,node1-2,node5-2,0,True,False,8
13,node1-2,node5-2,0,True,False,8
14,node1-2,node5-2,0,True,False,7
15,node1-2,node5-2,0,True,False,8
16,node1-2,node5-2,0,True,False,6
17,node1-2,node5-2,0,True,False,7
18,node1-2,node5-2,0,True,False,8
19,node1-2,node5-2,0,True,False,7
20,node1-2,node5-2,0,True,False,6
21,node1-2,node5-2,0,True,False,7
22,node1-2,node5-2,0,True,False,7
23,node1-2,node5-2,0,True,False,7
24,node1-2,node5-2,0,True,False,8
25,node1-2,node5-2,0,True,False,8
26,node1-2,node5-2,0,True,False,8
27,node1-2,node5-2,0,True,False,6
28,node1-2,node5-2,0,True,False,8
29,node1-2,node5-2,0,True,False,7
30,node1-2,node5-2,0,True,False,6
31,node1-2,node5-2,0,True,False,7
32,node1-2,node5-2,0,True,False,7
33,node1-2,node5-2,0,True,False,6
34,node1-2,node5-2,0,True,False,6
35,node1-2,node5-2,0,True,False,7
36,node1-2,node5-2,0,True,False,7
37,node1-2,node5-2,0,True,False,7
38,node1-2,node5-2,0,True,False,7
39,node1-2,node5-2,0,True,False,7
40,node1-2,node5-2,0,True,False,7
41,node1-2,node5-2,0,True,False,7
42,node1-2,node5-2,0,True,False,7
43,node1-2,node5-2,0,True,False,8
44,node1-2,node5-2,0,True,False,7
45,node1-2,node5-2,0,True,False,8
46,node1-2,node5-2,0,True,False,7
47,node1-2,node5-2,0,True,False,8
48,node1-2,node5-2,0,True,False,7
49,node1-2,node5-2,0,True,False,7
50,node1-2,node5-2,0,True,False,8
51,node1-2,node5-2,0,True,False,5
52,node1-2,node5-2,0,True,False,7
