seq,src,dst,noise,received,error,rssi
1,node7-2,node6-3,-20,True,False,29
2,node7-2,node6-3,-20,True,False,28
3,node7-2,node6-3,-20,True,False,27
4,node7-2,node6-3,-20,True,False,23
5,node7-2,node6-3,-20,True,False,24
6,node7-2,node6-3,-20,True,False,24
7,node7-2,node6-3,-20,True,False,23
8,node7-2,node6-3,-20,True,False,23
9,node7-2,node6-3,-20,True,False,22
10,node7-2,node6-3,-20,True,False,22
11,node7-2,node6-3,-20,True,False,24
12,node7-2,node6-3,-20,True,False,24
13,node7-2,node6-3,-20,True,False,23
14,node7-2,node6-3,-20,True,False,25
15,node7-2,node6-3,-20,True,False,23
16,node7-2,node6-3,-20,True,False,23
17,node7-2,node6-3,-20,True,False,24
18,node7-2,node6-3,-20,True,False,23
19,node7-2,node6-3,-20,True,False,24
20,node7-2,node6-3,-20,True,False,23
21,node7-2,node6-3,-20,True,False,23
22,node7-2,node6-3,-20,True,False,24
23,node7-2,node6-3,-20,True,False,24
24,node7-2,node6-3,-20,True,False,25
25,node7-2,node6-3,-20,True,False,24
26,node7-2,node6-3,-20,True,False,24
27,node7-2,node6-3,-20,True,False,23
28,node7-2,node6-3,-20,True,False,24
29,node7-2,node6-3,-20,True,False,25
30,node7-2,node6-3,-20,True,False,23
31,node7-2,node6-3,-20,True,False,24
32,node7-2,node6-3,-20,True,False,22
33,node7-2,node6-3,-20,True,False,23
34,node7-2,node6-3,-20,True,False,23
35,node7-2,node6-3,-20,True,False,24
36,node7-2,node6-3,-20,True,False,24
37,node7-2,node6-3,-20,True,False,22
38,node7-2,node6-3,-20,True,False,24
39,node7-2,node6-3,-20,True,False,23
40,node7-2,node6-3,-20,True,False,23
41,node7-2,node6-3,-20,True,False,22
42,node7-2,node6-3,-20,True,False,24
43,node7-2,node6-3,-20,True,False,24
44,node7-2,node6-3,-20,True,False,22
45,node7-2,node6-3,-20,True,False,23
46,node7-2,node6-3,-20,True,False,23
47,node7-2,node6-3,-20,True,False,25
48,node7-2,node6-3,-20,True,False,24
49,node7-2,node6-3,-20,True,False,24
50,node7-2,node6-3,-20,True,False,23
51,node7-2,node6-3,-20,True,False,25
52,node7-2,node6-3,-20,True,False,24
53,node7-2,node6-3,-20,True,False,24
54,node7-2,node6-3,-20,True,False,24
55,node7-2,node6-3,-20,True,False,23
56,node7-2,node6-3,-20,True,False,23
57,node7-2,node6-3,-20,True,False,24
58,node7-2,node6-3,-20,True,False,23
59,node7-2,node6-3,-20,True,False,22
60,node7-2,node6-3,-20,True,False,24
61,node7-2,node6-3,-20,True,False,24
62,node7-2,node6-3,-20,True,False,23
63,node7-2,node6-3,-20,True,False,22
64,node7-2,node6-3,-20,True,False,24
65,node7-2,node6-3,-20,True,False,23
66,node7-2,node6-3,-20,True,False,24
67,node7-2,node6-3,-20,True,False,24
68,node7-2,node6-3,-20,True,False,24
69,node7-2,node6-3,-20,True,False,24
70,node7-2,node6-3,-20,True,False,24
71,node7-2,node6-3,-20,True,False,23
72,node7-2,node6-3,-20,True,False,24
73,node7-2,node6-3,-20,True,False,24
74,node7-2,node6-3,-20,True,False,24
75,node7-2,node6-3,-20,True,False,23
76,node7-2,node6-3,-20,True,False,23
77,node7-2,node6-3,-20,True,False,24
78,node7-2,node6-3,-20,True,False,22
79,node7-2,node6-3,-20,True,False,25
80,node7-2,node6-3,-20,True,False,24
81,node7-2,node6-3,-20,True,False,24
82,node7-2,node6-3,-20,True,False,23
83,node7-2,node6-3,-20,True,False,24
84,node7-2,node6-3,-20,True,False,23
85,node7-2,node6-3,-20,True,False,23
86,node7-2,node6-3,-20,True,False,24
87,node7-2,node6-3,-20,True,False,23
88,node7-2,node6-3,-20,True,False,24
89,node7-2,node6-3,-20,True,False,23
90,node7-2,node6-3,-20,True,False,24
91,node7-2,node6-3,-20,True,False,24
92,node7-2,node6-3,-20,True,False,23
93,node7-2,node6-3,-20,True,False,24
94,node7-2,node6-3,-20,True,False,24
95,node7-2,node6-3,-20,True,False,23
96,node7-2,node6-3,-20,True,False,25
97,node7-2,node6-3,-20,True,False,24
98,node7-2,node6-3,-20,True,False,24
99,node7-2,node6-3,-20,True,False,24
100,node7-2,node6-3,-20,True,False,25
101,node7-2,node6-3,-20,True,False,24
102,node7-2,node6-3,-20,True,False,24
103,node7-2,node6-3,-20,True,False,24
104,node7-2,node6-3,-20,True,False,24
105,node7-2,node6-3,-20,True,False,24
106,node7-2,node6-3,-20,True,False,24
107,node7-2,node6-3,-20,True,False,23
108,node7-2,node6-3,-20,True,False,24
109,node7-2,node6-3,-20,True,False,24
110,node7-2,node6-3,-20,True,False,23
111,node7-2,node6-3,-20,True,False,24
112,node7-2,node6-3,-20,True,False,23
113,node7-2,node6-3,-20,True,False,25
114,node7-2,node6-3,-20,True,False,24
115,node7-2,node6-3,-20,True,False,22
116,node7-2,node6-3,-20,True,False,24
117,node7-2,node6-3,-20,True,False,22
118,node7-2,node6-3,-20,True,False,23
119,node7-2,node6-3,-20,True,False,23
120,node7-2,node6-3,-20,True,False,24
121,node7-2,node6-3,-20,True,False,24
122,node7-2,node6-3,-20,True,False,24
123,node7-2,node6-3,-20,True,False,23
124,node7-2,node6-3,-20,True,False,24
125,node7-2,node6-3,-20,True,False,23
126,node7-2,node6-3,-20,True,False,23
127,node7-2,node6-3,-20,True,False,25
128,node7-2,node6-3,-20,True,False,24
129,node7-2,node6-3,-20,True,False,24
130,node7-2,node6-3,-20,True,False,22
131,node7-2,node6-3,-20,True,False,24
132,node7-2,node6-3,-20,True,False,24
133,node7-2,node6-3,-20,True,False,23
134,node7-2,node6-3,-20,True,False,22
135,node7-2,node6-3,-20,True,False,24
136,node7-2,node6-3,-20,True,False,24
137,node7-2,node6-3,-20,True,False,25
138,node7-2,node6-3,-20,True,False,23
139,node7-2,node6-3,-20,True,False,24
140,node7-2,node6-3,-20,True,False,22
141,node7-2,node6-3,-20,True,False,24
142,node7-2,node6-3,-20,True,False,24
143,node7-2,node6-3,-20,True,False,24
144,node7-2,node6-3,-20,True,False,24
145,node7-2,node6-3,-20,True,False,23
146,node7-2,node6-3,-20,True,False,25
147,node7-2,node6-3,-20,True,False,24
148,node7-2,node6-3,-20,True,False,25
149,node7-2,node6-3,-20,True,False,24
150,node7-2,node6-3,-20,True,False,23
151,node7-2,node6-3,-20,True,False,24
152,node7-2,node6-3,-20,True,False,22
153,node7-2,node6-3,-20,True,False,25
154,node7-2,node6-3,-20,True,False,23
155,node7-2,node6-3,-20,True,False,24
156,node7-2,node6-3,-20,True,False,24
157,node7-2,node6-3,-20,True,False,23
158,node7-2,node6-3,-20,True,False,24
159,node7-2,node6-3,-20,True,False,23
160,node7-2,node6-3,-20,True,False,24
161,node7-2,node6-3,-20,True,False,22
162,node7-2,node6-3,-20,True,False,24
163,node7-2,node6-3,-20,True,False,24
164,node7-2,node6-3,-20,True,False,23
165,node7-2,node6-3,-20,True,False,24
166,node7-2,node6-3,-20,True,False,23
167,node7-2,node6-3,-20,True,False,23
168,node7-2,node6-3,-20,True,False,24
169,node7-2,node6-3,-20,True,False,24
170,node7-2,node6-3,-20,True,False,24
171,node7-2,node6-3,-20,True,False,23
172,node7-2,node6-3,-20,True,False,25
173,node7-2,node6-3,-20,True,False,24
174,node7-2,node6-3,-20,True,False,24
175,node7-2,node6-3,-20,True,False,23
176,node7-2,node6-3,-20,True,False,23
177,node7-2,node6-3,-20,True,False,24
178,node7-2,node6-3,-20,True,False,23
179,node7-2,node6-3,-20,True,False,22
180,node7-2,node6-3,-20,True,False,23
181,node7-2,node6-3,-20,True,False,24
