seq,src,dst,noise,received,error,rssi
1,node4-1,node1-8,-20,True,False,15
2,node4-1,node1-8,-20,True,False,12
3,node4-1,node1-8,-20,True,False,11
4,node4-1,node1-8,-20,True,False,8
5,node4-1,node1-8,-20,True,False,6
6,node4-1,node1-8,-20,True,False,9
7,node4-1,node1-8,-20,True,False,8
8,node4-1,node1-8,-20,True,False,9
9,node4-1,node1-8,-20,True,False,8
10,node4-1,node1-8,-20,True,False,8
11,node4-1,node1-8,-20,True,False,7
12,node4-1,node1-8,-20,True,False,8
13,node4-1,node1-8,-20,True,False,6
14,node4-1,node1-8,-20,True,False,8
15,node4-1,node1-8,-20,True,False,9
16,node4-1,node1-8,-20,True,False,8
17,node4-1,node1-8,-20,True,False,7
18,node4-1,node1-8,-20,True,False,9
19,node4-1,node1-8,-20,True,False,8
20,node4-1,node1-8,-20,True,False,8
21,node4-1,node1-8,-20,True,False,6
22,node4-1,node1-8,-20,True,False,8
23,node4-1,node1-8,-20,True,False,8
24,node4-1,node1-8,-20,True,False,9
25,node4-1,node1-8,-20,True,False,8
26,node4-1,node1-8,-20,True,False,7
27,node4-1,node1-8,-20,True,False,9
28,node4-1,node1-8,-20,True,False,6
29,node4-1,node1-8,-20,True,False,7
30,node4-1,node1-8,-20,True,False,10
31,node4-1,node1-8,-20,True,False,9
32,node4-1,node1-8,-20,True,False,8
33,node4-1,node1-8,-20,True,False,10
34,node4-1,node1-8,-20,True,False,10
35,node4-1,node1-8,-20,True,False,8
36,node4-1,node1-8,-20,True,False,6
37,node4-1,node1-8,-20,True,False,8
38,node4-1,node1-8,-20,True,False,8
39,node4-1,node1-8,-20,True,False,10
40,node4-1,node1-8,-20,True,False,9
41,node4-1,node1-8,-20,True,False,8
42,node4-1,node1-8,-20,True,False,10
43,node4-1,node1-8,-20,True,False,6
44,node4-1,node1-8,-20,True,False,9
45,node4-1,node1-8,-20,True,False,6
46,node4-1,node1-8,-20,True,False,7
47,node4-1,node1-8,-20,True,False,7
48,node4-1,node1-8,-20,True,False,7
49,node4-1,node1-8,-20,True,False,8
50,node4-1,node1-8,-20,True,False,8
51,node4-1,node1-8,-20,True,False,9
52,node4-1,node1-8,-20,True,False,10
53,node4-1,node1-8,-20,True,False,8
54,node4-1,node1-8,-20,True,False,6
55,node4-1,node1-8,-20,True,False,9
56,node4-1,node1-8,-20,True,False,10
57,node4-1,node1-8,-20,True,False,9
58,node4-1,node1-8,-20,True,False,8
59,node4-1,node1-8,-20,True,False,9
60,node4-1,node1-8,-20,True,False,7
