seq,src,dst,noise,received,error,rssi
1,node8-7,node6-3,-20,True,False,25
2,node8-7,node6-3,-20,True,False,23
3,node8-7,node6-3,-20,True,False,22
4,node8-7,node6-3,-20,True,False,22
5,node8-7,node6-3,-20,True,False,21
6,node8-7,node6-3,-20,True,False,22
7,node8-7,node6-3,-20,True,False,21
8,node8-7,node6-3,-20,True,False,21
9,node8-7,node6-3,-20,True,False,21
10,node8-7,node6-3,-20,True,False,22
11,node8-7,node6-3,-20,True,False,21
12,node8-7,node6-3,-20,True,False,21
13,node8-7,node6-3,-20,True,False,21
14,node8-7,node6-3,-20,True,False,22
15,node8-7,node6-3,-20,True,False,22
16,node8-7,node6-3,-20,True,False,21
17,node8-7,node6-3,-20,True,False,21
18,node8-7,node6-3,-20,True,False,22
19,node8-7,node6-3,-20,True,False,22
20,node8-7,node6-3,-20,True,False,21
21,node8-7,node6-3,-20,True,False,21
22,node8-7,node6-3,-20,True,False,20
23,node8-7,node6-3,-20,True,False,21
24,node8-7,node6-3,-20,True,False,22
25,node8-7,node6-3,-20,True,False,21
26,node8-7,node6-3,-20,True,False,21
27,node8-7,node6-3,-20,True,False,22
28,node8-7,node6-3,-20,True,False,21
29,node8-7,node6-3,-20,True,False,21
30,node8-7,node6-3,-20,True,False,21
31,node8-7,node6-3,-20,True,False,20
32,node8-7,node6-3,-20,True,False,20
33,node8-7,node6-3,-20,True,False,20
34,node8-7,node6-3,-20,True,False,21
35,node8-7,node6-3,-20,True,False,21
36,node8-7,node6-3,-20,True,False,21
37,node8-7,node6-3,-20,True,False,21
38,node8-7,node6-3,-20,True,False,22
39,node8-7,node6-3,-20,True,False,22
40,node8-7,node6-3,-20,True,False,21
41,node8-7,node6-3,-20,True,False,21
42,node8-7,node6-3,-20,True,False,22
43,node8-7,node6-3,-20,True,False,21
44,node8-7,node6-3,-20,True,False,21
45,node8-7,node6-3,-20,True,False,22
46,node8-7,node6-3,-20,True,False,21
47,node8-7,node6-3,-20,True,False,21
48,node8-7,node6-3,-20,True,False,21
49,node8-7,node6-3,-20,True,False,22
50,node8-7,node6-3,-20,True,False,21
51,node8-7,node6-3,-20,True,False,21
52,node8-7,node6-3,-20,True,False,22
