seq,src,dst,noise,received,error,rssi
1,node3-4,node5-2,-15,True,False,17
2,node3-4,node5-2,-15,True,False,15
3,node3-4,node5-2,-15,True,False,13
4,node3-4,node5-2,-15,True,False,12
5,node3-4,node5-2,-15,True,False,11
6,node3-4,node5-2,-15,True,False,12
7,node3-4,node5-2,-15,True,False,12
8,node3-4,node5-2,-15,True,False,12
9,node3-4,node5-2,-15,True,False,12
10,node3-4,node5-2,-15,True,False,12
11,node3-4,node5-2,-15,True,False,10
12,node3-4,node5-2,-15,True,False,12
13,node3-4,node5-2,-15,True,False,11
14,node3-4,node5-2,-15,True,False,12
15,node3-4,node5-2,-15,True,False,12
16,node3-4,node5-2,-15,True,False,13
17,node3-4,node5-2,-15,True,False,11
18,node3-4,node5-2,-15,True,False,12
19,node3-4,node5-2,-15,True,False,12
20,node3-4,node5-2,-15,True,False,11
21,node3-4,node5-2,-15,True,False,11
22,node3-4,node5-2,-15,True,False,11
23,node3-4,node5-2,-15,True,False,12
24,node3-4,node5-2,-15,True,False,11
25,node3-4,node5-2,-15,True,False,11
26,node3-4,node5-2,-15,True,False,12
27,node3-4,node5-2,-15,True,False,11
28,node3-4,node5-2,-15,True,False,11
29,node3-4,node5-2,-15,True,False,12
30,node3-4,node5-2,-15,True,False,12
31,node3-4,node5-2,-15,True,False,12
32,node3-4,node5-2,-15,True,False,11
33,node3-4,node5-2,-15,True,False,12
34,node3-4,node5-2,-15,True,False,11
35,node3-4,node5-2,-15,True,False,12
36,node3-4,node5-2,-15,True,False,11
37,node3-4,node5-2,-15,True,False,11
38,node3-4,node5-2,-15,True,False,12
39,node3-4,node5-2,-15,True,False,11
40,node3-4,node5-2,-15,True,False,12
41,node3-4,node5-2,-15,True,False,12
42,node3-4,node5-2,-15,True,False,12
43,node3-4,node5-2,-15,True,False,12
44,node3-4,node5-2,-15,True,False,11
45,node3-4,node5-2,-15,True,False,12
46,node3-4,node5-2,-15,True,False,11
47,node3-4,node5-2,-15,True,False,12
48,node3-4,node5-2,-15,True,False,12
49,node3-4,node5-2,-15,True,False,12
50,node3-4,node5-2,-15,True,False,12
51,node3-4,node5-2,-15,True,False,12
52,node3-4,node5-2,-15,True,False,12
53,node3-4,node5-2,-15,True,False,12
54,node3-4,node5-2,-15,True,False,12
55,node3-4,node5-2,-15,True,False,13
56,node3-4,node5-2,-15,True,False,12
57,node3-4,node5-2,-15,True,False,11
58,node3-4,node5-2,-15,True,False,12
59,node3-4,node5-2,-15,True,False,11
