seq,src,dst,noise,received,error,rssi
1,node5-4,node6-1,-15,True,False,12
2,node5-4,node6-1,-15,True,False,10
3,node5-4,node6-1,-15,True,False,8
4,node5-4,node6-1,-15,True,False,9
5,node5-4,node6-1,-15,True,False,7
6,node5-4,node6-1,-15,True,False,8
7,node5-4,node6-1,-15,True,False,7
8,node5-4,node6-1,-15,True,False,7
9,node5-4,node6-1,-15,True,False,8
10,node5-4,node6-1,-15,True,False,8
11,node5-4,node6-1,-15,True,False,6
12,node5-4,node6-1,-15,True,False,6
13,node5-4,node6-1,-15,True,False,7
14,node5-4,node6-1,-15,True,False,7
15,node5-4,node6-1,-15,True,False,7
16,node5-4,node6-1,-15,True,False,7
17,node5-4,node6-1,-15,True,False,7
18,node5-4,node6-1,-15,True,False,8
19,node5-4,node6-1,-15,True,False,8
20,node5-4,node6-1,-15,True,False,6
21,node5-4,node6-1,-15,True,False,7
22,node5-4,node6-1,-15,True,False,8
23,node5-4,node6-1,-15,True,False,6
24,node5-4,node6-1,-15,True,False,7
25,node5-4,node6-1,-15,True,False,7
26,node5-4,node6-1,-15,True,False,7
27,node5-4,node6-1,-15,True,False,6
28,node5-4,node6-1,-15,True,False,8
29,node5-4,node6-1,-15,True,False,6
30,node5-4,node6-1,-15,True,False,8
31,node5-4,node6-1,-15,True,False,7
32,node5-4,node6-1,-15,True,False,6
33,node5-4,node6-1,-15,True,False,7
34,node5-4,node6-1,-15,True,False,9
35,node5-4,node6-1,-15,True,False,5
36,node5-4,node6-1,-15,True,False,7
37,node5-4,node6-1,-15,True,False,7
38,node5-4,node6-1,-15,True,False,6
39,node5-4,node6-1,-15,True,False,6
40,node5-4,node6-1,-15,True,False,8
41,node5-4,node6-1,-15,True,False,7
42,node5-4,node6-1,-15,True,False,6
43,node5-4,node6-1,-15,True,False,8
44,node5-4,node6-1,-15,True,False,6
45,node5-4,node6-1,-15,True,False,7
46,node5-4,node6-1,-15,True,False,7
47,node5-4,node6-1,-15,True,False,8
48,node5-4,node6-1,-15,True,False,6
49,node5-4,node6-1,-15,True,False,7
50,node5-4,node6-1,-15,True,False,5
51,node5-4,node6-1,-15,True,False,7
52,node5-4,node6-1,-15,True,False,7
53,node5-4,node6-1,-15,True,False,8
54,node5-4,node6-1,-15,True,False,6
55,node5-4,node6-1,-15,True,False,7
56,node5-4,node6-1,-15,True,False,6
57,node5-4,node6-1,-15,True,False,8
58,node5-4,node6-1,-15,True,False,7
59,node5-4,node6-1,-15,True,False,5
60,node5-4,node6-1,-15,True,False,8
61,node5-4,node6-1,-15,True,False,7
62,node5-4,node6-1,-15,True,False,8
63,node5-4,node6-1,-15,True,False,7
64,node5-4,node6-1,-15,True,False,8
65,node5-4,node6-1,-15,True,False,7
66,node5-4,node6-1,-15,True,False,6
67,node5-4,node6-1,-15,True,False,5
68,node5-4,node6-1,-15,True,False,8
69,node5-4,node6-1,-15,True,False,7
70,node5-4,node6-1,-15,True,False,8
71,node5-4,node6-1,-15,True,False,7
72,node5-4,node6-1,-15,True,False,7
73,node5-4,node6-1,-15,True,False,7
74,node5-4,node6-1,-15,True,False,6
75,node5-4,node6-1,-15,True,False,6
76,node5-4,node6-1,-15,True,False,6
77,node5-4,node6-1,-15,True,False,6
78,node5-4,node6-1,-15,True,False,8
79,node5-4,node6-1,-15,True,False,8
80,node5-4,node6-1,-15,True,False,8
81,node5-4,node6-1,-15,True,False,7
82,node5-4,node6-1,-15,True,False,6
83,node5-4,node6-1,-15,True,False,6
84,node5-4,node6-1,-15,True,False,7
85,node5-4,node6-1,-15,True,False,7
86,node5-4,node6-1,-15,True,False,6
87,node5-4,node6-1,-15,True,False,7
88,node5-4,node6-1,-15,True,False,7
89,node5-4,node6-1,-15,True,False,6
90,node5-4,node6-1,-15,True,False,6
91,node5-4,node6-1,-15,True,False,7
92,node5-4,node6-1,-15,True,False,10
93,node5-4,node6-1,-15,True,False,7
94,node5-4,node6-1,-15,True,False,7
95,node5-4,node6-1,-15,True,False,6
96,node5-4,node6-1,-15,True,False,7
97,node5-4,node6-1,-15,True,False,7
98,node5-4,node6-1,-15,True,False,6
99,node5-4,node6-1,-15,True,False,7
100,node5-4,node6-1,-15,True,False,8
101,node5-4,node6-1,-15,True,False,6
102,node5-4,node6-1,-15,True,False,7
103,node5-4,node6-1,-15,True,False,9
104,node5-4,node6-1,-15,True,False,8
105,node5-4,node6-1,-15,True,False,8
106,node5-4,node6-1,-15,True,False,6
107,node5-4,node6-1,-15,True,False,7
108,node5-4,node6-1,-15,True,False,6
109,node5-4,node6-1,-15,True,False,6
110,node5-4,node6-1,-15,True,False,7
111,node5-4,node6-1,-15,True,False,7
112,node5-4,node6-1,-15,True,False,6
113,node5-4,node6-1,-15,True,False,8
114,node5-4,node6-1,-15,True,False,7
115,node5-4,node6-1,-15,True,False,6
116,node5-4,node6-1,-15,True,False,5
117,node5-4,node6-1,-15,True,False,8
118,node5-4,node6-1,-15,True,False,5
119,node5-4,node6-1,-15,True,False,6
120,node5-4,node6-1,-15,True,False,7
121,node5-4,node6-1,-15,True,False,7
122,node5-4,node6-1,-15,True,False,8
123,node5-4,node6-1,-15,True,False,4
124,node5-4,node6-1,-15,True,False,7
125,node5-4,node6-1,-15,True,False,6
126,node5-4,node6-1,-15,True,False,5
127,node5-4,node6-1,-15,True,False,7
128,node5-4,node6-1,-15,True,False,8
129,node5-4,node6-1,-15,True,False,7
130,node5-4,node6-1,-15,True,False,6
