seq,src,dst,noise,received,error,rssi
1,node5-4,node4-5,-15,True,False,29
2,node5-4,node4-5,-15,True,False,25
3,node5-4,node4-5,-15,True,False,26
4,node5-4,node4-5,-15,True,False,23
5,node5-4,node4-5,-15,True,False,23
6,node5-4,node4-5,-15,True,False,24
7,node5-4,node4-5,-15,True,False,24
8,node5-4,node4-5,-15,True,False,25
9,node5-4,node4-5,-15,True,False,25
10,node5-4,node4-5,-15,True,False,24
11,node5-4,node4-5,-15,True,False,26
12,node5-4,node4-5,-15,True,False,25
13,node5-4,node4-5,-15,True,False,26
14,node5-4,node4-5,-15,True,False,25
15,node5-4,node4-5,-15,True,False,25
16,node5-4,node4-5,-15,True,False,26
17,node5-4,node4-5,-15,True,False,24
18,node5-4,node4-5,-15,True,False,25
19,node5-4,node4-5,-15,True,False,25
20,node5-4,node4-5,-15,True,False,25
21,node5-4,node4-5,-15,True,False,25
22,node5-4,node4-5,-15,True,False,24
23,node5-4,node4-5,-15,True,False,25
24,node5-4,node4-5,-15,True,False,26
25,node5-4,node4-5,-15,True,False,25
26,node5-4,node4-5,-15,True,False,25
27,node5-4,node4-5,-15,True,False,24
28,node5-4,node4-5,-15,True,False,24
29,node5-4,node4-5,-15,True,False,25
30,node5-4,node4-5,-15,True,False,26
31,node5-4,node4-5,-15,True,False,25
32,node5-4,node4-5,-15,True,False,24
33,node5-4,node4-5,-15,True,False,25
34,node5-4,node4-5,-15,True,False,25
35,node5-4,node4-5,-15,True,False,25
36,node5-4,node4-5,-15,True,False,23
37,node5-4,node4-5,-15,True,False,26
38,node5-4,node4-5,-15,True,False,24
39,node5-4,node4-5,-15,True,False,25
40,node5-4,node4-5,-15,True,False,25
41,node5-4,node4-5,-15,True,False,25
42,node5-4,node4-5,-15,True,False,25
43,node5-4,node4-5,-15,True,False,25
44,node5-4,node4-5,-15,True,False,25
45,node5-4,node4-5,-15,True,False,25
46,node5-4,node4-5,-15,True,False,25
47,node5-4,node4-5,-15,True,False,25
48,node5-4,node4-5,-15,True,False,24
49,node5-4,node4-5,-15,True,False,25
50,node5-4,node4-5,-15,True,False,25
51,node5-4,node4-5,-15,True,False,24
52,node5-4,node4-5,-15,True,False,24
53,node5-4,node4-5,-15,True,False,26
54,node5-4,node4-5,-15,True,False,26
55,node5-4,node4-5,-15,True,False,24
56,node5-4,node4-5,-15,True,False,25
57,node5-4,node4-5,-15,True,False,25
58,node5-4,node4-5,-15,True,False,26
59,node5-4,node4-5,-15,True,False,25
60,node5-4,node4-5,-15,True,False,24
61,node5-4,node4-5,-15,True,False,24
62,node5-4,node4-5,-15,True,False,24
63,node5-4,node4-5,-15,True,False,24
64,node5-4,node4-5,-15,True,False,25
65,node5-4,node4-5,-15,True,False,25
66,node5-4,node4-5,-15,True,False,24
67,node5-4,node4-5,-15,True,False,24
68,node5-4,node4-5,-15,True,False,24
69,node5-4,node4-5,-15,True,False,26
70,node5-4,node4-5,-15,True,False,25
71,node5-4,node4-5,-15,True,False,25
72,node5-4,node4-5,-15,True,False,25
73,node5-4,node4-5,-15,True,False,26
74,node5-4,node4-5,-15,True,False,23
75,node5-4,node4-5,-15,True,False,23
76,node5-4,node4-5,-15,True,False,25
77,node5-4,node4-5,-15,True,False,25
78,node5-4,node4-5,-15,True,False,25
79,node5-4,node4-5,-15,True,False,24
80,node5-4,node4-5,-15,True,False,24
81,node5-4,node4-5,-15,True,False,24
82,node5-4,node4-5,-15,True,False,24
83,node5-4,node4-5,-15,True,False,24
84,node5-4,node4-5,-15,True,False,26
85,node5-4,node4-5,-15,True,False,25
86,node5-4,node4-5,-15,True,False,26
87,node5-4,node4-5,-15,True,False,25
88,node5-4,node4-5,-15,True,False,24
89,node5-4,node4-5,-15,True,False,25
90,node5-4,node4-5,-15,True,False,25
91,node5-4,node4-5,-15,True,False,23
92,node5-4,node4-5,-15,True,False,25
93,node5-4,node4-5,-15,True,False,23
94,node5-4,node4-5,-15,True,False,22
95,node5-4,node4-5,-15,True,False,25
96,node5-4,node4-5,-15,True,False,26
97,node5-4,node4-5,-15,True,False,25
98,node5-4,node4-5,-15,True,False,25
99,node5-4,node4-5,-15,True,False,25
100,node5-4,node4-5,-15,True,False,25
101,node5-4,node4-5,-15,True,False,24
102,node5-4,node4-5,-15,True,False,25
103,node5-4,node4-5,-15,True,False,25
104,node5-4,node4-5,-15,True,False,25
105,node5-4,node4-5,-15,True,False,23
106,node5-4,node4-5,-15,True,False,25
107,node5-4,node4-5,-15,True,False,26
108,node5-4,node4-5,-15,True,False,25
109,node5-4,node4-5,-15,True,False,24
110,node5-4,node4-5,-15,True,False,23
111,node5-4,node4-5,-15,True,False,23
112,node5-4,node4-5,-15,True,False,25
113,node5-4,node4-5,-15,True,False,23
114,node5-4,node4-5,-15,True,False,25
115,node5-4,node4-5,-15,True,False,24
116,node5-4,node4-5,-15,True,False,25
117,node5-4,node4-5,-15,True,False,23
118,node5-4,node4-5,-15,True,False,25
119,node5-4,node4-5,-15,True,False,25
120,node5-4,node4-5,-15,True,False,25
121,node5-4,node4-5,-15,True,False,24
122,node5-4,node4-5,-15,True,False,23
123,node5-4,node4-5,-15,True,False,24
124,node5-4,node4-5,-15,True,False,25
125,node5-4,node4-5,-15,True,False,23
126,node5-4,node4-5,-15,True,False,25
127,node5-4,node4-5,-15,True,False,24
128,node5-4,node4-5,-15,True,False,24
129,node5-4,node4-5,-15,True,False,24
130,node5-4,node4-5,-15,True,False,25
131,node5-4,node4-5,-15,True,False,26
132,node5-4,node4-5,-15,True,False,24
133,node5-4,node4-5,-15,True,False,24
134,node5-4,node4-5,-15,True,False,25
135,node5-4,node4-5,-15,True,False,25
136,node5-4,node4-5,-15,True,False,25
137,node5-4,node4-5,-15,True,False,23
138,node5-4,node4-5,-15,True,False,26
139,node5-4,node4-5,-15,True,False,23
140,node5-4,node4-5,-15,True,False,25
141,node5-4,node4-5,-15,True,False,25
142,node5-4,node4-5,-15,True,False,24
143,node5-4,node4-5,-15,True,False,23
144,node5-4,node4-5,-15,True,False,23
145,node5-4,node4-5,-15,True,False,24
146,node5-4,node4-5,-15,True,False,24
147,node5-4,node4-5,-15,True,False,23
148,node5-4,node4-5,-15,True,False,26
149,node5-4,node4-5,-15,True,False,25
150,node5-4,node4-5,-15,True,False,25
151,node5-4,node4-5,-15,True,False,25
152,node5-4,node4-5,-15,True,False,25
153,node5-4,node4-5,-15,True,False,23
154,node5-4,node4-5,-15,True,False,26
155,node5-4,node4-5,-15,True,False,24
156,node5-4,node4-5,-15,True,False,25
157,node5-4,node4-5,-15,True,False,26
158,node5-4,node4-5,-15,True,False,22
159,node5-4,node4-5,-15,True,False,25
160,node5-4,node4-5,-15,True,False,24
161,node5-4,node4-5,-15,True,False,25
162,node5-4,node4-5,-15,True,False,25
163,node5-4,node4-5,-15,True,False,26
164,node5-4,node4-5,-15,True,False,25
165,node5-4,node4-5,-15,True,False,23
166,node5-4,node4-5,-15,True,False,25
167,node5-4,node4-5,-15,True,False,25
168,node5-4,node4-5,-15,True,False,23
169,node5-4,node4-5,-15,True,False,25
170,node5-4,node4-5,-15,True,False,25
171,node5-4,node4-5,-15,True,False,23
172,node5-4,node4-5,-15,True,False,25
173,node5-4,node4-5,-15,True,False,25
174,node5-4,node4-5,-15,True,False,23
175,node5-4,node4-5,-15,True,False,23
176,node5-4,node4-5,-15,True,False,22
177,node5-4,node4-5,-15,True,False,23
178,node5-4,node4-5,-15,True,False,24
179,node5-4,node4-5,-15,True,False,24
180,node5-4,node4-5,-15,True,False,24
181,node5-4,node4-5,-15,True,False,26
182,node5-4,node4-5,-15,True,False,25
183,node5-4,node4-5,-15,True,False,25
184,node5-4,node4-5,-15,True,False,25
185,node5-4,node4-5,-15,True,False,25
186,node5-4,node4-5,-15,True,False,25
187,node5-4,node4-5,-15,True,False,23
188,node5-4,node4-5,-15,True,False,25
189,node5-4,node4-5,-15,True,False,25
190,node5-4,node4-5,-15,True,False,25
191,node5-4,node4-5,-15,True,False,25
192,node5-4,node4-5,-15,True,False,24
193,node5-4,node4-5,-15,True,False,25
194,node5-4,node4-5,-15,True,False,24
195,node5-4,node4-5,-15,True,False,23
196,node5-4,node4-5,-15,True,False,25
197,node5-4,node4-5,-15,True,False,24
