seq,src,dst,noise,received,error,rssi
1,node5-4,node6-1,-20,True,False,18
2,node5-4,node6-1,-20,True,False,17
3,node5-4,node6-1,-20,True,False,15
4,node5-4,node6-1,-20,True,False,13
5,node5-4,node6-1,-20,True,False,13
6,node5-4,node6-1,-20,True,False,12
7,node5-4,node6-1,-20,True,False,11
8,node5-4,node6-1,-20,True,False,11
9,node5-4,node6-1,-20,True,False,11
10,node5-4,node6-1,-20,True,False,13
11,node5-4,node6-1,-20,True,False,12
12,node5-4,node6-1,-20,True,False,13
13,node5-4,node6-1,-20,True,False,13
14,node5-4,node6-1,-20,True,False,13
15,node5-4,node6-1,-20,True,False,12
16,node5-4,node6-1,-20,True,False,13
17,node5-4,node6-1,-20,True,False,12
18,node5-4,node6-1,-20,True,False,13
19,node5-4,node6-1,-20,True,False,12
20,node5-4,node6-1,-20,True,False,11
21,node5-4,node6-1,-20,True,False,12
22,node5-4,node6-1,-20,True,False,12
23,node5-4,node6-1,-20,True,False,13
24,node5-4,node6-1,-20,True,False,13
25,node5-4,node6-1,-20,True,False,11
26,node5-4,node6-1,-20,True,False,11
27,node5-4,node6-1,-20,True,False,12
28,node5-4,node6-1,-20,True,False,11
29,node5-4,node6-1,-20,True,False,12
30,node5-4,node6-1,-20,True,False,13
31,node5-4,node6-1,-20,True,False,13
32,node5-4,node6-1,-20,True,False,13
33,node5-4,node6-1,-20,True,False,12
34,node5-4,node6-1,-20,True,False,13
35,node5-4,node6-1,-20,True,False,13
36,node5-4,node6-1,-20,True,False,11
37,node5-4,node6-1,-20,True,False,13
38,node5-4,node6-1,-20,True,False,13
39,node5-4,node6-1,-20,True,False,11
40,node5-4,node6-1,-20,True,False,11
41,node5-4,node6-1,-20,True,False,10
42,node5-4,node6-1,-20,True,False,13
43,node5-4,node6-1,-20,True,False,14
44,node5-4,node6-1,-20,True,False,13
45,node5-4,node6-1,-20,True,False,11
46,node5-4,node6-1,-20,True,False,13
47,node5-4,node6-1,-20,True,False,12
48,node5-4,node6-1,-20,True,False,11
49,node5-4,node6-1,-20,True,False,12
50,node5-4,node6-1,-20,True,False,13
51,node5-4,node6-1,-20,True,False,13
52,node5-4,node6-1,-20,True,False,13
53,node5-4,node6-1,-20,True,False,12
54,node5-4,node6-1,-20,True,False,13
55,node5-4,node6-1,-20,True,False,13
56,node5-4,node6-1,-20,True,False,13
57,node5-4,node6-1,-20,True,False,12
58,node5-4,node6-1,-20,True,False,12
59,node5-4,node6-1,-20,True,False,11
60,node5-4,node6-1,-20,True,False,14
61,node5-4,node6-1,-20,True,False,13
62,node5-4,node6-1,-20,True,False,11
63,node5-4,node6-1,-20,True,False,11
64,node5-4,node6-1,-20,True,False,13
