seq,src,dst,noise,received,error,rssi
1,node7-2,node4-1,-20,True,False,22
2,node7-2,node4-1,-20,True,False,22
3,node7-2,node4-1,-20,True,False,21
4,node7-2,node4-1,-20,True,False,16
5,node7-2,node4-1,-20,True,False,17
6,node7-2,node4-1,-20,True,False,18
7,node7-2,node4-1,-20,True,False,19
8,node7-2,node4-1,-20,True,False,18
9,node7-2,node4-1,-20,True,False,16
10,node7-2,node4-1,-20,True,False,17
11,node7-2,node4-1,-20,True,False,17
12,node7-2,node4-1,-20,True,False,17
13,node7-2,node4-1,-20,True,False,18
14,node7-2,node4-1,-20,True,False,18
15,node7-2,node4-1,-20,True,False,18
16,node7-2,node4-1,-20,True,False,17
17,node7-2,node4-1,-20,True,False,18
18,node7-2,node4-1,-20,True,False,18
19,node7-2,node4-1,-20,True,False,17
20,node7-2,node4-1,-20,True,False,18
21,node7-2,node4-1,-20,True,False,18
22,node7-2,node4-1,-20,True,False,18
23,node7-2,node4-1,-20,True,False,17
24,node7-2,node4-1,-20,True,False,18
25,node7-2,node4-1,-20,True,False,19
26,node7-2,node4-1,-20,True,False,16
27,node7-2,node4-1,-20,True,False,17
28,node7-2,node4-1,-20,True,False,18
29,node7-2,node4-1,-20,True,False,19
30,node7-2,node4-1,-20,True,False,16
31,node7-2,node4-1,-20,True,False,17
32,node7-2,node4-1,-20,True,False,18
33,node7-2,node4-1,-20,True,False,17
34,node7-2,node4-1,-20,True,False,18
35,node7-2,node4-1,-20,True,False,17
36,node7-2,node4-1,-20,True,False,18
37,node7-2,node4-1,-20,True,False,17
38,node7-2,node4-1,-20,True,False,17
39,node7-2,node4-1,-20,True,False,17
40,node7-2,node4-1,-20,True,False,18
41,node7-2,node4-1,-20,True,False,19
42,node7-2,node4-1,-20,True,False,16
43,node7-2,node4-1,-20,True,False,18
44,node7-2,node4-1,-20,True,False,18
45,node7-2,node4-1,-20,True,False,18
46,node7-2,node4-1,-20,True,False,18
47,node7-2,node4-1,-20,True,False,17
48,node7-2,node4-1,-20,True,False,17
49,node7-2,node4-1,-20,True,False,17
50,node7-2,node4-1,-20,True,False,18
51,node7-2,node4-1,-20,True,False,16
52,node7-2,node4-1,-20,True,False,17
53,node7-2,node4-1,-20,True,False,17
54,node7-2,node4-1,-20,True,False,17
55,node7-2,node4-1,-20,True,False,17
56,node7-2,node4-1,-20,True,False,18
57,node7-2,node4-1,-20,True,False,18
58,node7-2,node4-1,-20,True,False,17
59,node7-2,node4-1,-20,True,False,18
60,node7-2,node4-1,-20,True,False,17
61,node7-2,node4-1,-20,True,False,18
62,node7-2,node4-1,-20,True,False,18
63,node7-2,node4-1,-20,True,False,18
64,node7-2,node4-1,-20,True,False,18
65,node7-2,node4-1,-20,True,False,17
66,node7-2,node4-1,-20,True,False,18
67,node7-2,node4-1,-20,True,False,17
68,node7-2,node4-1,-20,True,False,17
69,node7-2,node4-1,-20,True,False,18
70,node7-2,node4-1,-20,True,False,18
71,node7-2,node4-1,-20,True,False,17
72,node7-2,node4-1,-20,True,False,19
73,node7-2,node4-1,-20,True,False,17
74,node7-2,node4-1,-20,True,False,17
75,node7-2,node4-1,-20,True,False,17
76,node7-2,node4-1,-20,True,False,17
77,node7-2,node4-1,-20,True,False,18
78,node7-2,node4-1,-20,True,False,17
79,node7-2,node4-1,-20,True,False,19
80,node7-2,node4-1,-20,True,False,16
81,node7-2,node4-1,-20,True,False,17
82,node7-2,node4-1,-20,True,False,18
83,node7-2,node4-1,-20,True,False,18
84,node7-2,node4-1,-20,True,False,17
85,node7-2,node4-1,-20,True,False,18
86,node7-2,node4-1,-20,True,False,17
87,node7-2,node4-1,-20,True,False,17
88,node7-2,node4-1,-20,True,False,18
89,node7-2,node4-1,-20,True,False,17
90,node7-2,node4-1,-20,True,False,19
91,node7-2,node4-1,-20,True,False,18
92,node7-2,node4-1,-20,True,False,18
93,node7-2,node4-1,-20,True,False,18
94,node7-2,node4-1,-20,True,False,17
95,node7-2,node4-1,-20,True,False,17
96,node7-2,node4-1,-20,True,False,17
97,node7-2,node4-1,-20,True,False,17
98,node7-2,node4-1,-20,True,False,17
99,node7-2,node4-1,-20,True,False,17
100,node7-2,node4-1,-20,True,False,17
101,node7-2,node4-1,-20,True,False,18
102,node7-2,node4-1,-20,True,False,18
103,node7-2,node4-1,-20,True,False,17
104,node7-2,node4-1,-20,True,False,18
105,node7-2,node4-1,-20,True,False,16
106,node7-2,node4-1,-20,True,False,17
107,node7-2,node4-1,-20,True,False,17
108,node7-2,node4-1,-20,True,False,16
109,node7-2,node4-1,-20,True,False,17
110,node7-2,node4-1,-20,True,False,18
111,node7-2,node4-1,-20,True,False,17
112,node7-2,node4-1,-20,True,False,17
113,node7-2,node4-1,-20,True,False,17
114,node7-2,node4-1,-20,True,False,18
115,node7-2,node4-1,-20,True,False,17
116,node7-2,node4-1,-20,True,False,18
117,node7-2,node4-1,-20,True,False,17
118,node7-2,node4-1,-20,True,False,18
119,node7-2,node4-1,-20,True,False,18
120,node7-2,node4-1,-20,True,False,19
121,node7-2,node4-1,-20,True,False,17
122,node7-2,node4-1,-20,True,False,18
123,node7-2,node4-1,-20,True,False,18
124,node7-2,node4-1,-20,True,False,17
125,node7-2,node4-1,-20,True,False,17
126,node7-2,node4-1,-20,True,False,17
127,node7-2,node4-1,-20,True,False,17
128,node7-2,node4-1,-20,True,False,17
129,node7-2,node4-1,-20,True,False,16
130,node7-2,node4-1,-20,True,False,18
131,node7-2,node4-1,-20,True,False,17
132,node7-2,node4-1,-20,True,False,18
133,node7-2,node4-1,-20,True,False,18
134,node7-2,node4-1,-20,True,False,18
135,node7-2,node4-1,-20,True,False,17
136,node7-2,node4-1,-20,True,False,16
137,node7-2,node4-1,-20,True,False,17
138,node7-2,node4-1,-20,True,False,17
