seq,src,dst,noise,received,error,rssi
1,node8-3,node1-2,-15,True,False,8
2,node8-3,node1-2,-15,True,False,9
3,node8-3,node1-2,-15,True,False,5
4,node8-3,node1-2,-15,True,False,3
5,node8-3,node1-2,-15,True,False,3
6,node8-3,node1-2,-15,True,False,5
7,node8-3,node1-2,-15,True,False,5
8,node8-3,node1-2,-15,True,False,5
9,node8-3,node1-2,-15,True,False,3
10,node8-3,node1-2,-15,True,False,3
11,node8-3,node1-2,-15,True,False,5
12,node8-3,node1-2,-15,True,False,3
13,node8-3,node1-2,-15,True,False,3
14,node8-3,node1-2,-15,True,False,3
15,node8-3,node1-2,-15,True,False,4
16,node8-3,node1-2,-15,True,False,4
17,node8-3,node1-2,-15,True,False,2
18,node8-3,node1-2,-15,True,False,1
19,node8-3,node1-2,-15,True,False,2
20,node8-3,node1-2,-15,True,False,5
21,node8-3,node1-2,-15,True,False,5
22,node8-3,node1-2,-15,True,False,4
23,node8-3,node1-2,-15,True,False,5
24,node8-3,node1-2,-15,True,False,4
25,node8-3,node1-2,-15,True,False,5
26,node8-3,node1-2,-15,True,False,4
27,node8-3,node1-2,-15,True,False,3
28,node8-3,node1-2,-15,True,False,5
29,node8-3,node1-2,-15,True,False,3
30,node8-3,node1-2,-15,True,False,3
31,node8-3,node1-2,-15,True,False,1
32,node8-3,node1-2,-15,True,False,3
33,node8-3,node1-2,-15,True,False,4
34,node8-3,node1-2,-15,True,False,4
35,node8-3,node1-2,-15,True,False,2
36,node8-3,node1-2,-15,True,False,3
37,node8-3,node1-2,-15,True,False,4
38,node8-3,node1-2,-15,True,False,2
39,node8-3,node1-2,-15,True,False,5
40,node8-3,node1-2,-15,True,False,2
41,node8-3,node1-2,-15,True,False,4
42,node8-3,node1-2,-15,True,False,5
43,node8-3,node1-2,-15,True,False,2
44,node8-3,node1-2,-15,True,False,5
45,node8-3,node1-2,-15,True,False,6
46,node8-3,node1-2,-15,True,False,4
47,node8-3,node1-2,-15,True,False,2
48,node8-3,node1-2,-15,True,False,4
49,node8-3,node1-2,-15,True,False,2
50,node8-3,node1-2,-15,True,False,3
51,node8-3,node1-2,-15,True,False,3
52,node8-3,node1-2,-15,True,False,4
53,node8-3,node1-2,-15,True,False,3
