seq,src,dst,noise,received,error,rssi
1,node1-6,node2-1,-15,True,False,8
2,node1-6,node2-1,-15,True,False,8
3,node1-6,node2-1,-15,True,False,2
4,node1-6,node2-1,-15,True,False,7
5,node1-6,node2-1,-15,True,False,5
6,node1-6,node2-1,-15,True,False,4
7,node1-6,node2-1,-15,True,False,5
8,node1-6,node2-1,-15,True,False,6
9,node1-6,node2-1,-15,True,False,6
10,node1-6,node2-1,-15,True,False,7
11,node1-6,node2-1,-15,True,False,5
12,node1-6,node2-1,-15,True,False,7
13,node1-6,node2-1,-15,True,False,5
14,node1-6,node2-1,-15,True,False,5
15,node1-6,node2-1,-15,True,False,7
16,node1-6,node2-1,-15,True,False,7
17,node1-6,node2-1,-15,True,False,6
18,node1-6,node2-1,-15,True,False,6
19,node1-6,node2-1,-15,True,False,6
20,node1-6,node2-1,-15,True,False,6
21,node1-6,node2-1,-15,True,False,7
22,node1-6,node2-1,-15,True,False,7
23,node1-6,node2-1,-15,True,False,5
24,node1-6,node2-1,-15,True,False,5
25,node1-6,node2-1,-15,True,False,6
26,node1-6,node2-1,-15,True,False,7
27,node1-6,node2-1,-15,True,False,6
28,node1-6,node2-1,-15,True,False,6
29,node1-6,node2-1,-15,True,False,6
30,node1-6,node2-1,-15,True,False,4
31,node1-6,node2-1,-15,True,False,6
32,node1-6,node2-1,-15,True,False,5
33,node1-6,node2-1,-15,True,False,5
34,node1-6,node2-1,-15,True,False,6
35,node1-6,node2-1,-15,True,False,7
36,node1-6,node2-1,-15,True,False,7
37,node1-6,node2-1,-15,True,False,5
38,node1-6,node2-1,-15,True,False,6
39,node1-6,node2-1,-15,True,False,7
40,node1-6,node2-1,-15,True,False,6
41,node1-6,node2-1,-15,True,False,6
42,node1-6,node2-1,-15,True,False,7
43,node1-6,node2-1,-15,True,False,6
44,node1-6,node2-1,-15,True,False,6
45,node1-6,node2-1,-15,True,False,5
46,node1-6,node2-1,-15,True,False,4
47,node1-6,node2-1,-15,True,False,7
48,node1-6,node2-1,-15,True,False,7
49,node1-6,node2-1,-15,True,False,5
50,node1-6,node2-1,-15,True,False,5
51,node1-6,node2-1,-15,True,False,6
52,node1-6,node2-1,-15,True,False,6
53,node1-6,node2-1,-15,True,False,6
54,node1-6,node2-1,-15,True,False,6
55,node1-6,node2-1,-15,True,False,7
56,node1-6,node2-1,-15,True,False,5
57,node1-6,node2-1,-15,True,False,6
58,node1-6,node2-1,-15,True,False,6
59,node1-6,node2-1,-15,True,False,6
60,node1-6,node2-1,-15,True,False,6
61,node1-6,node2-1,-15,True,False,6
62,node1-6,node2-1,-15,True,False,6
63,node1-6,node2-1,-15,True,False,5
64,node1-6,node2-1,-15,True,False,6
65,node1-6,node2-1,-15,True,False,5
66,node1-6,node2-1,-15,True,False,7
67,node1-6,node2-1,-15,True,False,5
68,node1-6,node2-1,-15,True,False,6
69,node1-6,node2-1,-15,True,False,4
70,node1-6,node2-1,-15,True,False,6
71,node1-6,node2-1,-15,True,False,7
72,node1-6,node2-1,-15,True,False,6
73,node1-6,node2-1,-15,True,False,6
74,node1-6,node2-1,-15,True,False,7
75,node1-6,node2-1,-15,True,False,6
76,node1-6,node2-1,-15,True,False,6
77,node1-6,node2-1,-15,True,False,5
78,node1-6,node2-1,-15,True,False,6
79,node1-6,node2-1,-15,True,False,6
80,node1-6,node2-1,-15,True,False,6
81,node1-6,node2-1,-15,True,False,7
82,node1-6,node2-1,-15,True,False,7
83,node1-6,node2-1,-15,True,False,7
84,node1-6,node2-1,-15,True,False,7
85,node1-6,node2-1,-15,True,False,6
86,node1-6,node2-1,-15,True,False,6
87,node1-6,node2-1,-15,True,False,6
88,node1-6,node2-1,-15,True,False,6
89,node1-6,node2-1,-15,True,False,5
90,node1-6,node2-1,-15,True,False,7
91,node1-6,node2-1,-15,True,False,5
92,node1-6,node2-1,-15,True,False,5
93,node1-6,node2-1,-15,True,False,7
94,node1-6,node2-1,-15,True,False,6
95,node1-6,node2-1,-15,True,False,6
96,node1-6,node2-1,-15,True,False,7
97,node1-6,node2-1,-15,True,False,5
98,node1-6,node2-1,-15,True,False,6
99,node1-6,node2-1,-15,True,False,7
100,node1-6,node2-1,-15,True,False,6
101,node1-6,node2-1,-15,True,False,6
102,node1-6,node2-1,-15,True,False,6
103,node1-6,node2-1,-15,True,False,6
104,node1-6,node2-1,-15,True,False,5
105,node1-6,node2-1,-15,True,False,6
106,node1-6,node2-1,-15,True,False,6
107,node1-6,node2-1,-15,True,False,7
108,node1-6,node2-1,-15,True,False,7
109,node1-6,node2-1,-15,True,False,6
110,node1-6,node2-1,-15,True,False,6
111,node1-6,node2-1,-15,True,False,5
112,node1-6,node2-1,-15,True,False,7
113,node1-6,node2-1,-15,True,False,7
114,node1-6,node2-1,-15,True,False,7
115,node1-6,node2-1,-15,True,False,6
116,node1-6,node2-1,-15,True,False,5
117,node1-6,node2-1,-15,True,False,5
118,node1-6,node2-1,-15,True,False,5
119,node1-6,node2-1,-15,True,False,5
120,node1-6,node2-1,-15,True,False,6
121,node1-6,node2-1,-15,True,False,5
122,node1-6,node2-1,-15,True,False,6
123,node1-6,node2-1,-15,True,False,6
124,node1-6,node2-1,-15,True,False,7
125,node1-6,node2-1,-15,True,False,5
126,node1-6,node2-1,-15,True,False,6
127,node1-6,node2-1,-15,True,False,7
128,node1-6,node2-1,-15,True,False,7
129,node1-6,node2-1,-15,True,False,5
130,node1-6,node2-1,-15,True,False,7
131,node1-6,node2-1,-15,True,False,6
132,node1-6,node2-1,-15,True,False,5
133,node1-6,node2-1,-15,True,False,7
134,node1-6,node2-1,-15,True,False,7
135,node1-6,node2-1,-15,True,False,6
136,node1-6,node2-1,-15,True,False,7
137,node1-6,node2-1,-15,True,False,7
138,node1-6,node2-1,-15,True,False,5
139,node1-6,node2-1,-15,True,False,6
140,node1-6,node2-1,-15,True,False,5
141,node1-6,node2-1,-15,True,False,5
142,node1-6,node2-1,-15,True,False,4
143,node1-6,node2-1,-15,True,False,7
144,node1-6,node2-1,-15,True,False,6
145,node1-6,node2-1,-15,True,False,7
146,node1-6,node2-1,-15,True,False,7
147,node1-6,node2-1,-15,True,False,6
148,node1-6,node2-1,-15,True,False,6
149,node1-6,node2-1,-15,True,False,6
150,node1-6,node2-1,-15,True,False,6
151,node1-6,node2-1,-15,True,False,5
152,node1-6,node2-1,-15,True,False,6
153,node1-6,node2-1,-15,True,False,6
154,node1-6,node2-1,-15,True,False,5
155,node1-6,node2-1,-15,True,False,6
156,node1-6,node2-1,-15,True,False,6
157,node1-6,node2-1,-15,True,False,6
158,node1-6,node2-1,-15,True,False,6
159,node1-6,node2-1,-15,True,False,7
160,node1-6,node2-1,-15,True,False,6
161,node1-6,node2-1,-15,True,False,7
162,node1-6,node2-1,-15,True,False,6
163,node1-6,node2-1,-15,True,False,6
164,node1-6,node2-1,-15,True,False,5
165,node1-6,node2-1,-15,True,False,6
166,node1-6,node2-1,-15,True,False,7
167,node1-6,node2-1,-15,True,False,6
168,node1-6,node2-1,-15,True,False,5
169,node1-6,node2-1,-15,True,False,6
170,node1-6,node2-1,-15,True,False,5
171,node1-6,node2-1,-15,True,False,5
172,node1-6,node2-1,-15,True,False,6
173,node1-6,node2-1,-15,True,False,6
174,node1-6,node2-1,-15,True,False,6
175,node1-6,node2-1,-15,True,False,7
176,node1-6,node2-1,-15,True,False,5
177,node1-6,node2-1,-15,True,False,6
178,node1-6,node2-1,-15,True,False,6
179,node1-6,node2-1,-15,True,False,8
180,node1-6,node2-1,-15,True,False,5
181,node1-6,node2-1,-15,True,False,6
182,node1-6,node2-1,-15,True,False,6
183,node1-6,node2-1,-15,True,False,6
184,node1-6,node2-1,-15,True,False,6
185,node1-6,node2-1,-15,True,False,5
186,node1-6,node2-1,-15,True,False,5
187,node1-6,node2-1,-15,True,False,6
188,node1-6,node2-1,-15,True,False,5
189,node1-6,node2-1,-15,True,False,5
190,node1-6,node2-1,-15,True,False,7
191,node1-6,node2-1,-15,True,False,6
192,node1-6,node2-1,-15,True,False,6
193,node1-6,node2-1,-15,True,False,7
194,node1-6,node2-1,-15,True,False,6
195,node1-6,node2-1,-15,True,False,5
196,node1-6,node2-1,-15,True,False,6
197,node1-6,node2-1,-15,True,False,6
198,node1-6,node2-1,-15,True,False,6
199,node1-6,node2-1,-15,True,False,6
200,node1-6,node2-1,-15,True,False,5
201,node1-6,node2-1,-15,True,False,6
202,node1-6,node2-1,-15,True,False,5
203,node1-6,node2-1,-15,True,False,8
204,node1-6,node2-1,-15,True,False,7
205,node1-6,node2-1,-15,True,False,6
206,node1-6,node2-1,-15,True,False,6
207,node1-6,node2-1,-15,True,False,7
208,node1-6,node2-1,-15,True,False,6
209,node1-6,node2-1,-15,True,False,6
210,node1-6,node2-1,-15,True,False,7
211,node1-6,node2-1,-15,True,False,6
212,node1-6,node2-1,-15,True,False,7
213,node1-6,node2-1,-15,True,False,6
214,node1-6,node2-1,-15,True,False,6
215,node1-6,node2-1,-15,True,False,5
216,node1-6,node2-1,-15,True,False,5
217,node1-6,node2-1,-15,True,False,5
218,node1-6,node2-1,-15,True,False,4
219,node1-6,node2-1,-15,True,False,6
