seq,src,dst,noise,received,error,rssi
1,node2-5,node5-8,-10,True,False,21
2,node2-5,node5-8,-10,True,False,20
3,node2-5,node5-8,-10,True,False,16
4,node2-5,node5-8,-10,True,False,18
5,node2-5,node5-8,-10,True,False,18
6,node2-5,node5-8,-10,True,False,18
7,node2-5,node5-8,-10,True,False,19
8,node2-5,node5-8,-10,True,False,18
9,node2-5,node5-8,-10,True,False,18
10,node2-5,node5-8,-10,True,False,18
11,node2-5,node5-8,-10,True,False,18
12,node2-5,node5-8,-10,True,False,18
13,node2-5,node5-8,-10,True,False,18
14,node2-5,node5-8,-10,True,False,18
15,node2-5,node5-8,-10,True,False,18
16,node2-5,node5-8,-10,True,False,18
17,node2-5,node5-8,-10,True,False,18
18,node2-5,node5-8,-10,True,False,18
19,node2-5,node5-8,-10,True,False,18
20,node2-5,node5-8,-10,True,False,18
21,node2-5,node5-8,-10,True,False,18
22,node2-5,node5-8,-10,True,False,18
23,node2-5,node5-8,-10,True,False,17
24,node2-5,node5-8,-10,True,False,17
25,node2-5,node5-8,-10,True,False,18
26,node2-5,node5-8,-10,True,False,17
27,node2-5,node5-8,-10,True,False,18
28,node2-5,node5-8,-10,True,False,17
29,node2-5,node5-8,-10,True,False,18
30,node2-5,node5-8,-10,True,False,18
31,node2-5,node5-8,-10,True,False,19
32,node2-5,node5-8,-10,True,False,17
33,node2-5,node5-8,-10,True,False,18
34,node2-5,node5-8,-10,True,False,18
35,node2-5,node5-8,-10,True,False,18
36,node2-5,node5-8,-10,True,False,18
37,node2-5,node5-8,-10,True,False,17
38,node2-5,node5-8,-10,True,False,19
39,node2-5,node5-8,-10,True,False,19
40,node2-5,node5-8,-10,True,False,18
41,node2-5,node5-8,-10,True,False,17
42,node2-5,node5-8,-10,True,False,18
43,node2-5,node5-8,-10,True,False,18
44,node2-5,node5-8,-10,True,False,18
45,node2-5,node5-8,-10,True,False,18
46,node2-5,node5-8,-10,True,False,18
47,node2-5,node5-8,-10,True,False,18
48,node2-5,node5-8,-10,True,False,17
49,node2-5,node5-8,-10,True,False,18
50,node2-5,node5-8,-10,True,False,17
51,node2-5,node5-8,-10,True,False,17
52,node2-5,node5-8,-10,True,False,18
53,node2-5,node5-8,-10,True,False,18
54,node2-5,node5-8,-10,True,False,18
55,node2-5,node5-8,-10,True,False,18
56,node2-5,node5-8,-10,True,False,17
57,node2-5,node5-8,-10,True,False,17
58,node2-5,node5-8,-10,True,False,18
59,node2-5,node5-8,-10,True,False,18
60,node2-5,node5-8,-10,True,False,18
61,node2-5,node5-8,-10,True,False,17
62,node2-5,node5-8,-10,True,False,18
63,node2-5,node5-8,-10,True,False,18
64,node2-5,node5-8,-10,True,False,17
65,node2-5,node5-8,-10,True,False,17
66,node2-5,node5-8,-10,True,False,18
67,node2-5,node5-8,-10,True,False,18
68,node2-5,node5-8,-10,True,False,17
69,node2-5,node5-8,-10,True,False,18
70,node2-5,node5-8,-10,True,False,18
71,node2-5,node5-8,-10,True,False,18
72,node2-5,node5-8,-10,True,False,18
