seq,src,dst,noise,received,error,rssi
1,node3-2,node4-3,-10,True,False,18
2,node3-2,node4-3,-10,True,False,17
3,node3-2,node4-3,-10,True,False,14
4,node3-2,node4-3,-10,True,False,12
5,node3-2,node4-3,-10,True,False,11
6,node3-2,node4-3,-10,True,False,12
7,node3-2,node4-3,-10,True,False,12
8,node3-2,node4-3,-10,True,False,11
9,node3-2,node4-3,-10,True,False,10
10,node3-2,node4-3,-10,True,False,9
11,node3-2,node4-3,-10,True,False,11
12,node3-2,node4-3,-10,True,False,11
13,node3-2,node4-3,-10,True,False,11
14,node3-2,node4-3,-10,True,False,9
15,node3-2,node4-3,-10,True,False,11
16,node3-2,node4-3,-10,True,False,10
17,node3-2,node4-3,-10,True,False,11
18,node3-2,node4-3,-10,True,False,10
19,node3-2,node4-3,-10,True,False,11
20,node3-2,node4-3,-10,True,False,9
21,node3-2,node4-3,-10,True,False,12
22,node3-2,node4-3,-10,True,False,12
23,node3-2,node4-3,-10,True,False,10
24,node3-2,node4-3,-10,True,False,10
25,node3-2,node4-3,-10,True,False,11
26,node3-2,node4-3,-10,True,False,11
27,node3-2,node4-3,-10,True,False,10
28,node3-2,node4-3,-10,True,False,11
29,node3-2,node4-3,-10,True,False,11
30,node3-2,node4-3,-10,True,False,10
31,node3-2,node4-3,-10,True,False,11
32,node3-2,node4-3,-10,True,False,10
33,node3-2,node4-3,-10,True,False,10
34,node3-2,node4-3,-10,True,False,10
35,node3-2,node4-3,-10,True,False,9
36,node3-2,node4-3,-10,True,False,11
37,node3-2,node4-3,-10,True,False,10
38,node3-2,node4-3,-10,True,False,11
39,node3-2,node4-3,-10,True,False,11
40,node3-2,node4-3,-10,True,False,11
41,node3-2,node4-3,-10,True,False,11
42,node3-2,node4-3,-10,True,False,10
43,node3-2,node4-3,-10,True,False,10
44,node3-2,node4-3,-10,True,False,10
45,node3-2,node4-3,-10,True,False,11
46,node3-2,node4-3,-10,True,False,12
47,node3-2,node4-3,-10,True,False,12
48,node3-2,node4-3,-10,True,False,11
49,node3-2,node4-3,-10,True,False,10
50,node3-2,node4-3,-10,True,False,10
51,node3-2,node4-3,-10,True,False,10
52,node3-2,node4-3,-10,True,False,11
53,node3-2,node4-3,-10,True,False,9
54,node3-2,node4-3,-10,True,False,11
55,node3-2,node4-3,-10,True,False,11
56,node3-2,node4-3,-10,True,False,11
57,node3-2,node4-3,-10,True,False,9
58,node3-2,node4-3,-10,True,False,12
59,node3-2,node4-3,-10,True,False,11
60,node3-2,node4-3,-10,True,False,11
61,node3-2,node4-3,-10,True,False,12
62,node3-2,node4-3,-10,True,False,11
63,node3-2,node4-3,-10,True,False,11
64,node3-2,node4-3,-10,True,False,10
65,node3-2,node4-3,-10,True,False,11
66,node3-2,node4-3,-10,True,False,10
67,node3-2,node4-3,-10,True,False,11
68,node3-2,node4-3,-10,True,False,11
69,node3-2,node4-3,-10,True,False,10
70,node3-2,node4-3,-10,True,False,10
71,node3-2,node4-3,-10,True,False,9
72,node3-2,node4-3,-10,True,False,11
73,node3-2,node4-3,-10,True,False,10
74,node3-2,node4-3,-10,True,False,10
75,node3-2,node4-3,-10,True,False,9
76,node3-2,node4-3,-10,True,False,11
77,node3-2,node4-3,-10,True,False,11
78,node3-2,node4-3,-10,True,False,11
79,node3-2,node4-3,-10,True,False,9
80,node3-2,node4-3,-10,True,False,11
81,node3-2,node4-3,-10,True,False,12
82,node3-2,node4-3,-10,True,False,11
83,node3-2,node4-3,-10,True,False,10
84,node3-2,node4-3,-10,True,False,12
85,node3-2,node4-3,-10,True,False,10
86,node3-2,node4-3,-10,True,False,11
87,node3-2,node4-3,-10,True,False,11
88,node3-2,node4-3,-10,True,False,11
89,node3-2,node4-3,-10,True,False,10
90,node3-2,node4-3,-10,True,False,10
91,node3-2,node4-3,-10,True,False,11
92,node3-2,node4-3,-10,True,False,12
93,node3-2,node4-3,-10,True,False,11
94,node3-2,node4-3,-10,True,False,11
95,node3-2,node4-3,-10,True,False,11
