seq,src,dst,noise,received,error,rssi
1,node8-7,node1-4,-20,True,False,33
2,node8-7,node1-4,-20,True,False,32
3,node8-7,node1-4,-20,True,False,28
4,node8-7,node1-4,-20,True,False,28
5,node8-7,node1-4,-20,True,False,28
6,node8-7,node1-4,-20,True,False,28
7,node8-7,node1-4,-20,True,False,29
8,node8-7,node1-4,-20,True,False,28
9,node8-7,node1-4,-20,True,False,28
10,node8-7,node1-4,-20,True,False,28
11,node8-7,node1-4,-20,True,False,27
12,node8-7,node1-4,-20,True,False,28
13,node8-7,node1-4,-20,True,False,28
14,node8-7,node1-4,-20,True,False,27
15,node8-7,node1-4,-20,True,False,28
16,node8-7,node1-4,-20,True,False,28
17,node8-7,node1-4,-20,True,False,28
18,node8-7,node1-4,-20,True,False,27
19,node8-7,node1-4,-20,True,False,28
20,node8-7,node1-4,-20,True,False,29
21,node8-7,node1-4,-20,True,False,28
22,node8-7,node1-4,-20,True,False,29
23,node8-7,node1-4,-20,True,False,28
24,node8-7,node1-4,-20,True,False,27
25,node8-7,node1-4,-20,True,False,28
26,node8-7,node1-4,-20,True,False,28
27,node8-7,node1-4,-20,True,False,28
28,node8-7,node1-4,-20,True,False,28
29,node8-7,node1-4,-20,True,False,28
30,node8-7,node1-4,-20,True,False,28
31,node8-7,node1-4,-20,True,False,29
32,node8-7,node1-4,-20,True,False,27
33,node8-7,node1-4,-20,True,False,28
34,node8-7,node1-4,-20,True,False,29
35,node8-7,node1-4,-20,True,False,28
36,node8-7,node1-4,-20,True,False,29
37,node8-7,node1-4,-20,True,False,28
38,node8-7,node1-4,-20,True,False,27
39,node8-7,node1-4,-20,True,False,29
40,node8-7,node1-4,-20,True,False,29
41,node8-7,node1-4,-20,True,False,28
42,node8-7,node1-4,-20,True,False,28
43,node8-7,node1-4,-20,True,False,27
44,node8-7,node1-4,-20,True,False,28
45,node8-7,node1-4,-20,True,False,29
46,node8-7,node1-4,-20,True,False,29
47,node8-7,node1-4,-20,True,False,28
48,node8-7,node1-4,-20,True,False,28
49,node8-7,node1-4,-20,True,False,28
50,node8-7,node1-4,-20,True,False,29
51,node8-7,node1-4,-20,True,False,29
52,node8-7,node1-4,-20,True,False,29
53,node8-7,node1-4,-20,True,False,28
54,node8-7,node1-4,-20,True,False,28
55,node8-7,node1-4,-20,True,False,28
56,node8-7,node1-4,-20,True,False,28
57,node8-7,node1-4,-20,True,False,28
58,node8-7,node1-4,-20,True,False,29
59,node8-7,node1-4,-20,True,False,28
60,node8-7,node1-4,-20,True,False,28
61,node8-7,node1-4,-20,True,False,27
62,node8-7,node1-4,-20,True,False,29
63,node8-7,node1-4,-20,True,False,28
64,node8-7,node1-4,-20,True,False,28
65,node8-7,node1-4,-20,True,False,28
66,node8-7,node1-4,-20,True,False,28
67,node8-7,node1-4,-20,True,False,28
68,node8-7,node1-4,-20,True,False,28
69,node8-7,node1-4,-20,True,False,27
70,node8-7,node1-4,-20,True,False,29
71,node8-7,node1-4,-20,True,False,28
72,node8-7,node1-4,-20,True,False,27
73,node8-7,node1-4,-20,True,False,27
74,node8-7,node1-4,-20,True,False,28
75,node8-7,node1-4,-20,True,False,28
76,node8-7,node1-4,-20,True,False,28
77,node8-7,node1-4,-20,True,False,28
78,node8-7,node1-4,-20,True,False,28
79,node8-7,node1-4,-20,True,False,28
80,node8-7,node1-4,-20,True,False,27
81,node8-7,node1-4,-20,True,False,29
82,node8-7,node1-4,-20,True,False,28
83,node8-7,node1-4,-20,True,False,29
84,node8-7,node1-4,-20,True,False,28
85,node8-7,node1-4,-20,True,False,28
86,node8-7,node1-4,-20,True,False,28
87,node8-7,node1-4,-20,True,False,28
88,node8-7,node1-4,-20,True,False,28
89,node8-7,node1-4,-20,True,False,28
90,node8-7,node1-4,-20,True,False,28
91,node8-7,node1-4,-20,True,False,27
92,node8-7,node1-4,-20,True,False,29
93,node8-7,node1-4,-20,True,False,28
94,node8-7,node1-4,-20,True,False,28
95,node8-7,node1-4,-20,True,False,27
96,node8-7,node1-4,-20,True,False,28
97,node8-7,node1-4,-20,True,False,28
98,node8-7,node1-4,-20,True,False,28
99,node8-7,node1-4,-20,True,False,29
100,node8-7,node1-4,-20,True,False,29
101,node8-7,node1-4,-20,True,False,28
102,node8-7,node1-4,-20,True,False,27
103,node8-7,node1-4,-20,True,False,28
104,node8-7,node1-4,-20,True,False,28
105,node8-7,node1-4,-20,True,False,28
106,node8-7,node1-4,-20,True,False,28
107,node8-7,node1-4,-20,True,False,28
108,node8-7,node1-4,-20,True,False,28
109,node8-7,node1-4,-20,True,False,28
110,node8-7,node1-4,-20,True,False,28
111,node8-7,node1-4,-20,True,False,28
112,node8-7,node1-4,-20,True,False,28
113,node8-7,node1-4,-20,True,False,28
114,node8-7,node1-4,-20,True,False,27
115,node8-7,node1-4,-20,True,False,29
116,node8-7,node1-4,-20,True,False,28
117,node8-7,node1-4,-20,True,False,28
118,node8-7,node1-4,-20,True,False,27
119,node8-7,node1-4,-20,True,False,27
120,node8-7,node1-4,-20,True,False,28
121,node8-7,node1-4,-20,True,False,28
122,node8-7,node1-4,-20,True,False,28
123,node8-7,node1-4,-20,True,False,28
124,node8-7,node1-4,-20,True,False,27
125,node8-7,node1-4,-20,True,False,27
126,node8-7,node1-4,-20,True,False,27
127,node8-7,node1-4,-20,True,False,27
128,node8-7,node1-4,-20,True,False,28
129,node8-7,node1-4,-20,True,False,28
130,node8-7,node1-4,-20,True,False,28
131,node8-7,node1-4,-20,True,False,28
132,node8-7,node1-4,-20,True,False,28
133,node8-7,node1-4,-20,True,False,27
134,node8-7,node1-4,-20,True,False,28
135,node8-7,node1-4,-20,True,False,28
136,node8-7,node1-4,-20,True,False,27
137,node8-7,node1-4,-20,True,False,28
138,node8-7,node1-4,-20,True,False,28
139,node8-7,node1-4,-20,True,False,28
140,node8-7,node1-4,-20,True,False,29
141,node8-7,node1-4,-20,True,False,28
142,node8-7,node1-4,-20,True,False,29
143,node8-7,node1-4,-20,True,False,29
144,node8-7,node1-4,-20,True,False,28
145,node8-7,node1-4,-20,True,False,28
146,node8-7,node1-4,-20,True,False,29
147,node8-7,node1-4,-20,True,False,28
148,node8-7,node1-4,-20,True,False,29
149,node8-7,node1-4,-20,True,False,27
150,node8-7,node1-4,-20,True,False,29
151,node8-7,node1-4,-20,True,False,28
152,node8-7,node1-4,-20,True,False,28
153,node8-7,node1-4,-20,True,False,28
154,node8-7,node1-4,-20,True,False,29
155,node8-7,node1-4,-20,True,False,29
156,node8-7,node1-4,-20,True,False,28
157,node8-7,node1-4,-20,True,False,28
158,node8-7,node1-4,-20,True,False,28
159,node8-7,node1-4,-20,True,False,27
160,node8-7,node1-4,-20,True,False,28
161,node8-7,node1-4,-20,True,False,28
162,node8-7,node1-4,-20,True,False,27
163,node8-7,node1-4,-20,True,False,29
164,node8-7,node1-4,-20,True,False,27
165,node8-7,node1-4,-20,True,False,28
166,node8-7,node1-4,-20,True,False,28
167,node8-7,node1-4,-20,True,False,27
168,node8-7,node1-4,-20,True,False,29
169,node8-7,node1-4,-20,True,False,28
170,node8-7,node1-4,-20,True,False,29
171,node8-7,node1-4,-20,True,False,29
