seq,src,dst,noise,received,error,rssi
1,node2-1,node2-5,-5,True,False,12
2,node2-1,node2-5,-5,True,False,11
3,node2-1,node2-5,-5,True,False,7
4,node2-1,node2-5,-5,True,False,9
5,node2-1,node2-5,-5,True,False,7
6,node2-1,node2-5,-5,True,False,9
7,node2-1,node2-5,-5,True,False,8
8,node2-1,node2-5,-5,True,False,8
9,node2-1,node2-5,-5,True,False,10
10,node2-1,node2-5,-5,True,False,8
11,node2-1,node2-5,-5,True,False,9
12,node2-1,node2-5,-5,True,False,8
13,node2-1,node2-5,-5,True,False,7
14,node2-1,node2-5,-5,True,False,9
15,node2-1,node2-5,-5,True,False,8
16,node2-1,node2-5,-5,True,False,8
17,node2-1,node2-5,-5,True,False,10
18,node2-1,node2-5,-5,True,False,8
19,node2-1,node2-5,-5,True,False,9
20,node2-1,node2-5,-5,True,False,8
21,node2-1,node2-5,-5,True,False,8
22,node2-1,node2-5,-5,True,False,9
23,node2-1,node2-5,-5,True,False,9
24,node2-1,node2-5,-5,True,False,10
25,node2-1,node2-5,-5,True,False,8
26,node2-1,node2-5,-5,True,False,9
27,node2-1,node2-5,-5,True,False,8
28,node2-1,node2-5,-5,True,False,8
29,node2-1,node2-5,-5,True,False,8
30,node2-1,node2-5,-5,True,False,8
31,node2-1,node2-5,-5,True,False,8
32,node2-1,node2-5,-5,True,False,9
33,node2-1,node2-5,-5,True,False,8
34,node2-1,node2-5,-5,True,False,7
35,node2-1,node2-5,-5,True,False,9
36,node2-1,node2-5,-5,True,False,9
37,node2-1,node2-5,-5,True,False,9
38,node2-1,node2-5,-5,True,False,8
39,node2-1,node2-5,-5,True,False,8
40,node2-1,node2-5,-5,True,False,9
41,node2-1,node2-5,-5,True,False,8
42,node2-1,node2-5,-5,True,False,8
43,node2-1,node2-5,-5,True,False,8
44,node2-1,node2-5,-5,True,False,9
45,node2-1,node2-5,-5,True,False,9
46,node2-1,node2-5,-5,True,False,8
47,node2-1,node2-5,-5,True,False,9
48,node2-1,node2-5,-5,True,False,8
49,node2-1,node2-5,-5,True,False,8
50,node2-1,node2-5,-5,True,False,8
51,node2-1,node2-5,-5,True,False,8
52,node2-1,node2-5,-5,True,False,8
53,node2-1,node2-5,-5,True,False,8
54,node2-1,node2-5,-5,True,False,7
55,node2-1,node2-5,-5,True,False,9
56,node2-1,node2-5,-5,True,False,8
57,node2-1,node2-5,-5,True,False,8
58,node2-1,node2-5,-5,True,False,9
59,node2-1,node2-5,-5,True,False,8
60,node2-1,node2-5,-5,True,False,8
61,node2-1,node2-5,-5,True,False,9
62,node2-1,node2-5,-5,True,False,8
63,node2-1,node2-5,-5,True,False,10
64,node2-1,node2-5,-5,True,False,8
65,node2-1,node2-5,-5,True,False,8
66,node2-1,node2-5,-5,True,False,9
67,node2-1,node2-5,-5,True,False,8
68,node2-1,node2-5,-5,True,False,8
