seq,src,dst,noise,received,error,rssi
1,node6-1,node8-3,-10,True,False,16
2,node6-1,node8-3,-10,True,False,15
3,node6-1,node8-3,-10,True,False,12
4,node6-1,node8-3,-10,True,False,8
5,node6-1,node8-3,-10,True,False,8
6,node6-1,node8-3,-10,True,False,8
7,node6-1,node8-3,-10,True,False,9
8,node6-1,node8-3,-10,True,False,8
9,node6-1,node8-3,-10,True,False,8
10,node6-1,node8-3,-10,True,False,8
11,node6-1,node8-3,-10,True,False,10
12,node6-1,node8-3,-10,True,False,10
13,node6-1,node8-3,-10,True,False,9
14,node6-1,node8-3,-10,True,False,9
15,node6-1,node8-3,-10,True,False,9
16,node6-1,node8-3,-10,True,False,9
17,node6-1,node8-3,-10,True,False,9
18,node6-1,node8-3,-10,True,False,9
19,node6-1,node8-3,-10,True,False,9
20,node6-1,node8-3,-10,True,False,8
21,node6-1,node8-3,-10,True,False,8
22,node6-1,node8-3,-10,True,False,9
23,node6-1,node8-3,-10,True,False,9
24,node6-1,node8-3,-10,True,False,7
25,node6-1,node8-3,-10,True,False,9
26,node6-1,node8-3,-10,True,False,9
27,node6-1,node8-3,-10,True,False,8
28,node6-1,node8-3,-10,True,False,8
29,node6-1,node8-3,-10,True,False,8
30,node6-1,node8-3,-10,True,False,10
31,node6-1,node8-3,-10,True,False,9
32,node6-1,node8-3,-10,True,False,9
33,node6-1,node8-3,-10,True,False,9
34,node6-1,node8-3,-10,True,False,8
35,node6-1,node8-3,-10,True,False,8
36,node6-1,node8-3,-10,True,False,10
37,node6-1,node8-3,-10,True,False,8
38,node6-1,node8-3,-10,True,False,8
39,node6-1,node8-3,-10,True,False,10
40,node6-1,node8-3,-10,True,False,9
41,node6-1,node8-3,-10,True,False,8
42,node6-1,node8-3,-10,True,False,9
43,node6-1,node8-3,-10,True,False,10
44,node6-1,node8-3,-10,True,False,9
45,node6-1,node8-3,-10,True,False,9
46,node6-1,node8-3,-10,True,False,8
47,node6-1,node8-3,-10,True,False,9
48,node6-1,node8-3,-10,True,False,9
49,node6-1,node8-3,-10,True,False,9
50,node6-1,node8-3,-10,True,False,9
51,node6-1,node8-3,-10,True,False,10
52,node6-1,node8-3,-10,True,False,9
53,node6-1,node8-3,-10,True,False,9
54,node6-1,node8-3,-10,True,False,9
55,node6-1,node8-3,-10,True,False,11
56,node6-1,node8-3,-10,True,False,8
57,node6-1,node8-3,-10,True,False,10
58,node6-1,node8-3,-10,True,False,8
59,node6-1,node8-3,-10,True,False,9
60,node6-1,node8-3,-10,True,False,9
61,node6-1,node8-3,-10,True,False,10
62,node6-1,node8-3,-10,True,False,9
63,node6-1,node8-3,-10,True,False,9
64,node6-1,node8-3,-10,True,False,9
65,node6-1,node8-3,-10,True,False,9
66,node6-1,node8-3,-10,True,False,9
67,node6-1,node8-3,-10,True,False,8
68,node6-1,node8-3,-10,True,False,8
69,node6-1,node8-3,-10,True,False,11
70,node6-1,node8-3,-10,True,False,9
71,node6-1,node8-3,-10,True,False,9
72,node6-1,node8-3,-10,True,False,8
73,node6-1,node8-3,-10,True,False,10
74,node6-1,node8-3,-10,True,False,9
75,node6-1,node8-3,-10,True,False,9
76,node6-1,node8-3,-10,True,False,8
77,node6-1,node8-3,-10,True,False,7
78,node6-1,node8-3,-10,True,False,9
79,node6-1,node8-3,-10,True,False,10
80,node6-1,node8-3,-10,True,False,9
81,node6-1,node8-3,-10,True,False,8
82,node6-1,node8-3,-10,True,False,8
83,node6-1,node8-3,-10,True,False,10
84,node6-1,node8-3,-10,True,False,10
85,node6-1,node8-3,-10,True,False,9
86,node6-1,node8-3,-10,True,False,9
87,node6-1,node8-3,-10,True,False,9
88,node6-1,node8-3,-10,True,False,9
89,node6-1,node8-3,-10,True,False,9
90,node6-1,node8-3,-10,True,False,9
91,node6-1,node8-3,-10,True,False,10
92,node6-1,node8-3,-10,True,False,9
93,node6-1,node8-3,-10,True,False,9
94,node6-1,node8-3,-10,True,False,10
95,node6-1,node8-3,-10,True,False,10
96,node6-1,node8-3,-10,True,False,9
97,node6-1,node8-3,-10,True,False,9
98,node6-1,node8-3,-10,True,False,9
99,node6-1,node8-3,-10,True,False,11
100,node6-1,node8-3,-10,True,False,8
101,node6-1,node8-3,-10,True,False,9
102,node6-1,node8-3,-10,True,False,9
103,node6-1,node8-3,-10,True,False,9
104,node6-1,node8-3,-10,True,False,9
105,node6-1,node8-3,-10,True,False,9
106,node6-1,node8-3,-10,True,False,8
107,node6-1,node8-3,-10,True,False,8
108,node6-1,node8-3,-10,True,False,9
109,node6-1,node8-3,-10,True,False,9
110,node6-1,node8-3,-10,True,False,8
111,node6-1,node8-3,-10,True,False,9
112,node6-1,node8-3,-10,True,False,9
113,node6-1,node8-3,-10,True,False,10
114,node6-1,node8-3,-10,True,False,9
115,node6-1,node8-3,-10,True,False,10
116,node6-1,node8-3,-10,True,False,9
117,node6-1,node8-3,-10,True,False,8
118,node6-1,node8-3,-10,True,False,10
119,node6-1,node8-3,-10,True,False,7
120,node6-1,node8-3,-10,True,False,9
121,node6-1,node8-3,-10,True,False,8
122,node6-1,node8-3,-10,True,False,9
123,node6-1,node8-3,-10,True,False,9
124,node6-1,node8-3,-10,True,False,8
125,node6-1,node8-3,-10,True,False,9
126,node6-1,node8-3,-10,True,False,9
127,node6-1,node8-3,-10,True,False,10
128,node6-1,node8-3,-10,True,False,9
129,node6-1,node8-3,-10,True,False,9
130,node6-1,node8-3,-10,True,False,8
131,node6-1,node8-3,-10,True,False,8
132,node6-1,node8-3,-10,True,False,10
133,node6-1,node8-3,-10,True,False,9
134,node6-1,node8-3,-10,True,False,9
135,node6-1,node8-3,-10,True,False,9
136,node6-1,node8-3,-10,True,False,9
137,node6-1,node8-3,-10,True,False,10
138,node6-1,node8-3,-10,True,False,8
139,node6-1,node8-3,-10,True,False,8
140,node6-1,node8-3,-10,True,False,9
141,node6-1,node8-3,-10,True,False,9
142,node6-1,node8-3,-10,True,False,9
143,node6-1,node8-3,-10,True,False,9
144,node6-1,node8-3,-10,True,False,9
145,node6-1,node8-3,-10,True,False,9
146,node6-1,node8-3,-10,True,False,8
147,node6-1,node8-3,-10,True,False,8
148,node6-1,node8-3,-10,True,False,8
149,node6-1,node8-3,-10,True,False,8
150,node6-1,node8-3,-10,True,False,9
151,node6-1,node8-3,-10,True,False,8
152,node6-1,node8-3,-10,True,False,9
153,node6-1,node8-3,-10,True,False,10
154,node6-1,node8-3,-10,True,False,9
155,node6-1,node8-3,-10,True,False,10
156,node6-1,node8-3,-10,True,False,8
157,node6-1,node8-3,-10,True,False,9
158,node6-1,node8-3,-10,True,False,8
159,node6-1,node8-3,-10,True,False,9
160,node6-1,node8-3,-10,True,False,10
161,node6-1,node8-3,-10,True,False,10
162,node6-1,node8-3,-10,True,False,9
163,node6-1,node8-3,-10,True,False,9
164,node6-1,node8-3,-10,True,False,9
165,node6-1,node8-3,-10,True,False,10
