seq,src,dst,noise,received,error,rssi
1,node3-6,node1-4,-5,True,False,18
2,node3-6,node1-4,-5,True,False,16
3,node3-6,node1-4,-5,True,False,15
4,node3-6,node1-4,-5,True,False,11
5,node3-6,node1-4,-5,True,False,13
6,node3-6,node1-4,-5,True,False,12
7,node3-6,node1-4,-5,True,False,11
8,node3-6,node1-4,-5,True,False,11
9,node3-6,node1-4,-5,True,False,12
10,node3-6,node1-4,-5,True,False,13
11,node3-6,node1-4,-5,True,False,12
12,node3-6,node1-4,-5,True,False,12
13,node3-6,node1-4,-5,True,False,12
14,node3-6,node1-4,-5,True,False,12
15,node3-6,node1-4,-5,True,False,13
16,node3-6,node1-4,-5,True,False,13
17,node3-6,node1-4,-5,True,False,12
18,node3-6,node1-4,-5,True,False,12
19,node3-6,node1-4,-5,True,False,11
20,node3-6,node1-4,-5,True,False,10
21,node3-6,node1-4,-5,True,False,13
22,node3-6,node1-4,-5,True,False,11
23,node3-6,node1-4,-5,True,False,13
24,node3-6,node1-4,-5,True,False,12
25,node3-6,node1-4,-5,True,False,11
26,node3-6,node1-4,-5,True,False,13
27,node3-6,node1-4,-5,True,False,11
28,node3-6,node1-4,-5,True,False,13
29,node3-6,node1-4,-5,True,False,12
30,node3-6,node1-4,-5,True,False,12
31,node3-6,node1-4,-5,True,False,11
32,node3-6,node1-4,-5,True,False,11
33,node3-6,node1-4,-5,True,False,12
34,node3-6,node1-4,-5,True,False,11
35,node3-6,node1-4,-5,True,False,12
36,node3-6,node1-4,-5,True,False,12
37,node3-6,node1-4,-5,True,False,13
38,node3-6,node1-4,-5,True,False,12
39,node3-6,node1-4,-5,True,False,12
40,node3-6,node1-4,-5,True,False,12
41,node3-6,node1-4,-5,True,False,11
42,node3-6,node1-4,-5,True,False,12
43,node3-6,node1-4,-5,True,False,12
44,node3-6,node1-4,-5,True,False,13
45,node3-6,node1-4,-5,True,False,12
46,node3-6,node1-4,-5,True,False,12
47,node3-6,node1-4,-5,True,False,12
48,node3-6,node1-4,-5,True,False,13
49,node3-6,node1-4,-5,True,False,11
50,node3-6,node1-4,-5,True,False,11
51,node3-6,node1-4,-5,True,False,12
52,node3-6,node1-4,-5,True,False,13
53,node3-6,node1-4,-5,True,False,11
54,node3-6,node1-4,-5,True,False,12
55,node3-6,node1-4,-5,True,False,12
56,node3-6,node1-4,-5,True,False,11
57,node3-6,node1-4,-5,True,False,11
58,node3-6,node1-4,-5,True,False,12
59,node3-6,node1-4,-5,True,False,11
60,node3-6,node1-4,-5,True,False,12
61,node3-6,node1-4,-5,True,False,12
62,node3-6,node1-4,-5,True,False,12
63,node3-6,node1-4,-5,True,False,12
64,node3-6,node1-4,-5,True,False,12
65,node3-6,node1-4,-5,True,False,12
66,node3-6,node1-4,-5,True,False,10
67,node3-6,node1-4,-5,True,False,12
68,node3-6,node1-4,-5,True,False,12
69,node3-6,node1-4,-5,True,False,11
70,node3-6,node1-4,-5,True,False,13
71,node3-6,node1-4,-5,True,False,12
72,node3-6,node1-4,-5,True,False,12
73,node3-6,node1-4,-5,True,False,11
74,node3-6,node1-4,-5,True,False,11
75,node3-6,node1-4,-5,True,False,12
76,node3-6,node1-4,-5,True,False,11
77,node3-6,node1-4,-5,True,False,12
78,node3-6,node1-4,-5,True,False,12
79,node3-6,node1-4,-5,True,False,12
80,node3-6,node1-4,-5,True,False,12
81,node3-6,node1-4,-5,True,False,13
82,node3-6,node1-4,-5,True,False,12
83,node3-6,node1-4,-5,True,False,12
84,node3-6,node1-4,-5,True,False,13
85,node3-6,node1-4,-5,True,False,12
86,node3-6,node1-4,-5,True,False,11
87,node3-6,node1-4,-5,True,False,11
88,node3-6,node1-4,-5,True,False,13
89,node3-6,node1-4,-5,True,False,12
90,node3-6,node1-4,-5,True,False,12
91,node3-6,node1-4,-5,True,False,12
92,node3-6,node1-4,-5,True,False,11
93,node3-6,node1-4,-5,True,False,12
94,node3-6,node1-4,-5,True,False,12
95,node3-6,node1-4,-5,True,False,11
96,node3-6,node1-4,-5,True,False,12
97,node3-6,node1-4,-5,True,False,12
98,node3-6,node1-4,-5,True,False,12
99,node3-6,node1-4,-5,True,False,10
100,node3-6,node1-4,-5,True,False,11
101,node3-6,node1-4,-5,True,False,11
102,node3-6,node1-4,-5,True,False,11
103,node3-6,node1-4,-5,True,False,12
104,node3-6,node1-4,-5,True,False,12
105,node3-6,node1-4,-5,True,False,13
106,node3-6,node1-4,-5,True,False,12
107,node3-6,node1-4,-5,True,False,11
108,node3-6,node1-4,-5,True,False,12
109,node3-6,node1-4,-5,True,False,12
110,node3-6,node1-4,-5,True,False,12
111,node3-6,node1-4,-5,True,False,11
112,node3-6,node1-4,-5,True,False,12
113,node3-6,node1-4,-5,True,False,12
114,node3-6,node1-4,-5,True,False,11
115,node3-6,node1-4,-5,True,False,12
116,node3-6,node1-4,-5,True,False,11
117,node3-6,node1-4,-5,True,False,13
118,node3-6,node1-4,-5,True,False,12
119,node3-6,node1-4,-5,True,False,11
120,node3-6,node1-4,-5,True,False,12
121,node3-6,node1-4,-5,True,False,12
122,node3-6,node1-4,-5,True,False,12
123,node3-6,node1-4,-5,True,False,11
124,node3-6,node1-4,-5,True,False,12
125,node3-6,node1-4,-5,True,False,12
126,node3-6,node1-4,-5,True,False,14
127,node3-6,node1-4,-5,True,False,12
