seq,src,dst,noise,received,error,rssi
1,node4-3,node1-2,-20,True,False,21
2,node4-3,node1-2,-20,True,False,21
3,node4-3,node1-2,-20,True,False,16
4,node4-3,node1-2,-20,True,False,13
5,node4-3,node1-2,-20,True,False,14
6,node4-3,node1-2,-20,True,False,15
7,node4-3,node1-2,-20,True,False,14
8,node4-3,node1-2,-20,True,False,14
9,node4-3,node1-2,-20,True,False,14
10,node4-3,node1-2,-20,True,False,14
11,node4-3,node1-2,-20,True,False,15
12,node4-3,node1-2,-20,True,False,14
13,node4-3,node1-2,-20,True,False,14
14,node4-3,node1-2,-20,True,False,15
15,node4-3,node1-2,-20,True,False,15
16,node4-3,node1-2,-20,True,False,14
17,node4-3,node1-2,-20,True,False,14
18,node4-3,node1-2,-20,True,False,14
19,node4-3,node1-2,-20,True,False,15
20,node4-3,node1-2,-20,True,False,15
21,node4-3,node1-2,-20,True,False,14
22,node4-3,node1-2,-20,True,False,14
23,node4-3,node1-2,-20,True,False,15
24,node4-3,node1-2,-20,True,False,15
25,node4-3,node1-2,-20,True,False,15
26,node4-3,node1-2,-20,True,False,14
27,node4-3,node1-2,-20,True,False,14
28,node4-3,node1-2,-20,True,False,15
29,node4-3,node1-2,-20,True,False,15
30,node4-3,node1-2,-20,True,False,13
31,node4-3,node1-2,-20,True,False,15
32,node4-3,node1-2,-20,True,False,15
33,node4-3,node1-2,-20,True,False,14
34,node4-3,node1-2,-20,True,False,14
35,node4-3,node1-2,-20,True,False,14
36,node4-3,node1-2,-20,True,False,16
37,node4-3,node1-2,-20,True,False,14
38,node4-3,node1-2,-20,True,False,15
39,node4-3,node1-2,-20,True,False,15
40,node4-3,node1-2,-20,True,False,14
41,node4-3,node1-2,-20,True,False,14
42,node4-3,node1-2,-20,True,False,14
43,node4-3,node1-2,-20,True,False,14
44,node4-3,node1-2,-20,True,False,14
45,node4-3,node1-2,-20,True,False,15
46,node4-3,node1-2,-20,True,False,14
47,node4-3,node1-2,-20,True,False,13
48,node4-3,node1-2,-20,True,False,15
49,node4-3,node1-2,-20,True,False,14
50,node4-3,node1-2,-20,True,False,13
51,node4-3,node1-2,-20,True,False,15
52,node4-3,node1-2,-20,True,False,14
53,node4-3,node1-2,-20,True,False,15
54,node4-3,node1-2,-20,True,False,14
55,node4-3,node1-2,-20,True,False,15
56,node4-3,node1-2,-20,True,False,15
57,node4-3,node1-2,-20,True,False,14
58,node4-3,node1-2,-20,True,False,15
59,node4-3,node1-2,-20,True,False,14
60,node4-3,node1-2,-20,True,False,15
61,node4-3,node1-2,-20,True,False,14
62,node4-3,node1-2,-20,True,False,15
63,node4-3,node1-2,-20,True,False,15
64,node4-3,node1-2,-20,True,False,14
65,node4-3,node1-2,-20,True,False,14
66,node4-3,node1-2,-20,True,False,14
67,node4-3,node1-2,-20,True,False,15
68,node4-3,node1-2,-20,True,False,15
69,node4-3,node1-2,-20,True,False,14
70,node4-3,node1-2,-20,True,False,15
