seq,src,dst,noise,received,error,rssi
1,node6-5,node3-8,-15,True,False,17
2,node6-5,node3-8,-15,True,False,17
3,node6-5,node3-8,-15,True,False,13
4,node6-5,node3-8,-15,True,False,13
5,node6-5,node3-8,-15,True,False,13
6,node6-5,node3-8,-15,True,False,12
7,node6-5,node3-8,-15,True,False,12
8,node6-5,node3-8,-15,True,False,15
9,node6-5,node3-8,-15,True,False,13
10,node6-5,node3-8,-15,True,False,14
11,node6-5,node3-8,-15,True,False,13
12,node6-5,node3-8,-15,True,False,13
13,node6-5,node3-8,-15,True,False,13
14,node6-5,node3-8,-15,True,False,13
15,node6-5,node3-8,-15,True,False,14
16,node6-5,node3-8,-15,True,False,12
17,node6-5,node3-8,-15,True,False,13
18,node6-5,node3-8,-15,True,False,13
19,node6-5,node3-8,-15,True,False,13
20,node6-5,node3-8,-15,True,False,13
21,node6-5,node3-8,-15,True,False,13
22,node6-5,node3-8,-15,True,False,14
23,node6-5,node3-8,-15,True,False,12
24,node6-5,node3-8,-15,True,False,13
25,node6-5,node3-8,-15,True,False,14
26,node6-5,node3-8,-15,True,False,13
27,node6-5,node3-8,-15,True,False,13
28,node6-5,node3-8,-15,True,False,11
29,node6-5,node3-8,-15,True,False,13
30,node6-5,node3-8,-15,True,False,13
31,node6-5,node3-8,-15,True,False,13
32,node6-5,node3-8,-15,True,False,13
33,node6-5,node3-8,-15,True,False,14
34,node6-5,node3-8,-15,True,False,13
35,node6-5,node3-8,-15,True,False,12
36,node6-5,node3-8,-15,True,False,13
37,node6-5,node3-8,-15,True,False,13
38,node6-5,node3-8,-15,True,False,13
39,node6-5,node3-8,-15,True,False,12
40,node6-5,node3-8,-15,True,False,13
41,node6-5,node3-8,-15,True,False,13
42,node6-5,node3-8,-15,True,False,13
43,node6-5,node3-8,-15,True,False,13
44,node6-5,node3-8,-15,True,False,12
45,node6-5,node3-8,-15,True,False,12
46,node6-5,node3-8,-15,True,False,13
47,node6-5,node3-8,-15,True,False,12
48,node6-5,node3-8,-15,True,False,13
49,node6-5,node3-8,-15,True,False,13
50,node6-5,node3-8,-15,True,False,13
51,node6-5,node3-8,-15,True,False,13
52,node6-5,node3-8,-15,True,False,14
53,node6-5,node3-8,-15,True,False,13
54,node6-5,node3-8,-15,True,False,13
55,node6-5,node3-8,-15,True,False,12
56,node6-5,node3-8,-15,True,False,13
57,node6-5,node3-8,-15,True,False,13
58,node6-5,node3-8,-15,True,False,12
59,node6-5,node3-8,-15,True,False,12
60,node6-5,node3-8,-15,True,False,12
61,node6-5,node3-8,-15,True,False,13
62,node6-5,node3-8,-15,True,False,13
63,node6-5,node3-8,-15,True,False,13
64,node6-5,node3-8,-15,True,False,12
65,node6-5,node3-8,-15,True,False,12
66,node6-5,node3-8,-15,True,False,13
67,node6-5,node3-8,-15,True,False,13
68,node6-5,node3-8,-15,True,False,12
69,node6-5,node3-8,-15,True,False,13
70,node6-5,node3-8,-15,True,False,13
71,node6-5,node3-8,-15,True,False,12
72,node6-5,node3-8,-15,True,False,12
73,node6-5,node3-8,-15,True,False,12
74,node6-5,node3-8,-15,True,False,12
75,node6-5,node3-8,-15,True,False,12
76,node6-5,node3-8,-15,True,False,13
77,node6-5,node3-8,-15,True,False,12
78,node6-5,node3-8,-15,True,False,13
79,node6-5,node3-8,-15,True,False,13
80,node6-5,node3-8,-15,True,False,13
81,node6-5,node3-8,-15,True,False,12
82,node6-5,node3-8,-15,True,False,14
83,node6-5,node3-8,-15,True,False,14
84,node6-5,node3-8,-15,True,False,12
85,node6-5,node3-8,-15,True,False,13
86,node6-5,node3-8,-15,True,False,12
87,node6-5,node3-8,-15,True,False,14
88,node6-5,node3-8,-15,True,False,13
89,node6-5,node3-8,-15,True,False,12
90,node6-5,node3-8,-15,True,False,12
91,node6-5,node3-8,-15,True,False,15
92,node6-5,node3-8,-15,True,False,13
93,node6-5,node3-8,-15,True,False,13
94,node6-5,node3-8,-15,True,False,12
95,node6-5,node3-8,-15,True,False,13
96,node6-5,node3-8,-15,True,False,13
97,node6-5,node3-8,-15,True,False,13
98,node6-5,node3-8,-15,True,False,12
99,node6-5,node3-8,-15,True,False,13
100,node6-5,node3-8,-15,True,False,12
101,node6-5,node3-8,-15,True,False,13
102,node6-5,node3-8,-15,True,False,13
103,node6-5,node3-8,-15,True,False,12
104,node6-5,node3-8,-15,True,False,12
105,node6-5,node3-8,-15,True,False,13
106,node6-5,node3-8,-15,True,False,11
107,node6-5,node3-8,-15,True,False,13
108,node6-5,node3-8,-15,True,False,14
109,node6-5,node3-8,-15,True,False,13
110,node6-5,node3-8,-15,True,False,13
111,node6-5,node3-8,-15,True,False,13
112,node6-5,node3-8,-15,True,False,12
113,node6-5,node3-8,-15,True,False,13
114,node6-5,node3-8,-15,True,False,13
115,node6-5,node3-8,-15,True,False,13
116,node6-5,node3-8,-15,True,False,13
117,node6-5,node3-8,-15,True,False,13
118,node6-5,node3-8,-15,True,False,13
119,node6-5,node3-8,-15,True,False,12
120,node6-5,node3-8,-15,True,False,12
121,node6-5,node3-8,-15,True,False,13
122,node6-5,node3-8,-15,True,False,13
123,node6-5,node3-8,-15,True,False,12
124,node6-5,node3-8,-15,True,False,14
125,node6-5,node3-8,-15,True,False,13
126,node6-5,node3-8,-15,True,False,13
127,node6-5,node3-8,-15,True,False,13
128,node6-5,node3-8,-15,True,False,12
129,node6-5,node3-8,-15,True,False,14
130,node6-5,node3-8,-15,True,False,12
131,node6-5,node3-8,-15,True,False,12
132,node6-5,node3-8,-15,True,False,14
133,node6-5,node3-8,-15,True,False,11
134,node6-5,node3-8,-15,True,False,12
135,node6-5,node3-8,-15,True,False,14
136,node6-5,node3-8,-15,True,False,13
137,node6-5,node3-8,-15,True,False,12
