seq,src,dst,noise,received,error,rssi
1,node6-1,node8-5,-15,True,False,20
2,node6-1,node8-5,-15,True,False,18
3,node6-1,node8-5,-15,True,False,15
4,node6-1,node8-5,-15,True,False,13
5,node6-1,node8-5,-15,True,False,13
6,node6-1,node8-5,-15,True,False,11
7,node6-1,node8-5,-15,True,False,13
8,node6-1,node8-5,-15,True,False,11
9,node6-1,node8-5,-15,True,False,11
10,node6-1,node8-5,-15,True,False,10
11,node6-1,node8-5,-15,True,False,12
12,node6-1,node8-5,-15,True,False,13
13,node6-1,node8-5,-15,True,False,13
14,node6-1,node8-5,-15,True,False,13
15,node6-1,node8-5,-15,True,False,13
16,node6-1,node8-5,-15,True,False,13
17,node6-1,node8-5,-15,True,False,13
18,node6-1,node8-5,-15,True,False,12
19,node6-1,node8-5,-15,True,False,12
20,node6-1,node8-5,-15,True,False,11
21,node6-1,node8-5,-15,True,False,12
22,node6-1,node8-5,-15,True,False,13
23,node6-1,node8-5,-15,True,False,12
24,node6-1,node8-5,-15,True,False,13
25,node6-1,node8-5,-15,True,False,13
26,node6-1,node8-5,-15,True,False,13
27,node6-1,node8-5,-15,True,False,10
28,node6-1,node8-5,-15,True,False,10
29,node6-1,node8-5,-15,True,False,13
30,node6-1,node8-5,-15,True,False,10
31,node6-1,node8-5,-15,True,False,13
32,node6-1,node8-5,-15,True,False,12
33,node6-1,node8-5,-15,True,False,11
34,node6-1,node8-5,-15,True,False,12
35,node6-1,node8-5,-15,True,False,12
36,node6-1,node8-5,-15,True,False,13
37,node6-1,node8-5,-15,True,False,12
38,node6-1,node8-5,-15,True,False,10
39,node6-1,node8-5,-15,True,False,11
40,node6-1,node8-5,-15,True,False,12
41,node6-1,node8-5,-15,True,False,13
42,node6-1,node8-5,-15,True,False,11
43,node6-1,node8-5,-15,True,False,13
44,node6-1,node8-5,-15,True,False,11
45,node6-1,node8-5,-15,True,False,13
46,node6-1,node8-5,-15,True,False,13
47,node6-1,node8-5,-15,True,False,13
48,node6-1,node8-5,-15,True,False,12
49,node6-1,node8-5,-15,True,False,13
50,node6-1,node8-5,-15,True,False,12
51,node6-1,node8-5,-15,True,False,12
52,node6-1,node8-5,-15,True,False,14
53,node6-1,node8-5,-15,True,False,12
54,node6-1,node8-5,-15,True,False,13
55,node6-1,node8-5,-15,True,False,13
56,node6-1,node8-5,-15,True,False,12
57,node6-1,node8-5,-15,True,False,13
58,node6-1,node8-5,-15,True,False,11
59,node6-1,node8-5,-15,True,False,13
60,node6-1,node8-5,-15,True,False,13
61,node6-1,node8-5,-15,True,False,13
62,node6-1,node8-5,-15,True,False,12
63,node6-1,node8-5,-15,True,False,13
64,node6-1,node8-5,-15,True,False,12
65,node6-1,node8-5,-15,True,False,11
66,node6-1,node8-5,-15,True,False,13
67,node6-1,node8-5,-15,True,False,13
68,node6-1,node8-5,-15,True,False,13
69,node6-1,node8-5,-15,True,False,15
70,node6-1,node8-5,-15,True,False,12
71,node6-1,node8-5,-15,True,False,12
72,node6-1,node8-5,-15,True,False,12
73,node6-1,node8-5,-15,True,False,12
74,node6-1,node8-5,-15,True,False,11
75,node6-1,node8-5,-15,True,False,12
76,node6-1,node8-5,-15,True,False,12
77,node6-1,node8-5,-15,True,False,12
78,node6-1,node8-5,-15,True,False,11
79,node6-1,node8-5,-15,True,False,13
80,node6-1,node8-5,-15,True,False,10
81,node6-1,node8-5,-15,True,False,12
82,node6-1,node8-5,-15,True,False,13
83,node6-1,node8-5,-15,True,False,12
84,node6-1,node8-5,-15,True,False,11
85,node6-1,node8-5,-15,True,False,13
86,node6-1,node8-5,-15,True,False,12
87,node6-1,node8-5,-15,True,False,14
88,node6-1,node8-5,-15,True,False,12
89,node6-1,node8-5,-15,True,False,12
90,node6-1,node8-5,-15,True,False,13
91,node6-1,node8-5,-15,True,False,13
92,node6-1,node8-5,-15,True,False,13
93,node6-1,node8-5,-15,True,False,13
94,node6-1,node8-5,-15,True,False,10
95,node6-1,node8-5,-15,True,False,12
96,node6-1,node8-5,-15,True,False,13
97,node6-1,node8-5,-15,True,False,13
98,node6-1,node8-5,-15,True,False,13
99,node6-1,node8-5,-15,True,False,12
100,node6-1,node8-5,-15,True,False,14
101,node6-1,node8-5,-15,True,False,13
102,node6-1,node8-5,-15,True,False,12
103,node6-1,node8-5,-15,True,False,13
104,node6-1,node8-5,-15,True,False,12
105,node6-1,node8-5,-15,True,False,13
106,node6-1,node8-5,-15,True,False,13
107,node6-1,node8-5,-15,True,False,12
108,node6-1,node8-5,-15,True,False,13
109,node6-1,node8-5,-15,True,False,11
110,node6-1,node8-5,-15,True,False,13
111,node6-1,node8-5,-15,True,False,12
112,node6-1,node8-5,-15,True,False,11
113,node6-1,node8-5,-15,True,False,12
114,node6-1,node8-5,-15,True,False,12
115,node6-1,node8-5,-15,True,False,13
116,node6-1,node8-5,-15,True,False,13
117,node6-1,node8-5,-15,True,False,12
118,node6-1,node8-5,-15,True,False,12
119,node6-1,node8-5,-15,True,False,13
120,node6-1,node8-5,-15,True,False,15
121,node6-1,node8-5,-15,True,False,13
122,node6-1,node8-5,-15,True,False,11
123,node6-1,node8-5,-15,True,False,11
124,node6-1,node8-5,-15,True,False,13
125,node6-1,node8-5,-15,True,False,13
126,node6-1,node8-5,-15,True,False,12
127,node6-1,node8-5,-15,True,False,13
128,node6-1,node8-5,-15,True,False,13
129,node6-1,node8-5,-15,True,False,13
130,node6-1,node8-5,-15,True,False,12
131,node6-1,node8-5,-15,True,False,11
132,node6-1,node8-5,-15,True,False,13
133,node6-1,node8-5,-15,True,False,12
134,node6-1,node8-5,-15,True,False,14
135,node6-1,node8-5,-15,True,False,12
136,node6-1,node8-5,-15,True,False,10
137,node6-1,node8-5,-15,True,False,12
138,node6-1,node8-5,-15,True,False,14
139,node6-1,node8-5,-15,True,False,12
140,node6-1,node8-5,-15,True,False,13
141,node6-1,node8-5,-15,True,False,11
142,node6-1,node8-5,-15,True,False,13
143,node6-1,node8-5,-15,True,False,11
144,node6-1,node8-5,-15,True,False,13
145,node6-1,node8-5,-15,True,False,12
146,node6-1,node8-5,-15,True,False,12
147,node6-1,node8-5,-15,True,False,11
148,node6-1,node8-5,-15,True,False,13
149,node6-1,node8-5,-15,True,False,14
150,node6-1,node8-5,-15,True,False,12
151,node6-1,node8-5,-15,True,False,11
152,node6-1,node8-5,-15,True,False,12
153,node6-1,node8-5,-15,True,False,13
154,node6-1,node8-5,-15,True,False,12
155,node6-1,node8-5,-15,True,False,12
156,node6-1,node8-5,-15,True,False,13
157,node6-1,node8-5,-15,True,False,13
158,node6-1,node8-5,-15,True,False,13
159,node6-1,node8-5,-15,True,False,12
160,node6-1,node8-5,-15,True,False,11
161,node6-1,node8-5,-15,True,False,13
162,node6-1,node8-5,-15,True,False,14
163,node6-1,node8-5,-15,True,False,13
164,node6-1,node8-5,-15,True,False,13
165,node6-1,node8-5,-15,True,False,12
166,node6-1,node8-5,-15,True,False,13
167,node6-1,node8-5,-15,True,False,13
168,node6-1,node8-5,-15,True,False,12
169,node6-1,node8-5,-15,True,False,13
170,node6-1,node8-5,-15,True,False,11
171,node6-1,node8-5,-15,True,False,14
172,node6-1,node8-5,-15,True,False,11
173,node6-1,node8-5,-15,True,False,11
174,node6-1,node8-5,-15,True,False,11
175,node6-1,node8-5,-15,True,False,10
176,node6-1,node8-5,-15,True,False,12
177,node6-1,node8-5,-15,True,False,12
178,node6-1,node8-5,-15,True,False,13
179,node6-1,node8-5,-15,True,False,13
180,node6-1,node8-5,-15,True,False,11
181,node6-1,node8-5,-15,True,False,11
182,node6-1,node8-5,-15,True,False,13
183,node6-1,node8-5,-15,True,False,13
184,node6-1,node8-5,-15,True,False,12
185,node6-1,node8-5,-15,True,False,12
186,node6-1,node8-5,-15,True,False,12
187,node6-1,node8-5,-15,True,False,12
188,node6-1,node8-5,-15,True,False,13
189,node6-1,node8-5,-15,True,False,13
190,node6-1,node8-5,-15,True,False,12
191,node6-1,node8-5,-15,True,False,13
192,node6-1,node8-5,-15,True,False,13
193,node6-1,node8-5,-15,True,False,12
194,node6-1,node8-5,-15,True,False,12
195,node6-1,node8-5,-15,True,False,12
196,node6-1,node8-5,-15,True,False,11
197,node6-1,node8-5,-15,True,False,12
198,node6-1,node8-5,-15,True,False,13
199,node6-1,node8-5,-15,True,False,13
200,node6-1,node8-5,-15,True,False,12
201,node6-1,node8-5,-15,True,False,11
202,node6-1,node8-5,-15,True,False,11
203,node6-1,node8-5,-15,True,False,12
204,node6-1,node8-5,-15,True,False,13
205,node6-1,node8-5,-15,True,False,12
206,node6-1,node8-5,-15,True,False,11
207,node6-1,node8-5,-15,True,False,11
208,node6-1,node8-5,-15,True,False,12
209,node6-1,node8-5,-15,True,False,11
210,node6-1,node8-5,-15,True,False,10
211,node6-1,node8-5,-15,True,False,13
212,node6-1,node8-5,-15,True,False,13
213,node6-1,node8-5,-15,True,False,11
214,node6-1,node8-5,-15,True,False,12
215,node6-1,node8-5,-15,True,False,13
216,node6-1,node8-5,-15,True,False,13
217,node6-1,node8-5,-15,True,False,10
218,node6-1,node8-5,-15,True,False,13
219,node6-1,node8-5,-15,True,False,14
220,node6-1,node8-5,-15,True,False,13
221,node6-1,node8-5,-15,True,False,11
222,node6-1,node8-5,-15,True,False,12
223,node6-1,node8-5,-15,True,False,11
224,node6-1,node8-5,-15,True,False,12
225,node6-1,node8-5,-15,True,False,12
226,node6-1,node8-5,-15,True,False,11
227,node6-1,node8-5,-15,True,False,12
228,node6-1,node8-5,-15,True,False,13
229,node6-1,node8-5,-15,True,False,12
230,node6-1,node8-5,-15,True,False,13
231,node6-1,node8-5,-15,True,False,11
232,node6-1,node8-5,-15,True,False,12
233,node6-1,node8-5,-15,True,False,13
234,node6-1,node8-5,-15,True,False,12
235,node6-1,node8-5,-15,True,False,12
236,node6-1,node8-5,-15,True,False,13
237,node6-1,node8-5,-15,True,False,11
238,node6-1,node8-5,-15,True,False,11
239,node6-1,node8-5,-15,True,False,12
240,node6-1,node8-5,-15,True,False,11
241,node6-1,node8-5,-15,True,False,13
242,node6-1,node8-5,-15,True,False,13
243,node6-1,node8-5,-15,True,False,12
244,node6-1,node8-5,-15,True,False,13
245,node6-1,node8-5,-15,True,False,13
246,node6-1,node8-5,-15,True,False,11
247,node6-1,node8-5,-15,True,False,13
248,node6-1,node8-5,-15,True,False,12
249,node6-1,node8-5,-15,True,False,12
250,node6-1,node8-5,-15,True,False,12
251,node6-1,node8-5,-15,True,False,13
252,node6-1,node8-5,-15,True,False,13
253,node6-1,node8-5,-15,True,False,13
254,node6-1,node8-5,-15,True,False,13
255,node6-1,node8-5,-15,True,False,13
256,node6-1,node8-5,-15,True,False,11
257,node6-1,node8-5,-15,True,False,13
258,node6-1,node8-5,-15,True,False,12
259,node6-1,node8-5,-15,True,False,12
260,node6-1,node8-5,-15,True,False,13
261,node6-1,node8-5,-15,True,False,13
262,node6-1,node8-5,-15,True,False,13
263,node6-1,node8-5,-15,True,False,14
264,node6-1,node8-5,-15,True,False,13
265,node6-1,node8-5,-15,True,False,12
266,node6-1,node8-5,-15,True,False,12
267,node6-1,node8-5,-15,True,False,13
268,node6-1,node8-5,-15,True,False,13
269,node6-1,node8-5,-15,True,False,11
270,node6-1,node8-5,-15,True,False,12
271,node6-1,node8-5,-15,True,False,11
272,node6-1,node8-5,-15,True,False,13
273,node6-1,node8-5,-15,True,False,13
274,node6-1,node8-5,-15,True,False,12
275,node6-1,node8-5,-15,True,False,13
276,node6-1,node8-5,-15,True,False,13
277,node6-1,node8-5,-15,True,False,11
278,node6-1,node8-5,-15,True,False,11
279,node6-1,node8-5,-15,True,False,10
280,node6-1,node8-5,-15,True,False,11
281,node6-1,node8-5,-15,True,False,13
282,node6-1,node8-5,-15,True,False,12
283,node6-1,node8-5,-15,True,False,12
284,node6-1,node8-5,-15,True,False,14
285,node6-1,node8-5,-15,True,False,12
286,node6-1,node8-5,-15,True,False,12
287,node6-1,node8-5,-15,True,False,12
288,node6-1,node8-5,-15,True,False,12
289,node6-1,node8-5,-15,True,False,13
290,node6-1,node8-5,-15,True,False,13
291,node6-1,node8-5,-15,True,False,13
292,node6-1,node8-5,-15,True,False,12
293,node6-1,node8-5,-15,True,False,12
294,node6-1,node8-5,-15,True,False,12
295,node6-1,node8-5,-15,True,False,11
296,node6-1,node8-5,-15,True,False,12
297,node6-1,node8-5,-15,True,False,13
298,node6-1,node8-5,-15,True,False,12
299,node6-1,node8-5,-15,True,False,13
300,node6-1,node8-5,-15,True,False,10
