seq,src,dst,noise,received,error,rssi
1,node1-2,node7-6,-15,True,False,15
2,node1-2,node7-6,-15,True,False,13
3,node1-2,node7-6,-15,True,False,11
4,node1-2,node7-6,-15,True,False,11
5,node1-2,node7-6,-15,True,False,10
6,node1-2,node7-6,-15,True,False,10
7,node1-2,node7-6,-15,True,False,9
8,node1-2,node7-6,-15,True,False,11
9,node1-2,node7-6,-15,True,False,10
10,node1-2,node7-6,-15,True,False,10
11,node1-2,node7-6,-15,True,False,8
12,node1-2,node7-6,-15,True,False,9
13,node1-2,node7-6,-15,True,False,9
14,node1-2,node7-6,-15,True,False,11
15,node1-2,node7-6,-15,True,False,10
16,node1-2,node7-6,-15,True,False,11
17,node1-2,node7-6,-15,True,False,9
18,node1-2,node7-6,-15,True,False,10
19,node1-2,node7-6,-15,True,False,10
20,node1-2,node7-6,-15,True,False,10
21,node1-2,node7-6,-15,True,False,8
22,node1-2,node7-6,-15,True,False,9
23,node1-2,node7-6,-15,True,False,9
24,node1-2,node7-6,-15,True,False,10
25,node1-2,node7-6,-15,True,False,10
26,node1-2,node7-6,-15,True,False,11
27,node1-2,node7-6,-15,True,False,8
28,node1-2,node7-6,-15,True,False,10
29,node1-2,node7-6,-15,True,False,10
30,node1-2,node7-6,-15,True,False,11
31,node1-2,node7-6,-15,True,False,9
32,node1-2,node7-6,-15,True,False,10
33,node1-2,node7-6,-15,True,False,10
34,node1-2,node7-6,-15,True,False,9
35,node1-2,node7-6,-15,True,False,9
36,node1-2,node7-6,-15,True,False,9
37,node1-2,node7-6,-15,True,False,11
38,node1-2,node7-6,-15,True,False,9
39,node1-2,node7-6,-15,True,False,10
40,node1-2,node7-6,-15,True,False,10
41,node1-2,node7-6,-15,True,False,9
42,node1-2,node7-6,-15,True,False,10
43,node1-2,node7-6,-15,True,False,11
44,node1-2,node7-6,-15,True,False,10
45,node1-2,node7-6,-15,True,False,11
46,node1-2,node7-6,-15,True,False,10
47,node1-2,node7-6,-15,True,False,9
48,node1-2,node7-6,-15,True,False,9
49,node1-2,node7-6,-15,True,False,9
50,node1-2,node7-6,-15,True,False,8
51,node1-2,node7-6,-15,True,False,9
52,node1-2,node7-6,-15,True,False,11
53,node1-2,node7-6,-15,True,False,9
54,node1-2,node7-6,-15,True,False,10
55,node1-2,node7-6,-15,True,False,10
56,node1-2,node7-6,-15,True,False,9
57,node1-2,node7-6,-15,True,False,11
58,node1-2,node7-6,-15,True,False,9
59,node1-2,node7-6,-15,True,False,9
60,node1-2,node7-6,-15,True,False,10
61,node1-2,node7-6,-15,True,False,10
62,node1-2,node7-6,-15,True,False,8
63,node1-2,node7-6,-15,True,False,11
64,node1-2,node7-6,-15,True,False,11
65,node1-2,node7-6,-15,True,False,9
66,node1-2,node7-6,-15,True,False,9
67,node1-2,node7-6,-15,True,False,8
68,node1-2,node7-6,-15,True,False,10
69,node1-2,node7-6,-15,True,False,9
70,node1-2,node7-6,-15,True,False,9
71,node1-2,node7-6,-15,True,False,9
72,node1-2,node7-6,-15,True,False,10
73,node1-2,node7-6,-15,True,False,10
74,node1-2,node7-6,-15,True,False,10
75,node1-2,node7-6,-15,True,False,9
76,node1-2,node7-6,-15,True,False,9
77,node1-2,node7-6,-15,True,False,9
78,node1-2,node7-6,-15,True,False,8
79,node1-2,node7-6,-15,True,False,11
80,node1-2,node7-6,-15,True,False,9
81,node1-2,node7-6,-15,True,False,10
82,node1-2,node7-6,-15,True,False,10
83,node1-2,node7-6,-15,True,False,10
84,node1-2,node7-6,-15,True,False,8
85,node1-2,node7-6,-15,True,False,9
86,node1-2,node7-6,-15,True,False,10
87,node1-2,node7-6,-15,True,False,9
88,node1-2,node7-6,-15,True,False,10
89,node1-2,node7-6,-15,True,False,9
90,node1-2,node7-6,-15,True,False,8
91,node1-2,node7-6,-15,True,False,10
92,node1-2,node7-6,-15,True,False,10
93,node1-2,node7-6,-15,True,False,10
94,node1-2,node7-6,-15,True,False,10
95,node1-2,node7-6,-15,True,False,9
96,node1-2,node7-6,-15,True,False,10
