seq,src,dst,noise,received,error,rssi
1,node5-2,node7-4,-5,True,False,9
2,node5-2,node7-4,-5,True,False,8
3,node5-2,node7-4,-5,True,False,6
4,node5-2,node7-4,-5,True,False,7
5,node5-2,node7-4,-5,True,False,3
6,node5-2,node7-4,-5,True,False,6
7,node5-2,node7-4,-5,True,False,5
8,node5-2,node7-4,-5,True,False,5
9,node5-2,node7-4,-5,True,False,5
10,node5-2,node7-4,-5,True,False,4
11,node5-2,node7-4,-5,True,False,4
12,node5-2,node7-4,-5,True,False,5
13,node5-2,node7-4,-5,True,False,5
14,node5-2,node7-4,-5,True,False,4
15,node5-2,node7-4,-5,True,False,4
16,node5-2,node7-4,-5,True,False,5
17,node5-2,node7-4,-5,True,False,4
18,node5-2,node7-4,-5,True,False,6
19,node5-2,node7-4,-5,True,False,5
20,node5-2,node7-4,-5,True,False,5
21,node5-2,node7-4,-5,True,False,4
22,node5-2,node7-4,-5,True,False,5
23,node5-2,node7-4,-5,True,False,4
24,node5-2,node7-4,-5,True,False,5
25,node5-2,node7-4,-5,True,False,5
26,node5-2,node7-4,-5,True,False,5
27,node5-2,node7-4,-5,True,False,5
28,node5-2,node7-4,-5,True,False,6
29,node5-2,node7-4,-5,True,False,6
30,node5-2,node7-4,-5,True,False,3
31,node5-2,node7-4,-5,True,False,5
32,node5-2,node7-4,-5,True,False,6
33,node5-2,node7-4,-5,True,False,6
34,node5-2,node7-4,-5,True,False,4
35,node5-2,node7-4,-5,True,False,5
36,node5-2,node7-4,-5,True,False,5
37,node5-2,node7-4,-5,True,False,3
38,node5-2,node7-4,-5,True,False,3
39,node5-2,node7-4,-5,True,False,5
40,node5-2,node7-4,-5,True,False,6
41,node5-2,node7-4,-5,True,False,5
42,node5-2,node7-4,-5,True,False,5
43,node5-2,node7-4,-5,True,False,6
44,node5-2,node7-4,-5,True,False,4
45,node5-2,node7-4,-5,True,False,5
46,node5-2,node7-4,-5,True,False,6
47,node5-2,node7-4,-5,True,False,4
48,node5-2,node7-4,-5,True,False,5
49,node5-2,node7-4,-5,True,False,4
50,node5-2,node7-4,-5,True,False,5
51,node5-2,node7-4,-5,True,False,5
52,node5-2,node7-4,-5,True,False,5
53,node5-2,node7-4,-5,True,False,5
54,node5-2,node7-4,-5,True,False,4
55,node5-2,node7-4,-5,True,False,4
56,node5-2,node7-4,-5,True,False,4
57,node5-2,node7-4,-5,True,False,7
58,node5-2,node7-4,-5,True,False,5
59,node5-2,node7-4,-5,True,False,5
60,node5-2,node7-4,-5,True,False,4
61,node5-2,node7-4,-5,True,False,5
62,node5-2,node7-4,-5,True,False,3
63,node5-2,node7-4,-5,True,False,4
64,node5-2,node7-4,-5,True,False,6
65,node5-2,node7-4,-5,True,False,6
66,node5-2,node7-4,-5,True,False,4
67,node5-2,node7-4,-5,True,False,4
68,node5-2,node7-4,-5,True,False,4
69,node5-2,node7-4,-5,True,False,5
70,node5-2,node7-4,-5,True,False,6
71,node5-2,node7-4,-5,True,False,4
72,node5-2,node7-4,-5,True,False,5
73,node5-2,node7-4,-5,True,False,4
74,node5-2,node7-4,-5,True,False,6
75,node5-2,node7-4,-5,True,False,6
76,node5-2,node7-4,-5,True,False,6
77,node5-2,node7-4,-5,True,False,7
78,node5-2,node7-4,-5,True,False,4
79,node5-2,node7-4,-5,True,False,4
80,node5-2,node7-4,-5,True,False,5
81,node5-2,node7-4,-5,True,False,6
82,node5-2,node7-4,-5,True,False,4
83,node5-2,node7-4,-5,True,False,5
84,node5-2,node7-4,-5,True,False,7
85,node5-2,node7-4,-5,True,False,5
