seq,src,dst,noise,received,error,rssi
1,node5-2,node4-5,-10,True,False,14
2,node5-2,node4-5,-10,True,False,13
3,node5-2,node4-5,-10,True,False,9
4,node5-2,node4-5,-10,True,False,11
5,node5-2,node4-5,-10,True,False,10
6,node5-2,node4-5,-10,True,False,10
7,node5-2,node4-5,-10,True,False,9
8,node5-2,node4-5,-10,True,False,10
9,node5-2,node4-5,-10,True,False,10
10,node5-2,node4-5,-10,True,False,10
11,node5-2,node4-5,-10,True,False,10
12,node5-2,node4-5,-10,True,False,10
13,node5-2,node4-5,-10,True,False,9
14,node5-2,node4-5,-10,True,False,9
15,node5-2,node4-5,-10,True,False,9
16,node5-2,node4-5,-10,True,False,9
17,node5-2,node4-5,-10,True,False,9
18,node5-2,node4-5,-10,True,False,10
19,node5-2,node4-5,-10,True,False,10
20,node5-2,node4-5,-10,True,False,7
21,node5-2,node4-5,-10,True,False,9
22,node5-2,node4-5,-10,True,False,6
23,node5-2,node4-5,-10,True,False,8
24,node5-2,node4-5,-10,True,False,10
25,node5-2,node4-5,-10,True,False,8
26,node5-2,node4-5,-10,True,False,10
27,node5-2,node4-5,-10,True,False,10
28,node5-2,node4-5,-10,True,False,10
29,node5-2,node4-5,-10,True,False,8
30,node5-2,node4-5,-10,True,False,9
31,node5-2,node4-5,-10,True,False,9
32,node5-2,node4-5,-10,True,False,9
33,node5-2,node4-5,-10,True,False,8
34,node5-2,node4-5,-10,True,False,9
35,node5-2,node4-5,-10,True,False,9
36,node5-2,node4-5,-10,True,False,7
37,node5-2,node4-5,-10,True,False,8
38,node5-2,node4-5,-10,True,False,7
39,node5-2,node4-5,-10,True,False,9
40,node5-2,node4-5,-10,True,False,11
41,node5-2,node4-5,-10,True,False,11
42,node5-2,node4-5,-10,True,False,9
43,node5-2,node4-5,-10,True,False,10
44,node5-2,node4-5,-10,True,False,7
45,node5-2,node4-5,-10,True,False,9
46,node5-2,node4-5,-10,True,False,9
47,node5-2,node4-5,-10,True,False,8
48,node5-2,node4-5,-10,True,False,10
49,node5-2,node4-5,-10,True,False,8
50,node5-2,node4-5,-10,True,False,10
51,node5-2,node4-5,-10,True,False,9
52,node5-2,node4-5,-10,True,False,10
53,node5-2,node4-5,-10,True,False,7
54,node5-2,node4-5,-10,True,False,9
55,node5-2,node4-5,-10,True,False,9
56,node5-2,node4-5,-10,True,False,9
57,node5-2,node4-5,-10,True,False,10
58,node5-2,node4-5,-10,True,False,9
59,node5-2,node4-5,-10,True,False,10
60,node5-2,node4-5,-10,True,False,8
61,node5-2,node4-5,-10,True,False,9
62,node5-2,node4-5,-10,True,False,7
63,node5-2,node4-5,-10,True,False,11
64,node5-2,node4-5,-10,True,False,10
65,node5-2,node4-5,-10,True,False,9
66,node5-2,node4-5,-10,True,False,9
67,node5-2,node4-5,-10,True,False,9
68,node5-2,node4-5,-10,True,False,9
69,node5-2,node4-5,-10,True,False,8
70,node5-2,node4-5,-10,True,False,10
71,node5-2,node4-5,-10,True,False,9
72,node5-2,node4-5,-10,True,False,10
73,node5-2,node4-5,-10,True,False,9
74,node5-2,node4-5,-10,True,False,9
75,node5-2,node4-5,-10,True,False,10
76,node5-2,node4-5,-10,True,False,10
77,node5-2,node4-5,-10,True,False,11
78,node5-2,node4-5,-10,True,False,8
79,node5-2,node4-5,-10,True,False,9
80,node5-2,node4-5,-10,True,False,10
81,node5-2,node4-5,-10,True,False,9
82,node5-2,node4-5,-10,True,False,9
83,node5-2,node4-5,-10,True,False,10
84,node5-2,node4-5,-10,True,False,11
85,node5-2,node4-5,-10,True,False,10
86,node5-2,node4-5,-10,True,False,11
87,node5-2,node4-5,-10,True,False,9
88,node5-2,node4-5,-10,True,False,7
89,node5-2,node4-5,-10,True,False,11
90,node5-2,node4-5,-10,True,False,8
91,node5-2,node4-5,-10,True,False,10
92,node5-2,node4-5,-10,True,False,8
93,node5-2,node4-5,-10,True,False,9
94,node5-2,node4-5,-10,True,False,8
95,node5-2,node4-5,-10,True,False,9
96,node5-2,node4-5,-10,True,False,9
97,node5-2,node4-5,-10,True,False,10
98,node5-2,node4-5,-10,True,False,9
99,node5-2,node4-5,-10,True,False,11
100,node5-2,node4-5,-10,True,False,8
101,node5-2,node4-5,-10,True,False,10
102,node5-2,node4-5,-10,True,False,8
103,node5-2,node4-5,-10,True,False,8
104,node5-2,node4-5,-10,True,False,9
105,node5-2,node4-5,-10,True,False,10
106,node5-2,node4-5,-10,True,False,10
107,node5-2,node4-5,-10,True,False,8
108,node5-2,node4-5,-10,True,False,8
109,node5-2,node4-5,-10,True,False,8
110,node5-2,node4-5,-10,True,False,8
111,node5-2,node4-5,-10,True,False,10
112,node5-2,node4-5,-10,True,False,10
113,node5-2,node4-5,-10,True,False,10
114,node5-2,node4-5,-10,True,False,8
115,node5-2,node4-5,-10,True,False,8
116,node5-2,node4-5,-10,True,False,9
117,node5-2,node4-5,-10,True,False,11
118,node5-2,node4-5,-10,True,False,8
119,node5-2,node4-5,-10,True,False,9
120,node5-2,node4-5,-10,True,False,9
121,node5-2,node4-5,-10,True,False,10
122,node5-2,node4-5,-10,True,False,10
123,node5-2,node4-5,-10,True,False,9
124,node5-2,node4-5,-10,True,False,11
125,node5-2,node4-5,-10,True,False,7
126,node5-2,node4-5,-10,True,False,9
127,node5-2,node4-5,-10,True,False,9
128,node5-2,node4-5,-10,True,False,10
129,node5-2,node4-5,-10,True,False,11
130,node5-2,node4-5,-10,True,False,7
131,node5-2,node4-5,-10,True,False,9
132,node5-2,node4-5,-10,True,False,8
133,node5-2,node4-5,-10,True,False,9
134,node5-2,node4-5,-10,True,False,8
135,node5-2,node4-5,-10,True,False,8
136,node5-2,node4-5,-10,True,False,9
137,node5-2,node4-5,-10,True,False,9
138,node5-2,node4-5,-10,True,False,9
139,node5-2,node4-5,-10,True,False,7
140,node5-2,node4-5,-10,True,False,11
141,node5-2,node4-5,-10,True,False,7
142,node5-2,node4-5,-10,True,False,9
143,node5-2,node4-5,-10,True,False,9
144,node5-2,node4-5,-10,True,False,8
145,node5-2,node4-5,-10,True,False,10
146,node5-2,node4-5,-10,True,False,8
147,node5-2,node4-5,-10,True,False,10
148,node5-2,node4-5,-10,True,False,8
149,node5-2,node4-5,-10,True,False,9
150,node5-2,node4-5,-10,True,False,9
151,node5-2,node4-5,-10,True,False,11
152,node5-2,node4-5,-10,True,False,9
153,node5-2,node4-5,-10,True,False,10
154,node5-2,node4-5,-10,True,False,11
155,node5-2,node4-5,-10,True,False,10
156,node5-2,node4-5,-10,True,False,10
157,node5-2,node4-5,-10,True,False,9
158,node5-2,node4-5,-10,True,False,9
159,node5-2,node4-5,-10,True,False,9
