seq,src,dst,noise,received,error,rssi
1,node8-5,node1-4,-5,True,False,17
2,node8-5,node1-4,-5,True,False,16
3,node8-5,node1-4,-5,True,False,14
4,node8-5,node1-4,-5,True,False,14
5,node8-5,node1-4,-5,True,False,13
6,node8-5,node1-4,-5,True,False,15
7,node8-5,node1-4,-5,True,False,13
8,node8-5,node1-4,-5,True,False,13
9,node8-5,node1-4,-5,True,False,14
10,node8-5,node1-4,-5,True,False,15
11,node8-5,node1-4,-5,True,False,14
12,node8-5,node1-4,-5,True,False,14
13,node8-5,node1-4,-5,True,False,13
14,node8-5,node1-4,-5,True,False,14
15,node8-5,node1-4,-5,True,False,14
16,node8-5,node1-4,-5,True,False,14
17,node8-5,node1-4,-5,True,False,13
18,node8-5,node1-4,-5,True,False,12
19,node8-5,node1-4,-5,True,False,12
20,node8-5,node1-4,-5,True,False,13
21,node8-5,node1-4,-5,True,False,14
22,node8-5,node1-4,-5,True,False,13
23,node8-5,node1-4,-5,True,False,14
24,node8-5,node1-4,-5,True,False,15
25,node8-5,node1-4,-5,True,False,14
26,node8-5,node1-4,-5,True,False,13
27,node8-5,node1-4,-5,True,False,14
28,node8-5,node1-4,-5,True,False,13
29,node8-5,node1-4,-5,True,False,12
30,node8-5,node1-4,-5,True,False,14
31,node8-5,node1-4,-5,True,False,13
32,node8-5,node1-4,-5,True,False,14
33,node8-5,node1-4,-5,True,False,13
34,node8-5,node1-4,-5,True,False,14
35,node8-5,node1-4,-5,True,False,14
36,node8-5,node1-4,-5,True,False,13
37,node8-5,node1-4,-5,True,False,13
38,node8-5,node1-4,-5,True,False,14
39,node8-5,node1-4,-5,True,False,13
40,node8-5,node1-4,-5,True,False,14
41,node8-5,node1-4,-5,True,False,14
42,node8-5,node1-4,-5,True,False,14
43,node8-5,node1-4,-5,True,False,14
44,node8-5,node1-4,-5,True,False,13
45,node8-5,node1-4,-5,True,False,14
46,node8-5,node1-4,-5,True,False,14
47,node8-5,node1-4,-5,True,False,14
48,node8-5,node1-4,-5,True,False,13
49,node8-5,node1-4,-5,True,False,14
50,node8-5,node1-4,-5,True,False,13
51,node8-5,node1-4,-5,True,False,14
52,node8-5,node1-4,-5,True,False,14
53,node8-5,node1-4,-5,True,False,13
54,node8-5,node1-4,-5,True,False,14
55,node8-5,node1-4,-5,True,False,14
56,node8-5,node1-4,-5,True,False,14
57,node8-5,node1-4,-5,True,False,13
58,node8-5,node1-4,-5,True,False,12
59,node8-5,node1-4,-5,True,False,14
60,node8-5,node1-4,-5,True,False,14
61,node8-5,node1-4,-5,True,False,13
62,node8-5,node1-4,-5,True,False,13
63,node8-5,node1-4,-5,True,False,13
64,node8-5,node1-4,-5,True,False,14
65,node8-5,node1-4,-5,True,False,14
66,node8-5,node1-4,-5,True,False,14
67,node8-5,node1-4,-5,True,False,14
68,node8-5,node1-4,-5,True,False,14
69,node8-5,node1-4,-5,True,False,13
70,node8-5,node1-4,-5,True,False,14
71,node8-5,node1-4,-5,True,False,14
72,node8-5,node1-4,-5,True,False,14
73,node8-5,node1-4,-5,True,False,13
74,node8-5,node1-4,-5,True,False,13
75,node8-5,node1-4,-5,True,False,13
76,node8-5,node1-4,-5,True,False,12
77,node8-5,node1-4,-5,True,False,14
78,node8-5,node1-4,-5,True,False,14
79,node8-5,node1-4,-5,True,False,13
80,node8-5,node1-4,-5,True,False,12
81,node8-5,node1-4,-5,True,False,14
82,node8-5,node1-4,-5,True,False,13
83,node8-5,node1-4,-5,True,False,13
84,node8-5,node1-4,-5,True,False,14
85,node8-5,node1-4,-5,True,False,14
86,node8-5,node1-4,-5,True,False,13
87,node8-5,node1-4,-5,True,False,14
88,node8-5,node1-4,-5,True,False,13
89,node8-5,node1-4,-5,True,False,14
90,node8-5,node1-4,-5,True,False,14
91,node8-5,node1-4,-5,True,False,14
92,node8-5,node1-4,-5,True,False,14
93,node8-5,node1-4,-5,True,False,14
94,node8-5,node1-4,-5,True,False,13
95,node8-5,node1-4,-5,True,False,14
96,node8-5,node1-4,-5,True,False,14
97,node8-5,node1-4,-5,True,False,14
98,node8-5,node1-4,-5,True,False,14
99,node8-5,node1-4,-5,True,False,14
100,node8-5,node1-4,-5,True,False,15
101,node8-5,node1-4,-5,True,False,13
102,node8-5,node1-4,-5,True,False,14
103,node8-5,node1-4,-5,True,False,15
104,node8-5,node1-4,-5,True,False,13
105,node8-5,node1-4,-5,True,False,13
106,node8-5,node1-4,-5,True,False,14
107,node8-5,node1-4,-5,True,False,14
108,node8-5,node1-4,-5,True,False,13
109,node8-5,node1-4,-5,True,False,14
110,node8-5,node1-4,-5,True,False,14
111,node8-5,node1-4,-5,True,False,14
112,node8-5,node1-4,-5,True,False,15
113,node8-5,node1-4,-5,True,False,14
114,node8-5,node1-4,-5,True,False,13
115,node8-5,node1-4,-5,True,False,14
116,node8-5,node1-4,-5,True,False,14
117,node8-5,node1-4,-5,True,False,13
118,node8-5,node1-4,-5,True,False,13
119,node8-5,node1-4,-5,True,False,14
120,node8-5,node1-4,-5,True,False,14
121,node8-5,node1-4,-5,True,False,13
122,node8-5,node1-4,-5,True,False,13
123,node8-5,node1-4,-5,True,False,13
124,node8-5,node1-4,-5,True,False,15
125,node8-5,node1-4,-5,True,False,12
126,node8-5,node1-4,-5,True,False,14
127,node8-5,node1-4,-5,True,False,14
128,node8-5,node1-4,-5,True,False,14
129,node8-5,node1-4,-5,True,False,13
130,node8-5,node1-4,-5,True,False,12
131,node8-5,node1-4,-5,True,False,14
132,node8-5,node1-4,-5,True,False,14
133,node8-5,node1-4,-5,True,False,13
134,node8-5,node1-4,-5,True,False,14
135,node8-5,node1-4,-5,True,False,14
136,node8-5,node1-4,-5,True,False,12
137,node8-5,node1-4,-5,True,False,13
138,node8-5,node1-4,-5,True,False,14
139,node8-5,node1-4,-5,True,False,14
140,node8-5,node1-4,-5,True,False,14
141,node8-5,node1-4,-5,True,False,14
142,node8-5,node1-4,-5,True,False,13
143,node8-5,node1-4,-5,True,False,14
144,node8-5,node1-4,-5,True,False,13
145,node8-5,node1-4,-5,True,False,15
