seq,src,dst,noise,received,error,rssi
1,node1-2,node1-6,-15,True,False,13
2,node1-2,node1-6,-15,True,False,12
3,node1-2,node1-6,-15,True,False,9
4,node1-2,node1-6,-15,True,False,8
5,node1-2,node1-6,-15,True,False,9
6,node1-2,node1-6,-15,True,False,8
7,node1-2,node1-6,-15,True,False,10
8,node1-2,node1-6,-15,True,False,9
9,node1-2,node1-6,-15,True,False,7
10,node1-2,node1-6,-15,True,False,8
11,node1-2,node1-6,-15,True,False,8
12,node1-2,node1-6,-15,True,False,9
13,node1-2,node1-6,-15,True,False,9
14,node1-2,node1-6,-15,True,False,10
15,node1-2,node1-6,-15,True,False,9
16,node1-2,node1-6,-15,True,False,8
17,node1-2,node1-6,-15,True,False,7
18,node1-2,node1-6,-15,True,False,8
19,node1-2,node1-6,-15,True,False,9
20,node1-2,node1-6,-15,True,False,7
21,node1-2,node1-6,-15,True,False,8
22,node1-2,node1-6,-15,True,False,8
23,node1-2,node1-6,-15,True,False,9
24,node1-2,node1-6,-15,True,False,8
25,node1-2,node1-6,-15,True,False,8
26,node1-2,node1-6,-15,True,False,9
27,node1-2,node1-6,-15,True,False,7
28,node1-2,node1-6,-15,True,False,8
29,node1-2,node1-6,-15,True,False,9
30,node1-2,node1-6,-15,True,False,9
31,node1-2,node1-6,-15,True,False,9
32,node1-2,node1-6,-15,True,False,8
33,node1-2,node1-6,-15,True,False,7
34,node1-2,node1-6,-15,True,False,10
35,node1-2,node1-6,-15,True,False,9
36,node1-2,node1-6,-15,True,False,8
37,node1-2,node1-6,-15,True,False,8
38,node1-2,node1-6,-15,True,False,8
39,node1-2,node1-6,-15,True,False,9
40,node1-2,node1-6,-15,True,False,9
41,node1-2,node1-6,-15,True,False,8
42,node1-2,node1-6,-15,True,False,8
43,node1-2,node1-6,-15,True,False,7
44,node1-2,node1-6,-15,True,False,9
45,node1-2,node1-6,-15,True,False,7
46,node1-2,node1-6,-15,True,False,8
47,node1-2,node1-6,-15,True,False,8
48,node1-2,node1-6,-15,True,False,9
49,node1-2,node1-6,-15,True,False,8
50,node1-2,node1-6,-15,True,False,8
51,node1-2,node1-6,-15,True,False,8
52,node1-2,node1-6,-15,True,False,10
53,node1-2,node1-6,-15,True,False,9
54,node1-2,node1-6,-15,True,False,8
55,node1-2,node1-6,-15,True,False,7
56,node1-2,node1-6,-15,True,False,9
57,node1-2,node1-6,-15,True,False,8
58,node1-2,node1-6,-15,True,False,9
59,node1-2,node1-6,-15,True,False,8
60,node1-2,node1-6,-15,True,False,8
61,node1-2,node1-6,-15,True,False,8
62,node1-2,node1-6,-15,True,False,8
63,node1-2,node1-6,-15,True,False,10
64,node1-2,node1-6,-15,True,False,9
65,node1-2,node1-6,-15,True,False,8
66,node1-2,node1-6,-15,True,False,8
67,node1-2,node1-6,-15,True,False,9
68,node1-2,node1-6,-15,True,False,9
69,node1-2,node1-6,-15,True,False,8
70,node1-2,node1-6,-15,True,False,9
71,node1-2,node1-6,-15,True,False,9
72,node1-2,node1-6,-15,True,False,9
73,node1-2,node1-6,-15,True,False,9
74,node1-2,node1-6,-15,True,False,8
75,node1-2,node1-6,-15,True,False,8
76,node1-2,node1-6,-15,True,False,8
77,node1-2,node1-6,-15,True,False,9
78,node1-2,node1-6,-15,True,False,10
79,node1-2,node1-6,-15,True,False,8
80,node1-2,node1-6,-15,True,False,9
81,node1-2,node1-6,-15,True,False,9
82,node1-2,node1-6,-15,True,False,9
