seq,src,dst,noise,received,error,rssi
1,node2-1,node7-4,-10,True,False,13
2,node2-1,node7-4,-10,True,False,12
3,node2-1,node7-4,-10,True,False,9
4,node2-1,node7-4,-10,True,False,9
5,node2-1,node7-4,-10,True,False,10
6,node2-1,node7-4,-10,True,False,10
7,node2-1,node7-4,-10,True,False,10
8,node2-1,node7-4,-10,True,False,10
9,node2-1,node7-4,-10,True,False,9
10,node2-1,node7-4,-10,True,False,10
11,node2-1,node7-4,-10,True,False,10
12,node2-1,node7-4,-10,True,False,9
13,node2-1,node7-4,-10,True,False,10
14,node2-1,node7-4,-10,True,False,9
15,node2-1,node7-4,-10,True,False,9
16,node2-1,node7-4,-10,True,False,9
17,node2-1,node7-4,-10,True,False,10
18,node2-1,node7-4,-10,True,False,10
19,node2-1,node7-4,-10,True,False,10
20,node2-1,node7-4,-10,True,False,10
21,node2-1,node7-4,-10,True,False,9
22,node2-1,node7-4,-10,True,False,10
23,node2-1,node7-4,-10,True,False,9
24,node2-1,node7-4,-10,True,False,10
25,node2-1,node7-4,-10,True,False,10
26,node2-1,node7-4,-10,True,False,9
27,node2-1,node7-4,-10,True,False,9
28,node2-1,node7-4,-10,True,False,10
29,node2-1,node7-4,-10,True,False,10
30,node2-1,node7-4,-10,True,False,9
31,node2-1,node7-4,-10,True,False,9
32,node2-1,node7-4,-10,True,False,10
33,node2-1,node7-4,-10,True,False,9
34,node2-1,node7-4,-10,True,False,10
35,node2-1,node7-4,-10,True,False,10
36,node2-1,node7-4,-10,True,False,9
37,node2-1,node7-4,-10,True,False,9
38,node2-1,node7-4,-10,True,False,10
39,node2-1,node7-4,-10,True,False,10
40,node2-1,node7-4,-10,True,False,9
41,node2-1,node7-4,-10,True,False,11
42,node2-1,node7-4,-10,True,False,9
43,node2-1,node7-4,-10,True,False,9
44,node2-1,node7-4,-10,True,False,10
45,node2-1,node7-4,-10,True,False,10
46,node2-1,node7-4,-10,True,False,8
47,node2-1,node7-4,-10,True,False,10
48,node2-1,node7-4,-10,True,False,10
49,node2-1,node7-4,-10,True,False,10
50,node2-1,node7-4,-10,True,False,9
51,node2-1,node7-4,-10,True,False,10
52,node2-1,node7-4,-10,True,False,9
53,node2-1,node7-4,-10,True,False,9
54,node2-1,node7-4,-10,True,False,10
55,node2-1,node7-4,-10,True,False,9
56,node2-1,node7-4,-10,True,False,9
57,node2-1,node7-4,-10,True,False,10
58,node2-1,node7-4,-10,True,False,9
59,node2-1,node7-4,-10,True,False,9
60,node2-1,node7-4,-10,True,False,9
61,node2-1,node7-4,-10,True,False,11
62,node2-1,node7-4,-10,True,False,9
63,node2-1,node7-4,-10,True,False,9
64,node2-1,node7-4,-10,True,False,9
65,node2-1,node7-4,-10,True,False,9
66,node2-1,node7-4,-10,True,False,10
67,node2-1,node7-4,-10,True,False,10
68,node2-1,node7-4,-10,True,False,10
69,node2-1,node7-4,-10,True,False,9
70,node2-1,node7-4,-10,True,False,10
71,node2-1,node7-4,-10,True,False,10
72,node2-1,node7-4,-10,True,False,10
73,node2-1,node7-4,-10,True,False,10
74,node2-1,node7-4,-10,True,False,10
75,node2-1,node7-4,-10,True,False,11
76,node2-1,node7-4,-10,True,False,10
77,node2-1,node7-4,-10,True,False,10
78,node2-1,node7-4,-10,True,False,10
79,node2-1,node7-4,-10,True,False,10
80,node2-1,node7-4,-10,True,False,10
81,node2-1,node7-4,-10,True,False,10
82,node2-1,node7-4,-10,True,False,10
83,node2-1,node7-4,-10,True,False,10
84,node2-1,node7-4,-10,True,False,10
85,node2-1,node7-4,-10,True,False,11
86,node2-1,node7-4,-10,True,False,10
87,node2-1,node7-4,-10,True,False,9
88,node2-1,node7-4,-10,True,False,9
89,node2-1,node7-4,-10,True,False,10
90,node2-1,node7-4,-10,True,False,10
91,node2-1,node7-4,-10,True,False,9
92,node2-1,node7-4,-10,True,False,10
93,node2-1,node7-4,-10,True,False,10
94,node2-1,node7-4,-10,True,False,9
95,node2-1,node7-4,-10,True,False,8
96,node2-1,node7-4,-10,True,False,10
97,node2-1,node7-4,-10,True,False,10
98,node2-1,node7-4,-10,True,False,9
99,node2-1,node7-4,-10,True,False,9
100,node2-1,node7-4,-10,True,False,10
101,node2-1,node7-4,-10,True,False,10
102,node2-1,node7-4,-10,True,False,10
103,node2-1,node7-4,-10,True,False,8
104,node2-1,node7-4,-10,True,False,10
105,node2-1,node7-4,-10,True,False,10
106,node2-1,node7-4,-10,True,False,10
107,node2-1,node7-4,-10,True,False,9
108,node2-1,node7-4,-10,True,False,9
109,node2-1,node7-4,-10,True,False,9
110,node2-1,node7-4,-10,True,False,9
111,node2-1,node7-4,-10,True,False,10
112,node2-1,node7-4,-10,True,False,9
113,node2-1,node7-4,-10,True,False,10
114,node2-1,node7-4,-10,True,False,10
