seq,src,dst,noise,received,error,rssi
1,node4-1,node7-4,-5,True,False,12
2,node4-1,node7-4,-5,True,False,11
3,node4-1,node7-4,-5,True,False,7
4,node4-1,node7-4,-5,True,False,7
5,node4-1,node7-4,-5,True,False,4
6,node4-1,node7-4,-5,True,False,5
7,node4-1,node7-4,-5,True,False,6
8,node4-1,node7-4,-5,True,False,8
9,node4-1,node7-4,-5,True,False,7
10,node4-1,node7-4,-5,True,False,7
11,node4-1,node7-4,-5,True,False,8
12,node4-1,node7-4,-5,True,False,6
13,node4-1,node7-4,-5,True,False,6
14,node4-1,node7-4,-5,True,False,7
15,node4-1,node7-4,-5,True,False,7
16,node4-1,node7-4,-5,True,False,7
17,node4-1,node7-4,-5,True,False,6
18,node4-1,node7-4,-5,True,False,7
19,node4-1,node7-4,-5,True,False,7
20,node4-1,node7-4,-5,True,False,7
21,node4-1,node7-4,-5,True,False,5
22,node4-1,node7-4,-5,True,False,7
23,node4-1,node7-4,-5,True,False,3
24,node4-1,node7-4,-5,True,False,6
25,node4-1,node7-4,-5,True,False,8
26,node4-1,node7-4,-5,True,False,6
27,node4-1,node7-4,-5,True,False,7
28,node4-1,node7-4,-5,True,False,8
29,node4-1,node7-4,-5,True,False,7
30,node4-1,node7-4,-5,True,False,7
31,node4-1,node7-4,-5,True,False,8
32,node4-1,node7-4,-5,True,False,6
33,node4-1,node7-4,-5,True,False,6
34,node4-1,node7-4,-5,True,False,7
35,node4-1,node7-4,-5,True,False,8
36,node4-1,node7-4,-5,True,False,7
37,node4-1,node7-4,-5,True,False,7
38,node4-1,node7-4,-5,True,False,5
39,node4-1,node7-4,-5,True,False,6
40,node4-1,node7-4,-5,True,False,7
41,node4-1,node7-4,-5,True,False,7
42,node4-1,node7-4,-5,True,False,7
43,node4-1,node7-4,-5,True,False,6
44,node4-1,node7-4,-5,True,False,7
45,node4-1,node7-4,-5,True,False,7
46,node4-1,node7-4,-5,True,False,5
47,node4-1,node7-4,-5,True,False,7
48,node4-1,node7-4,-5,True,False,7
49,node4-1,node7-4,-5,True,False,7
50,node4-1,node7-4,-5,True,False,6
51,node4-1,node7-4,-5,True,False,8
52,node4-1,node7-4,-5,True,False,8
53,node4-1,node7-4,-5,True,False,7
54,node4-1,node7-4,-5,True,False,4
55,node4-1,node7-4,-5,True,False,3
56,node4-1,node7-4,-5,True,False,6
57,node4-1,node7-4,-5,True,False,6
58,node4-1,node7-4,-5,True,False,7
59,node4-1,node7-4,-5,True,False,6
60,node4-1,node7-4,-5,True,False,8
61,node4-1,node7-4,-5,True,False,7
62,node4-1,node7-4,-5,True,False,7
63,node4-1,node7-4,-5,True,False,8
64,node4-1,node7-4,-5,True,False,8
65,node4-1,node7-4,-5,True,False,6
66,node4-1,node7-4,-5,True,False,5
