seq,src,dst,noise,received,error,rssi
1,node2-1,node4-5,-10,True,False,20
2,node2-1,node4-5,-10,True,False,18
3,node2-1,node4-5,-10,True,False,16
4,node2-1,node4-5,-10,True,False,16
5,node2-1,node4-5,-10,True,False,16
6,node2-1,node4-5,-10,True,False,14
7,node2-1,node4-5,-10,True,False,14
8,node2-1,node4-5,-10,True,False,15
9,node2-1,node4-5,-10,True,False,15
10,node2-1,node4-5,-10,True,False,14
11,node2-1,node4-5,-10,True,False,14
12,node2-1,node4-5,-10,True,False,15
13,node2-1,node4-5,-10,True,False,16
14,node2-1,node4-5,-10,True,False,16
15,node2-1,node4-5,-10,True,False,15
16,node2-1,node4-5,-10,True,False,13
17,node2-1,node4-5,-10,True,False,15
18,node2-1,node4-5,-10,True,False,15
19,node2-1,node4-5,-10,True,False,15
20,node2-1,node4-5,-10,True,False,15
21,node2-1,node4-5,-10,True,False,15
22,node2-1,node4-5,-10,True,False,14
23,node2-1,node4-5,-10,True,False,16
24,node2-1,node4-5,-10,True,False,16
25,node2-1,node4-5,-10,True,False,15
26,node2-1,node4-5,-10,True,False,13
27,node2-1,node4-5,-10,True,False,16
28,node2-1,node4-5,-10,True,False,15
29,node2-1,node4-5,-10,True,False,13
30,node2-1,node4-5,-10,True,False,15
31,node2-1,node4-5,-10,True,False,14
32,node2-1,node4-5,-10,True,False,13
33,node2-1,node4-5,-10,True,False,12
34,node2-1,node4-5,-10,True,False,16
35,node2-1,node4-5,-10,True,False,15
36,node2-1,node4-5,-10,True,False,12
37,node2-1,node4-5,-10,True,False,13
38,node2-1,node4-5,-10,True,False,15
39,node2-1,node4-5,-10,True,False,14
40,node2-1,node4-5,-10,True,False,16
41,node2-1,node4-5,-10,True,False,15
42,node2-1,node4-5,-10,True,False,15
43,node2-1,node4-5,-10,True,False,15
44,node2-1,node4-5,-10,True,False,15
45,node2-1,node4-5,-10,True,False,16
46,node2-1,node4-5,-10,True,False,15
47,node2-1,node4-5,-10,True,False,16
48,node2-1,node4-5,-10,True,False,15
49,node2-1,node4-5,-10,True,False,15
50,node2-1,node4-5,-10,True,False,14
51,node2-1,node4-5,-10,True,False,16
52,node2-1,node4-5,-10,True,False,14
53,node2-1,node4-5,-10,True,False,15
54,node2-1,node4-5,-10,True,False,13
55,node2-1,node4-5,-10,True,False,12
56,node2-1,node4-5,-10,True,False,15
57,node2-1,node4-5,-10,True,False,15
58,node2-1,node4-5,-10,True,False,15
59,node2-1,node4-5,-10,True,False,12
60,node2-1,node4-5,-10,True,False,14
61,node2-1,node4-5,-10,True,False,15
62,node2-1,node4-5,-10,True,False,15
63,node2-1,node4-5,-10,True,False,14
64,node2-1,node4-5,-10,True,False,15
65,node2-1,node4-5,-10,True,False,14
66,node2-1,node4-5,-10,True,False,16
67,node2-1,node4-5,-10,True,False,14
68,node2-1,node4-5,-10,True,False,12
69,node2-1,node4-5,-10,True,False,14
70,node2-1,node4-5,-10,True,False,15
71,node2-1,node4-5,-10,True,False,13
72,node2-1,node4-5,-10,True,False,15
73,node2-1,node4-5,-10,True,False,14
74,node2-1,node4-5,-10,True,False,15
75,node2-1,node4-5,-10,True,False,15
76,node2-1,node4-5,-10,True,False,15
77,node2-1,node4-5,-10,True,False,15
78,node2-1,node4-5,-10,True,False,15
79,node2-1,node4-5,-10,True,False,13
80,node2-1,node4-5,-10,True,False,15
81,node2-1,node4-5,-10,True,False,13
82,node2-1,node4-5,-10,True,False,15
83,node2-1,node4-5,-10,True,False,14
84,node2-1,node4-5,-10,True,False,12
85,node2-1,node4-5,-10,True,False,15
86,node2-1,node4-5,-10,True,False,15
87,node2-1,node4-5,-10,True,False,15
88,node2-1,node4-5,-10,True,False,15
89,node2-1,node4-5,-10,True,False,15
90,node2-1,node4-5,-10,True,False,12
91,node2-1,node4-5,-10,True,False,13
92,node2-1,node4-5,-10,True,False,16
93,node2-1,node4-5,-10,True,False,14
94,node2-1,node4-5,-10,True,False,13
95,node2-1,node4-5,-10,True,False,15
96,node2-1,node4-5,-10,True,False,13
97,node2-1,node4-5,-10,True,False,14
98,node2-1,node4-5,-10,True,False,15
99,node2-1,node4-5,-10,True,False,13
100,node2-1,node4-5,-10,True,False,15
101,node2-1,node4-5,-10,True,False,15
