seq,src,dst,noise,received,error,rssi
1,node5-8,node7-4,-10,True,False,11
2,node5-8,node7-4,-10,True,False,11
3,node5-8,node7-4,-10,True,False,9
4,node5-8,node7-4,-10,True,False,9
5,node5-8,node7-4,-10,True,False,9
6,node5-8,node7-4,-10,True,False,9
7,node5-8,node7-4,-10,True,False,10
8,node5-8,node7-4,-10,True,False,10
9,node5-8,node7-4,-10,True,False,8
10,node5-8,node7-4,-10,True,False,7
11,node5-8,node7-4,-10,True,False,8
12,node5-8,node7-4,-10,True,False,10
13,node5-8,node7-4,-10,True,False,9
14,node5-8,node7-4,-10,True,False,9
15,node5-8,node7-4,-10,True,False,9
16,node5-8,node7-4,-10,True,False,9
17,node5-8,node7-4,-10,True,False,7
18,node5-8,node7-4,-10,True,False,7
19,node5-8,node7-4,-10,True,False,10
20,node5-8,node7-4,-10,True,False,9
21,node5-8,node7-4,-10,True,False,9
22,node5-8,node7-4,-10,True,False,9
23,node5-8,node7-4,-10,True,False,9
24,node5-8,node7-4,-10,True,False,10
25,node5-8,node7-4,-10,True,False,9
26,node5-8,node7-4,-10,True,False,9
27,node5-8,node7-4,-10,True,False,8
28,node5-8,node7-4,-10,True,False,9
29,node5-8,node7-4,-10,True,False,8
30,node5-8,node7-4,-10,True,False,10
31,node5-8,node7-4,-10,True,False,7
32,node5-8,node7-4,-10,True,False,9
33,node5-8,node7-4,-10,True,False,10
34,node5-8,node7-4,-10,True,False,9
35,node5-8,node7-4,-10,True,False,10
36,node5-8,node7-4,-10,True,False,10
37,node5-8,node7-4,-10,True,False,10
38,node5-8,node7-4,-10,True,False,9
39,node5-8,node7-4,-10,True,False,10
40,node5-8,node7-4,-10,True,False,9
41,node5-8,node7-4,-10,True,False,9
42,node5-8,node7-4,-10,True,False,11
43,node5-8,node7-4,-10,True,False,9
44,node5-8,node7-4,-10,True,False,10
45,node5-8,node7-4,-10,True,False,9
46,node5-8,node7-4,-10,True,False,9
47,node5-8,node7-4,-10,True,False,8
48,node5-8,node7-4,-10,True,False,8
49,node5-8,node7-4,-10,True,False,9
50,node5-8,node7-4,-10,True,False,7
51,node5-8,node7-4,-10,True,False,7
52,node5-8,node7-4,-10,True,False,9
53,node5-8,node7-4,-10,True,False,9
54,node5-8,node7-4,-10,True,False,9
55,node5-8,node7-4,-10,True,False,9
56,node5-8,node7-4,-10,True,False,8
57,node5-8,node7-4,-10,True,False,9
58,node5-8,node7-4,-10,True,False,9
59,node5-8,node7-4,-10,True,False,9
60,node5-8,node7-4,-10,True,False,9
61,node5-8,node7-4,-10,True,False,8
62,node5-8,node7-4,-10,True,False,9
63,node5-8,node7-4,-10,True,False,9
64,node5-8,node7-4,-10,True,False,9
65,node5-8,node7-4,-10,True,False,9
66,node5-8,node7-4,-10,True,False,8
67,node5-8,node7-4,-10,True,False,9
68,node5-8,node7-4,-10,True,False,10
69,node5-8,node7-4,-10,True,False,10
70,node5-8,node7-4,-10,True,False,10
71,node5-8,node7-4,-10,True,False,9
72,node5-8,node7-4,-10,True,False,9
73,node5-8,node7-4,-10,True,False,9
74,node5-8,node7-4,-10,True,False,6
75,node5-8,node7-4,-10,True,False,11
76,node5-8,node7-4,-10,True,False,10
77,node5-8,node7-4,-10,True,False,9
78,node5-8,node7-4,-10,True,False,9
79,node5-8,node7-4,-10,True,False,8
80,node5-8,node7-4,-10,True,False,9
81,node5-8,node7-4,-10,True,False,8
82,node5-8,node7-4,-10,True,False,7
83,node5-8,node7-4,-10,True,False,6
84,node5-8,node7-4,-10,True,False,9
85,node5-8,node7-4,-10,True,False,10
86,node5-8,node7-4,-10,True,False,8
87,node5-8,node7-4,-10,True,False,8
88,node5-8,node7-4,-10,True,False,8
89,node5-8,node7-4,-10,True,False,10
90,node5-8,node7-4,-10,True,False,9
91,node5-8,node7-4,-10,True,False,8
92,node5-8,node7-4,-10,True,False,10
93,node5-8,node7-4,-10,True,False,8
94,node5-8,node7-4,-10,True,False,7
95,node5-8,node7-4,-10,True,False,6
96,node5-8,node7-4,-10,True,False,8
97,node5-8,node7-4,-10,True,False,10
98,node5-8,node7-4,-10,True,False,10
99,node5-8,node7-4,-10,True,False,8
100,node5-8,node7-4,-10,True,False,8
101,node5-8,node7-4,-10,True,False,9
102,node5-8,node7-4,-10,True,False,8
103,node5-8,node7-4,-10,True,False,8
104,node5-8,node7-4,-10,True,False,9
105,node5-8,node7-4,-10,True,False,7
106,node5-8,node7-4,-10,True,False,9
107,node5-8,node7-4,-10,True,False,9
108,node5-8,node7-4,-10,True,False,8
109,node5-8,node7-4,-10,True,False,8
110,node5-8,node7-4,-10,True,False,8
111,node5-8,node7-4,-10,True,False,10
112,node5-8,node7-4,-10,True,False,9
113,node5-8,node7-4,-10,True,False,8
114,node5-8,node7-4,-10,True,False,8
115,node5-8,node7-4,-10,True,False,8
116,node5-8,node7-4,-10,True,False,8
117,node5-8,node7-4,-10,True,False,9
118,node5-8,node7-4,-10,True,False,9
119,node5-8,node7-4,-10,True,False,8
120,node5-8,node7-4,-10,True,False,10
121,node5-8,node7-4,-10,True,False,11
122,node5-8,node7-4,-10,True,False,9
123,node5-8,node7-4,-10,True,False,9
124,node5-8,node7-4,-10,True,False,9
125,node5-8,node7-4,-10,True,False,8
126,node5-8,node7-4,-10,True,False,9
127,node5-8,node7-4,-10,True,False,9
128,node5-8,node7-4,-10,True,False,9
129,node5-8,node7-4,-10,True,False,9
130,node5-8,node7-4,-10,True,False,10
131,node5-8,node7-4,-10,True,False,9
132,node5-8,node7-4,-10,True,False,9
133,node5-8,node7-4,-10,True,False,9
134,node5-8,node7-4,-10,True,False,9
135,node5-8,node7-4,-10,True,False,9
136,node5-8,node7-4,-10,True,False,10
137,node5-8,node7-4,-10,True,False,7
138,node5-8,node7-4,-10,True,False,9
139,node5-8,node7-4,-10,True,False,6
140,node5-8,node7-4,-10,True,False,8
141,node5-8,node7-4,-10,True,False,8
142,node5-8,node7-4,-10,True,False,10
143,node5-8,node7-4,-10,True,False,9
144,node5-8,node7-4,-10,True,False,7
145,node5-8,node7-4,-10,True,False,8
146,node5-8,node7-4,-10,True,False,9
147,node5-8,node7-4,-10,True,False,9
148,node5-8,node7-4,-10,True,False,8
149,node5-8,node7-4,-10,True,False,9
150,node5-8,node7-4,-10,True,False,8
151,node5-8,node7-4,-10,True,False,9
152,node5-8,node7-4,-10,True,False,9
153,node5-8,node7-4,-10,True,False,8
154,node5-8,node7-4,-10,True,False,10
155,node5-8,node7-4,-10,True,False,8
156,node5-8,node7-4,-10,True,False,10
157,node5-8,node7-4,-10,True,False,9
158,node5-8,node7-4,-10,True,False,9
159,node5-8,node7-4,-10,True,False,9
