seq,src,dst,noise,received,error,rssi
1,node4-1,node5-2,-20,True,False,33
2,node4-1,node5-2,-20,True,False,30
3,node4-1,node5-2,-20,True,False,27
4,node4-1,node5-2,-20,True,False,25
5,node4-1,node5-2,-20,True,False,26
6,node4-1,node5-2,-20,True,False,25
7,node4-1,node5-2,-20,True,False,26
8,node4-1,node5-2,-20,True,False,26
9,node4-1,node5-2,-20,True,False,25
10,node4-1,node5-2,-20,True,False,26
11,node4-1,node5-2,-20,True,False,25
12,node4-1,node5-2,-20,True,False,26
13,node4-1,node5-2,-20,True,False,25
14,node4-1,node5-2,-20,True,False,25
15,node4-1,node5-2,-20,True,False,26
16,node4-1,node5-2,-20,True,False,27
17,node4-1,node5-2,-20,True,False,26
18,node4-1,node5-2,-20,True,False,26
19,node4-1,node5-2,-20,True,False,26
20,node4-1,node5-2,-20,True,False,26
21,node4-1,node5-2,-20,True,False,26
22,node4-1,node5-2,-20,True,False,26
23,node4-1,node5-2,-20,True,False,26
24,node4-1,node5-2,-20,True,False,25
25,node4-1,node5-2,-20,True,False,26
26,node4-1,node5-2,-20,True,False,26
27,node4-1,node5-2,-20,True,False,26
28,node4-1,node5-2,-20,True,False,26
29,node4-1,node5-2,-20,True,False,26
30,node4-1,node5-2,-20,True,False,26
31,node4-1,node5-2,-20,True,False,25
32,node4-1,node5-2,-20,True,False,25
33,node4-1,node5-2,-20,True,False,25
34,node4-1,node5-2,-20,True,False,26
35,node4-1,node5-2,-20,True,False,26
36,node4-1,node5-2,-20,True,False,26
37,node4-1,node5-2,-20,True,False,26
38,node4-1,node5-2,-20,True,False,26
39,node4-1,node5-2,-20,True,False,26
40,node4-1,node5-2,-20,True,False,26
41,node4-1,node5-2,-20,True,False,26
42,node4-1,node5-2,-20,True,False,26
43,node4-1,node5-2,-20,True,False,24
44,node4-1,node5-2,-20,True,False,25
45,node4-1,node5-2,-20,True,False,25
46,node4-1,node5-2,-20,True,False,26
47,node4-1,node5-2,-20,True,False,26
48,node4-1,node5-2,-20,True,False,26
49,node4-1,node5-2,-20,True,False,26
50,node4-1,node5-2,-20,True,False,25
51,node4-1,node5-2,-20,True,False,26
52,node4-1,node5-2,-20,True,False,25
53,node4-1,node5-2,-20,True,False,25
54,node4-1,node5-2,-20,True,False,25
55,node4-1,node5-2,-20,True,False,26
56,node4-1,node5-2,-20,True,False,25
