seq,src,dst,noise,received,error,rssi
1,node1-4,node3-2,-5,True,False,8
2,node1-4,node3-2,-5,True,False,6
3,node1-4,node3-2,-5,True,False,2
4,node1-4,node3-2,-5,True,False,4
5,node1-4,node3-2,-5,True,False,5
6,node1-4,node3-2,-5,True,False,3
7,node1-4,node3-2,-5,True,False,6
8,node1-4,node3-2,-5,True,False,5
9,node1-4,node3-2,-5,True,False,5
10,node1-4,node3-2,-5,True,False,4
11,node1-4,node3-2,-5,True,False,5
12,node1-4,node3-2,-5,True,False,5
13,node1-4,node3-2,-5,True,False,2
14,node1-4,node3-2,-5,True,False,5
15,node1-4,node3-2,-5,True,False,6
16,node1-4,node3-2,-5,True,False,5
17,node1-4,node3-2,-5,True,False,4
18,node1-4,node3-2,-5,True,False,6
19,node1-4,node3-2,-5,True,False,5
20,node1-4,node3-2,-5,True,False,7
21,node1-4,node3-2,-5,True,False,4
22,node1-4,node3-2,-5,True,False,7
23,node1-4,node3-2,-5,True,False,6
24,node1-4,node3-2,-5,True,False,5
25,node1-4,node3-2,-5,True,False,6
26,node1-4,node3-2,-5,True,False,6
27,node1-4,node3-2,-5,True,False,5
28,node1-4,node3-2,-5,True,False,5
29,node1-4,node3-2,-5,True,False,5
30,node1-4,node3-2,-5,True,False,5
31,node1-4,node3-2,-5,True,False,3
32,node1-4,node3-2,-5,True,False,4
33,node1-4,node3-2,-5,True,False,5
34,node1-4,node3-2,-5,True,False,5
35,node1-4,node3-2,-5,True,False,4
36,node1-4,node3-2,-5,True,False,4
37,node1-4,node3-2,-5,True,False,4
38,node1-4,node3-2,-5,True,False,5
39,node1-4,node3-2,-5,True,False,4
40,node1-4,node3-2,-5,True,False,4
41,node1-4,node3-2,-5,True,False,4
42,node1-4,node3-2,-5,True,False,4
43,node1-4,node3-2,-5,True,False,4
44,node1-4,node3-2,-5,True,False,2
45,node1-4,node3-2,-5,True,False,4
46,node1-4,node3-2,-5,True,False,3
47,node1-4,node3-2,-5,True,False,3
48,node1-4,node3-2,-5,True,False,2
49,node1-4,node3-2,-5,True,False,6
50,node1-4,node3-2,-5,True,False,5
51,node1-4,node3-2,-5,True,False,4
52,node1-4,node3-2,-5,True,False,3
53,node1-4,node3-2,-5,True,False,5
54,node1-4,node3-2,-5,True,False,5
55,node1-4,node3-2,-5,True,False,6
56,node1-4,node3-2,-5,True,False,6
57,node1-4,node3-2,-5,True,False,4
58,node1-4,node3-2,-5,True,False,3
59,node1-4,node3-2,-5,True,False,4
60,node1-4,node3-2,-5,True,False,3
61,node1-4,node3-2,-5,True,False,3
62,node1-4,node3-2,-5,True,False,2
63,node1-4,node3-2,-5,True,False,6
64,node1-4,node3-2,-5,True,False,3
65,node1-4,node3-2,-5,True,False,3
66,node1-4,node3-2,-5,True,False,5
67,node1-4,node3-2,-5,True,False,6
68,node1-4,node3-2,-5,True,False,3
69,node1-4,node3-2,-5,True,False,4
70,node1-4,node3-2,-5,True,False,6
71,node1-4,node3-2,-5,True,False,3
72,node1-4,node3-2,-5,True,False,3
73,node1-4,node3-2,-5,True,False,4
74,node1-4,node3-2,-5,True,False,6
75,node1-4,node3-2,-5,True,False,4
76,node1-4,node3-2,-5,True,False,5
77,node1-4,node3-2,-5,True,False,3
78,node1-4,node3-2,-5,True,False,5
79,node1-4,node3-2,-5,True,False,6
80,node1-4,node3-2,-5,True,False,3
81,node1-4,node3-2,-5,True,False,4
82,node1-4,node3-2,-5,True,False,5
83,node1-4,node3-2,-5,True,False,4
84,node1-4,node3-2,-5,True,False,4
85,node1-4,node3-2,-5,True,False,5
86,node1-4,node3-2,-5,True,False,5
87,node1-4,node3-2,-5,True,False,5
88,node1-4,node3-2,-5,True,False,6
89,node1-4,node3-2,-5,True,False,4
90,node1-4,node3-2,-5,True,False,4
91,node1-4,node3-2,-5,True,False,6
92,node1-4,node3-2,-5,True,False,4
93,node1-4,node3-2,-5,True,False,5
94,node1-4,node3-2,-5,True,False,3
95,node1-4,node3-2,-5,True,False,3
96,node1-4,node3-2,-5,True,False,4
97,node1-4,node3-2,-5,True,False,8
98,node1-4,node3-2,-5,True,False,3
99,node1-4,node3-2,-5,True,False,5
100,node1-4,node3-2,-5,True,False,5
101,node1-4,node3-2,-5,True,False,3
102,node1-4,node3-2,-5,True,False,5
103,node1-4,node3-2,-5,True,False,6
104,node1-4,node3-2,-5,True,False,5
105,node1-4,node3-2,-5,True,False,3
106,node1-4,node3-2,-5,True,False,3
107,node1-4,node3-2,-5,True,False,4
108,node1-4,node3-2,-5,True,False,3
109,node1-4,node3-2,-5,True,False,6
110,node1-4,node3-2,-5,True,False,4
111,node1-4,node3-2,-5,True,False,5
112,node1-4,node3-2,-5,True,False,5
113,node1-4,node3-2,-5,True,False,4
114,node1-4,node3-2,-5,True,False,4
115,node1-4,node3-2,-5,True,False,3
116,node1-4,node3-2,-5,True,False,5
117,node1-4,node3-2,-5,True,False,3
118,node1-4,node3-2,-5,True,False,2
119,node1-4,node3-2,-5,True,False,5
120,node1-4,node3-2,-5,True,False,4
121,node1-4,node3-2,-5,True,False,3
122,node1-4,node3-2,-5,True,False,4
123,node1-4,node3-2,-5,True,False,5
124,node1-4,node3-2,-5,True,False,4
125,node1-4,node3-2,-5,True,False,4
126,node1-4,node3-2,-5,True,False,4
127,node1-4,node3-2,-5,True,False,5
128,node1-4,node3-2,-5,True,False,5
129,node1-4,node3-2,-5,True,False,6
130,node1-4,node3-2,-5,True,False,3
131,node1-4,node3-2,-5,True,False,5
132,node1-4,node3-2,-5,True,False,3
133,node1-4,node3-2,-5,True,False,5
134,node1-4,node3-2,-5,True,False,6
135,node1-4,node3-2,-5,True,False,5
136,node1-4,node3-2,-5,True,False,5
137,node1-4,node3-2,-5,True,False,5
138,node1-4,node3-2,-5,True,False,5
139,node1-4,node3-2,-5,True,False,6
140,node1-4,node3-2,-5,True,False,5
141,node1-4,node3-2,-5,True,False,3
142,node1-4,node3-2,-5,True,False,5
143,node1-4,node3-2,-5,True,False,3
144,node1-4,node3-2,-5,True,False,5
145,node1-4,node3-2,-5,True,False,5
146,node1-4,node3-2,-5,True,False,4
147,node1-4,node3-2,-5,True,False,4
148,node1-4,node3-2,-5,True,False,3
149,node1-4,node3-2,-5,True,False,5
150,node1-4,node3-2,-5,True,False,4
151,node1-4,node3-2,-5,True,False,5
152,node1-4,node3-2,-5,True,False,4
153,node1-4,node3-2,-5,True,False,4
154,node1-4,node3-2,-5,True,False,4
155,node1-4,node3-2,-5,True,False,5
156,node1-4,node3-2,-5,True,False,4
157,node1-4,node3-2,-5,True,False,3
158,node1-4,node3-2,-5,True,False,3
159,node1-4,node3-2,-5,True,False,5
160,node1-4,node3-2,-5,True,False,7
161,node1-4,node3-2,-5,True,False,3
162,node1-4,node3-2,-5,True,False,6
163,node1-4,node3-2,-5,True,False,7
164,node1-4,node3-2,-5,True,False,5
165,node1-4,node3-2,-5,True,False,3
166,node1-4,node3-2,-5,True,False,5
167,node1-4,node3-2,-5,True,False,3
168,node1-4,node3-2,-5,True,False,5
169,node1-4,node3-2,-5,True,False,4
170,node1-4,node3-2,-5,True,False,3
171,node1-4,node3-2,-5,True,False,5
172,node1-4,node3-2,-5,True,False,4
173,node1-4,node3-2,-5,True,False,3
174,node1-4,node3-2,-5,True,False,5
175,node1-4,node3-2,-5,True,False,6
176,node1-4,node3-2,-5,True,False,6
177,node1-4,node3-2,-5,True,False,4
178,node1-4,node3-2,-5,True,False,6
179,node1-4,node3-2,-5,True,False,6
180,node1-4,node3-2,-5,True,False,4
181,node1-4,node3-2,-5,True,False,4
182,node1-4,node3-2,-5,True,False,6
183,node1-4,node3-2,-5,True,False,6
184,node1-4,node3-2,-5,True,False,4
185,node1-4,node3-2,-5,True,False,3
186,node1-4,node3-2,-5,True,False,2
187,node1-4,node3-2,-5,True,False,3
188,node1-4,node3-2,-5,True,False,6
189,node1-4,node3-2,-5,True,False,6
190,node1-4,node3-2,-5,True,False,4
191,node1-4,node3-2,-5,True,False,6
192,node1-4,node3-2,-5,True,False,3
193,node1-4,node3-2,-5,True,False,5
194,node1-4,node3-2,-5,True,False,4
195,node1-4,node3-2,-5,True,False,4
196,node1-4,node3-2,-5,True,False,4
197,node1-4,node3-2,-5,True,False,3
198,node1-4,node3-2,-5,True,False,3
199,node1-4,node3-2,-5,True,False,3
200,node1-4,node3-2,-5,True,False,5
201,node1-4,node3-2,-5,True,False,6
202,node1-4,node3-2,-5,True,False,4
203,node1-4,node3-2,-5,True,False,3
204,node1-4,node3-2,-5,True,False,3
205,node1-4,node3-2,-5,True,False,3
206,node1-4,node3-2,-5,True,False,3
207,node1-4,node3-2,-5,True,False,3
208,node1-4,node3-2,-5,True,False,4
209,node1-4,node3-2,-5,True,False,5
210,node1-4,node3-2,-5,True,False,4
211,node1-4,node3-2,-5,True,False,7
212,node1-4,node3-2,-5,True,False,6
213,node1-4,node3-2,-5,True,False,3
214,node1-4,node3-2,-5,True,False,3
215,node1-4,node3-2,-5,True,False,3
216,node1-4,node3-2,-5,True,False,2
217,node1-4,node3-2,-5,True,False,4
218,node1-4,node3-2,-5,True,False,6
219,node1-4,node3-2,-5,True,False,7
220,node1-4,node3-2,-5,True,False,4
221,node1-4,node3-2,-5,True,False,3
222,node1-4,node3-2,-5,True,False,4
223,node1-4,node3-2,-5,True,False,3
224,node1-4,node3-2,-5,True,False,4
225,node1-4,node3-2,-5,True,False,3
226,node1-4,node3-2,-5,True,False,4
227,node1-4,node3-2,-5,True,False,5
228,node1-4,node3-2,-5,True,False,4
229,node1-4,node3-2,-5,True,False,5
230,node1-4,node3-2,-5,True,False,4
231,node1-4,node3-2,-5,True,False,3
232,node1-4,node3-2,-5,True,False,5
233,node1-4,node3-2,-5,True,False,6
234,node1-4,node3-2,-5,True,False,6
235,node1-4,node3-2,-5,True,False,5
236,node1-4,node3-2,-5,True,False,6
237,node1-4,node3-2,-5,True,False,4
238,node1-4,node3-2,-5,True,False,4
239,node1-4,node3-2,-5,True,False,5
240,node1-4,node3-2,-5,True,False,4
241,node1-4,node3-2,-5,True,False,6
242,node1-4,node3-2,-5,True,False,6
243,node1-4,node3-2,-5,True,False,4
244,node1-4,node3-2,-5,True,False,6
245,node1-4,node3-2,-5,True,False,5
246,node1-4,node3-2,-5,True,False,4
247,node1-4,node3-2,-5,True,False,3
248,node1-4,node3-2,-5,True,False,4
249,node1-4,node3-2,-5,True,False,3
250,node1-4,node3-2,-5,True,False,2
251,node1-4,node3-2,-5,True,False,5
252,node1-4,node3-2,-5,True,False,5
253,node1-4,node3-2,-5,True,False,3
254,node1-4,node3-2,-5,True,False,2
255,node1-4,node3-2,-5,True,False,2
256,node1-4,node3-2,-5,True,False,3
257,node1-4,node3-2,-5,True,False,6
258,node1-4,node3-2,-5,True,False,5
259,node1-4,node3-2,-5,True,False,5
260,node1-4,node3-2,-5,True,False,4
261,node1-4,node3-2,-5,True,False,4
262,node1-4,node3-2,-5,True,False,5
263,node1-4,node3-2,-5,True,False,3
264,node1-4,node3-2,-5,True,False,4
265,node1-4,node3-2,-5,True,False,6
266,node1-4,node3-2,-5,True,False,4
267,node1-4,node3-2,-5,True,False,6
268,node1-4,node3-2,-5,True,False,2
269,node1-4,node3-2,-5,True,False,4
270,node1-4,node3-2,-5,True,False,5
271,node1-4,node3-2,-5,True,False,4
272,node1-4,node3-2,-5,True,False,6
273,node1-4,node3-2,-5,True,False,3
274,node1-4,node3-2,-5,True,False,6
275,node1-4,node3-2,-5,True,False,5
276,node1-4,node3-2,-5,True,False,3
277,node1-4,node3-2,-5,True,False,6
278,node1-4,node3-2,-5,True,False,5
279,node1-4,node3-2,-5,True,False,3
280,node1-4,node3-2,-5,True,False,6
281,node1-4,node3-2,-5,True,False,5
282,node1-4,node3-2,-5,True,False,6
283,node1-4,node3-2,-5,True,False,5
284,node1-4,node3-2,-5,True,False,4
285,node1-4,node3-2,-5,True,False,5
286,node1-4,node3-2,-5,True,False,4
287,node1-4,node3-2,-5,True,False,4
288,node1-4,node3-2,-5,True,False,4
289,node1-4,node3-2,-5,True,False,6
290,node1-4,node3-2,-5,True,False,6
291,node1-4,node3-2,-5,True,False,5
292,node1-4,node3-2,-5,True,False,5
293,node1-4,node3-2,-5,True,False,3
294,node1-4,node3-2,-5,True,False,4
295,node1-4,node3-2,-5,True,False,5
296,node1-4,node3-2,-5,True,False,1
297,node1-4,node3-2,-5,True,False,5
298,node1-4,node3-2,-5,True,False,4
299,node1-4,node3-2,-5,True,False,4
300,node1-4,node3-2,-5,True,False,7
