seq,src,dst,noise,received,error,rssi
1,node5-2,node1-6,-20,True,False,14
2,node5-2,node1-6,-20,True,False,11
3,node5-2,node1-6,-20,True,False,10
4,node5-2,node1-6,-20,True,False,7
5,node5-2,node1-6,-20,True,False,9
6,node5-2,node1-6,-20,True,False,8
7,node5-2,node1-6,-20,True,False,8
8,node5-2,node1-6,-20,True,False,8
9,node5-2,node1-6,-20,True,False,8
10,node5-2,node1-6,-20,True,False,8
11,node5-2,node1-6,-20,True,False,8
12,node5-2,node1-6,-20,True,False,10
13,node5-2,node1-6,-20,True,False,8
14,node5-2,node1-6,-20,True,False,9
15,node5-2,node1-6,-20,True,False,8
16,node5-2,node1-6,-20,True,False,9
17,node5-2,node1-6,-20,True,False,8
18,node5-2,node1-6,-20,True,False,8
19,node5-2,node1-6,-20,True,False,9
20,node5-2,node1-6,-20,True,False,8
21,node5-2,node1-6,-20,True,False,10
22,node5-2,node1-6,-20,True,False,8
23,node5-2,node1-6,-20,True,False,9
24,node5-2,node1-6,-20,True,False,8
25,node5-2,node1-6,-20,True,False,9
26,node5-2,node1-6,-20,True,False,7
27,node5-2,node1-6,-20,True,False,8
28,node5-2,node1-6,-20,True,False,9
29,node5-2,node1-6,-20,True,False,10
30,node5-2,node1-6,-20,True,False,8
31,node5-2,node1-6,-20,True,False,9
32,node5-2,node1-6,-20,True,False,8
33,node5-2,node1-6,-20,True,False,8
34,node5-2,node1-6,-20,True,False,8
35,node5-2,node1-6,-20,True,False,8
36,node5-2,node1-6,-20,True,False,9
37,node5-2,node1-6,-20,True,False,8
38,node5-2,node1-6,-20,True,False,9
39,node5-2,node1-6,-20,True,False,8
40,node5-2,node1-6,-20,True,False,9
41,node5-2,node1-6,-20,True,False,9
42,node5-2,node1-6,-20,True,False,10
43,node5-2,node1-6,-20,True,False,9
44,node5-2,node1-6,-20,True,False,8
45,node5-2,node1-6,-20,True,False,8
46,node5-2,node1-6,-20,True,False,8
47,node5-2,node1-6,-20,True,False,8
48,node5-2,node1-6,-20,True,False,7
49,node5-2,node1-6,-20,True,False,8
50,node5-2,node1-6,-20,True,False,8
51,node5-2,node1-6,-20,True,False,8
52,node5-2,node1-6,-20,True,False,9
53,node5-2,node1-6,-20,True,False,8
54,node5-2,node1-6,-20,True,False,8
55,node5-2,node1-6,-20,True,False,6
56,node5-2,node1-6,-20,True,False,9
57,node5-2,node1-6,-20,True,False,9
58,node5-2,node1-6,-20,True,False,9
59,node5-2,node1-6,-20,True,False,8
60,node5-2,node1-6,-20,True,False,9
61,node5-2,node1-6,-20,True,False,8
62,node5-2,node1-6,-20,True,False,7
63,node5-2,node1-6,-20,True,False,9
64,node5-2,node1-6,-20,True,False,8
65,node5-2,node1-6,-20,True,False,9
66,node5-2,node1-6,-20,True,False,9
67,node5-2,node1-6,-20,True,False,8
68,node5-2,node1-6,-20,True,False,8
69,node5-2,node1-6,-20,True,False,10
70,node5-2,node1-6,-20,True,False,7
71,node5-2,node1-6,-20,True,False,9
72,node5-2,node1-6,-20,True,False,8
73,node5-2,node1-6,-20,True,False,8
74,node5-2,node1-6,-20,True,False,7
75,node5-2,node1-6,-20,True,False,9
76,node5-2,node1-6,-20,True,False,9
77,node5-2,node1-6,-20,True,False,10
78,node5-2,node1-6,-20,True,False,8
79,node5-2,node1-6,-20,True,False,9
80,node5-2,node1-6,-20,True,False,8
81,node5-2,node1-6,-20,True,False,6
82,node5-2,node1-6,-20,True,False,8
83,node5-2,node1-6,-20,True,False,8
84,node5-2,node1-6,-20,True,False,9
85,node5-2,node1-6,-20,True,False,9
86,node5-2,node1-6,-20,True,False,8
87,node5-2,node1-6,-20,True,False,7
88,node5-2,node1-6,-20,True,False,8
89,node5-2,node1-6,-20,True,False,7
90,node5-2,node1-6,-20,True,False,8
91,node5-2,node1-6,-20,True,False,8
92,node5-2,node1-6,-20,True,False,9
93,node5-2,node1-6,-20,True,False,10
94,node5-2,node1-6,-20,True,False,9
95,node5-2,node1-6,-20,True,False,9
96,node5-2,node1-6,-20,True,False,10
97,node5-2,node1-6,-20,True,False,9
98,node5-2,node1-6,-20,True,False,8
99,node5-2,node1-6,-20,True,False,8
100,node5-2,node1-6,-20,True,False,8
101,node5-2,node1-6,-20,True,False,8
102,node5-2,node1-6,-20,True,False,8
103,node5-2,node1-6,-20,True,False,8
104,node5-2,node1-6,-20,True,False,9
105,node5-2,node1-6,-20,True,False,10
106,node5-2,node1-6,-20,True,False,8
107,node5-2,node1-6,-20,True,False,9
108,node5-2,node1-6,-20,True,False,8
109,node5-2,node1-6,-20,True,False,9
110,node5-2,node1-6,-20,True,False,7
111,node5-2,node1-6,-20,True,False,8
112,node5-2,node1-6,-20,True,False,9
113,node5-2,node1-6,-20,True,False,7
114,node5-2,node1-6,-20,True,False,7
115,node5-2,node1-6,-20,True,False,9
116,node5-2,node1-6,-20,True,False,9
117,node5-2,node1-6,-20,True,False,8
118,node5-2,node1-6,-20,True,False,8
119,node5-2,node1-6,-20,True,False,8
120,node5-2,node1-6,-20,True,False,8
121,node5-2,node1-6,-20,True,False,10
122,node5-2,node1-6,-20,True,False,9
123,node5-2,node1-6,-20,True,False,10
124,node5-2,node1-6,-20,True,False,7
125,node5-2,node1-6,-20,True,False,9
126,node5-2,node1-6,-20,True,False,9
127,node5-2,node1-6,-20,True,False,7
128,node5-2,node1-6,-20,True,False,8
129,node5-2,node1-6,-20,True,False,9
130,node5-2,node1-6,-20,True,False,9
131,node5-2,node1-6,-20,True,False,8
132,node5-2,node1-6,-20,True,False,7
133,node5-2,node1-6,-20,True,False,6
134,node5-2,node1-6,-20,True,False,9
135,node5-2,node1-6,-20,True,False,7
136,node5-2,node1-6,-20,True,False,9
137,node5-2,node1-6,-20,True,False,8
138,node5-2,node1-6,-20,True,False,9
139,node5-2,node1-6,-20,True,False,8
140,node5-2,node1-6,-20,True,False,9
141,node5-2,node1-6,-20,True,False,9
142,node5-2,node1-6,-20,True,False,7
143,node5-2,node1-6,-20,True,False,8
144,node5-2,node1-6,-20,True,False,8
145,node5-2,node1-6,-20,True,False,8
146,node5-2,node1-6,-20,True,False,8
147,node5-2,node1-6,-20,True,False,9
148,node5-2,node1-6,-20,True,False,9
149,node5-2,node1-6,-20,True,False,9
150,node5-2,node1-6,-20,True,False,10
151,node5-2,node1-6,-20,True,False,9
152,node5-2,node1-6,-20,True,False,9
153,node5-2,node1-6,-20,True,False,9
154,node5-2,node1-6,-20,True,False,8
155,node5-2,node1-6,-20,True,False,8
156,node5-2,node1-6,-20,True,False,10
157,node5-2,node1-6,-20,True,False,8
158,node5-2,node1-6,-20,True,False,8
159,node5-2,node1-6,-20,True,False,9
160,node5-2,node1-6,-20,True,False,9
161,node5-2,node1-6,-20,True,False,8
162,node5-2,node1-6,-20,True,False,7
163,node5-2,node1-6,-20,True,False,9
164,node5-2,node1-6,-20,True,False,9
165,node5-2,node1-6,-20,True,False,10
166,node5-2,node1-6,-20,True,False,9
167,node5-2,node1-6,-20,True,False,9
168,node5-2,node1-6,-20,True,False,9
169,node5-2,node1-6,-20,True,False,9
170,node5-2,node1-6,-20,True,False,8
171,node5-2,node1-6,-20,True,False,9
172,node5-2,node1-6,-20,True,False,10
173,node5-2,node1-6,-20,True,False,9
174,node5-2,node1-6,-20,True,False,10
175,node5-2,node1-6,-20,True,False,7
176,node5-2,node1-6,-20,True,False,8
177,node5-2,node1-6,-20,True,False,9
178,node5-2,node1-6,-20,True,False,8
179,node5-2,node1-6,-20,True,False,8
180,node5-2,node1-6,-20,True,False,10
181,node5-2,node1-6,-20,True,False,8
182,node5-2,node1-6,-20,True,False,8
183,node5-2,node1-6,-20,True,False,7
184,node5-2,node1-6,-20,True,False,9
185,node5-2,node1-6,-20,True,False,8
186,node5-2,node1-6,-20,True,False,8
187,node5-2,node1-6,-20,True,False,7
188,node5-2,node1-6,-20,True,False,9
189,node5-2,node1-6,-20,True,False,7
190,node5-2,node1-6,-20,True,False,9
191,node5-2,node1-6,-20,True,False,8
192,node5-2,node1-6,-20,True,False,11
193,node5-2,node1-6,-20,True,False,8
194,node5-2,node1-6,-20,True,False,8
195,node5-2,node1-6,-20,True,False,8
196,node5-2,node1-6,-20,True,False,9
197,node5-2,node1-6,-20,True,False,9
198,node5-2,node1-6,-20,True,False,7
199,node5-2,node1-6,-20,True,False,10
200,node5-2,node1-6,-20,True,False,9
201,node5-2,node1-6,-20,True,False,9
202,node5-2,node1-6,-20,True,False,9
203,node5-2,node1-6,-20,True,False,9
204,node5-2,node1-6,-20,True,False,9
205,node5-2,node1-6,-20,True,False,9
206,node5-2,node1-6,-20,True,False,8
207,node5-2,node1-6,-20,True,False,9
208,node5-2,node1-6,-20,True,False,9
209,node5-2,node1-6,-20,True,False,8
210,node5-2,node1-6,-20,True,False,9
211,node5-2,node1-6,-20,True,False,9
212,node5-2,node1-6,-20,True,False,9
213,node5-2,node1-6,-20,True,False,8
214,node5-2,node1-6,-20,True,False,9
215,node5-2,node1-6,-20,True,False,9
216,node5-2,node1-6,-20,True,False,9
217,node5-2,node1-6,-20,True,False,8
218,node5-2,node1-6,-20,True,False,9
219,node5-2,node1-6,-20,True,False,8
220,node5-2,node1-6,-20,True,False,10
221,node5-2,node1-6,-20,True,False,9
222,node5-2,node1-6,-20,True,False,8
223,node5-2,node1-6,-20,True,False,8
224,node5-2,node1-6,-20,True,False,9
225,node5-2,node1-6,-20,True,False,8
226,node5-2,node1-6,-20,True,False,9
227,node5-2,node1-6,-20,True,False,8
228,node5-2,node1-6,-20,True,False,10
229,node5-2,node1-6,-20,True,False,8
230,node5-2,node1-6,-20,True,False,9
231,node5-2,node1-6,-20,True,False,9
232,node5-2,node1-6,-20,True,False,8
233,node5-2,node1-6,-20,True,False,9
234,node5-2,node1-6,-20,True,False,7
235,node5-2,node1-6,-20,True,False,8
236,node5-2,node1-6,-20,True,False,9
237,node5-2,node1-6,-20,True,False,9
238,node5-2,node1-6,-20,True,False,9
239,node5-2,node1-6,-20,True,False,9
240,node5-2,node1-6,-20,True,False,8
241,node5-2,node1-6,-20,True,False,8
