seq,src,dst,noise,received,error,rssi
1,node3-8,node1-6,-20,True,False,14
2,node3-8,node1-6,-20,True,False,12
3,node3-8,node1-6,-20,True,False,12
4,node3-8,node1-6,-20,True,False,12
5,node3-8,node1-6,-20,True,False,11
6,node3-8,node1-6,-20,True,False,11
7,node3-8,node1-6,-20,True,False,11
8,node3-8,node1-6,-20,True,False,12
9,node3-8,node1-6,-20,True,False,13
10,node3-8,node1-6,-20,True,False,14
11,node3-8,node1-6,-20,True,False,11
12,node3-8,node1-6,-20,True,False,11
13,node3-8,node1-6,-20,True,False,11
14,node3-8,node1-6,-20,True,False,13
15,node3-8,node1-6,-20,True,False,11
16,node3-8,node1-6,-20,True,False,10
17,node3-8,node1-6,-20,True,False,10
18,node3-8,node1-6,-20,True,False,11
19,node3-8,node1-6,-20,True,False,11
20,node3-8,node1-6,-20,True,False,13
21,node3-8,node1-6,-20,True,False,12
22,node3-8,node1-6,-20,True,False,10
23,node3-8,node1-6,-20,True,False,11
24,node3-8,node1-6,-20,True,False,12
25,node3-8,node1-6,-20,True,False,11
26,node3-8,node1-6,-20,True,False,11
27,node3-8,node1-6,-20,True,False,11
28,node3-8,node1-6,-20,True,False,10
29,node3-8,node1-6,-20,True,False,11
30,node3-8,node1-6,-20,True,False,12
31,node3-8,node1-6,-20,True,False,11
32,node3-8,node1-6,-20,True,False,11
33,node3-8,node1-6,-20,True,False,11
34,node3-8,node1-6,-20,True,False,12
35,node3-8,node1-6,-20,True,False,10
36,node3-8,node1-6,-20,True,False,11
37,node3-8,node1-6,-20,True,False,10
38,node3-8,node1-6,-20,True,False,12
39,node3-8,node1-6,-20,True,False,11
40,node3-8,node1-6,-20,True,False,12
41,node3-8,node1-6,-20,True,False,11
42,node3-8,node1-6,-20,True,False,13
43,node3-8,node1-6,-20,True,False,11
44,node3-8,node1-6,-20,True,False,11
45,node3-8,node1-6,-20,True,False,11
46,node3-8,node1-6,-20,True,False,11
47,node3-8,node1-6,-20,True,False,11
48,node3-8,node1-6,-20,True,False,10
49,node3-8,node1-6,-20,True,False,12
50,node3-8,node1-6,-20,True,False,11
51,node3-8,node1-6,-20,True,False,11
52,node3-8,node1-6,-20,True,False,13
53,node3-8,node1-6,-20,True,False,10
54,node3-8,node1-6,-20,True,False,10
55,node3-8,node1-6,-20,True,False,11
56,node3-8,node1-6,-20,True,False,11
57,node3-8,node1-6,-20,True,False,12
58,node3-8,node1-6,-20,True,False,12
59,node3-8,node1-6,-20,True,False,9
60,node3-8,node1-6,-20,True,False,10
61,node3-8,node1-6,-20,True,False,10
62,node3-8,node1-6,-20,True,False,11
63,node3-8,node1-6,-20,True,False,11
64,node3-8,node1-6,-20,True,False,11
65,node3-8,node1-6,-20,True,False,12
66,node3-8,node1-6,-20,True,False,10
67,node3-8,node1-6,-20,True,False,11
68,node3-8,node1-6,-20,True,False,10
69,node3-8,node1-6,-20,True,False,12
70,node3-8,node1-6,-20,True,False,12
71,node3-8,node1-6,-20,True,False,10
72,node3-8,node1-6,-20,True,False,13
73,node3-8,node1-6,-20,True,False,10
74,node3-8,node1-6,-20,True,False,11
75,node3-8,node1-6,-20,True,False,11
76,node3-8,node1-6,-20,True,False,12
77,node3-8,node1-6,-20,True,False,10
78,node3-8,node1-6,-20,True,False,11
79,node3-8,node1-6,-20,True,False,11
80,node3-8,node1-6,-20,True,False,11
81,node3-8,node1-6,-20,True,False,12
82,node3-8,node1-6,-20,True,False,11
83,node3-8,node1-6,-20,True,False,11
84,node3-8,node1-6,-20,True,False,11
85,node3-8,node1-6,-20,True,False,11
86,node3-8,node1-6,-20,True,False,12
87,node3-8,node1-6,-20,True,False,11
88,node3-8,node1-6,-20,True,False,11
89,node3-8,node1-6,-20,True,False,11
90,node3-8,node1-6,-20,True,False,11
91,node3-8,node1-6,-20,True,False,12
92,node3-8,node1-6,-20,True,False,12
93,node3-8,node1-6,-20,True,False,10
94,node3-8,node1-6,-20,True,False,12
95,node3-8,node1-6,-20,True,False,10
96,node3-8,node1-6,-20,True,False,11
97,node3-8,node1-6,-20,True,False,11
98,node3-8,node1-6,-20,True,False,12
99,node3-8,node1-6,-20,True,False,10
100,node3-8,node1-6,-20,True,False,12
101,node3-8,node1-6,-20,True,False,13
102,node3-8,node1-6,-20,True,False,12
103,node3-8,node1-6,-20,True,False,11
104,node3-8,node1-6,-20,True,False,11
105,node3-8,node1-6,-20,True,False,12
