seq,src,dst,noise,received,error,rssi
1,node6-3,node1-4,-5,True,False,12
2,node6-3,node1-4,-5,True,False,10
3,node6-3,node1-4,-5,True,False,7
4,node6-3,node1-4,-5,True,False,7
5,node6-3,node1-4,-5,True,False,7
6,node6-3,node1-4,-5,True,False,6
7,node6-3,node1-4,-5,True,False,8
8,node6-3,node1-4,-5,True,False,7
9,node6-3,node1-4,-5,True,False,8
10,node6-3,node1-4,-5,True,False,9
11,node6-3,node1-4,-5,True,False,7
12,node6-3,node1-4,-5,True,False,7
13,node6-3,node1-4,-5,True,False,7
14,node6-3,node1-4,-5,True,False,6
15,node6-3,node1-4,-5,True,False,7
16,node6-3,node1-4,-5,True,False,5
17,node6-3,node1-4,-5,True,False,9
18,node6-3,node1-4,-5,True,False,6
19,node6-3,node1-4,-5,True,False,7
20,node6-3,node1-4,-5,True,False,8
21,node6-3,node1-4,-5,True,False,7
22,node6-3,node1-4,-5,True,False,6
23,node6-3,node1-4,-5,True,False,6
24,node6-3,node1-4,-5,True,False,7
25,node6-3,node1-4,-5,True,False,8
26,node6-3,node1-4,-5,True,False,8
27,node6-3,node1-4,-5,True,False,7
28,node6-3,node1-4,-5,True,False,6
29,node6-3,node1-4,-5,True,False,6
30,node6-3,node1-4,-5,True,False,6
31,node6-3,node1-4,-5,True,False,8
32,node6-3,node1-4,-5,True,False,9
33,node6-3,node1-4,-5,True,False,7
34,node6-3,node1-4,-5,True,False,7
35,node6-3,node1-4,-5,True,False,8
36,node6-3,node1-4,-5,True,False,8
37,node6-3,node1-4,-5,True,False,8
38,node6-3,node1-4,-5,True,False,7
39,node6-3,node1-4,-5,True,False,6
40,node6-3,node1-4,-5,True,False,5
41,node6-3,node1-4,-5,True,False,8
42,node6-3,node1-4,-5,True,False,8
43,node6-3,node1-4,-5,True,False,8
44,node6-3,node1-4,-5,True,False,7
45,node6-3,node1-4,-5,True,False,7
46,node6-3,node1-4,-5,True,False,7
47,node6-3,node1-4,-5,True,False,9
48,node6-3,node1-4,-5,True,False,7
49,node6-3,node1-4,-5,True,False,7
50,node6-3,node1-4,-5,True,False,7
51,node6-3,node1-4,-5,True,False,7
52,node6-3,node1-4,-5,True,False,6
53,node6-3,node1-4,-5,True,False,7
54,node6-3,node1-4,-5,True,False,7
55,node6-3,node1-4,-5,True,False,8
56,node6-3,node1-4,-5,True,False,7
57,node6-3,node1-4,-5,True,False,7
58,node6-3,node1-4,-5,True,False,7
59,node6-3,node1-4,-5,True,False,8
60,node6-3,node1-4,-5,True,False,7
61,node6-3,node1-4,-5,True,False,9
62,node6-3,node1-4,-5,True,False,7
63,node6-3,node1-4,-5,True,False,7
64,node6-3,node1-4,-5,True,False,9
65,node6-3,node1-4,-5,True,False,8
66,node6-3,node1-4,-5,True,False,8
67,node6-3,node1-4,-5,True,False,7
68,node6-3,node1-4,-5,True,False,5
69,node6-3,node1-4,-5,True,False,8
70,node6-3,node1-4,-5,True,False,6
