seq,src,dst,noise,received,error,rssi
1,node1-6,node1-8,-20,True,False,28
2,node1-6,node1-8,-20,True,False,27
3,node1-6,node1-8,-20,True,False,25
4,node1-6,node1-8,-20,True,False,25
5,node1-6,node1-8,-20,True,False,24
6,node1-6,node1-8,-20,True,False,25
7,node1-6,node1-8,-20,True,False,25
8,node1-6,node1-8,-20,True,False,25
9,node1-6,node1-8,-20,True,False,25
10,node1-6,node1-8,-20,True,False,25
11,node1-6,node1-8,-20,True,False,26
12,node1-6,node1-8,-20,True,False,25
13,node1-6,node1-8,-20,True,False,25
14,node1-6,node1-8,-20,True,False,24
15,node1-6,node1-8,-20,True,False,25
16,node1-6,node1-8,-20,True,False,25
17,node1-6,node1-8,-20,True,False,24
18,node1-6,node1-8,-20,True,False,25
19,node1-6,node1-8,-20,True,False,24
20,node1-6,node1-8,-20,True,False,25
21,node1-6,node1-8,-20,True,False,26
22,node1-6,node1-8,-20,True,False,24
23,node1-6,node1-8,-20,True,False,25
24,node1-6,node1-8,-20,True,False,23
25,node1-6,node1-8,-20,True,False,25
26,node1-6,node1-8,-20,True,False,25
27,node1-6,node1-8,-20,True,False,25
28,node1-6,node1-8,-20,True,False,25
29,node1-6,node1-8,-20,True,False,25
30,node1-6,node1-8,-20,True,False,24
31,node1-6,node1-8,-20,True,False,25
32,node1-6,node1-8,-20,True,False,26
33,node1-6,node1-8,-20,True,False,25
34,node1-6,node1-8,-20,True,False,25
35,node1-6,node1-8,-20,True,False,25
36,node1-6,node1-8,-20,True,False,23
37,node1-6,node1-8,-20,True,False,25
38,node1-6,node1-8,-20,True,False,24
39,node1-6,node1-8,-20,True,False,26
40,node1-6,node1-8,-20,True,False,26
41,node1-6,node1-8,-20,True,False,25
42,node1-6,node1-8,-20,True,False,25
43,node1-6,node1-8,-20,True,False,25
44,node1-6,node1-8,-20,True,False,25
45,node1-6,node1-8,-20,True,False,25
46,node1-6,node1-8,-20,True,False,25
