seq,src,dst,noise,received,error,rssi
1,node2-1,node6-1,-10,True,False,9
2,node2-1,node6-1,-10,True,False,6
3,node2-1,node6-1,-10,True,False,6
4,node2-1,node6-1,-10,True,False,3
5,node2-1,node6-1,-10,True,False,4
6,node2-1,node6-1,-10,True,False,5
7,node2-1,node6-1,-10,True,False,6
8,node2-1,node6-1,-10,True,False,5
9,node2-1,node6-1,-10,True,False,2
10,node2-1,node6-1,-10,True,False,6
11,node2-1,node6-1,-10,True,False,4
12,node2-1,node6-1,-10,True,False,5
13,node2-1,node6-1,-10,True,False,2
14,node2-1,node6-1,-10,True,False,5
15,node2-1,node6-1,-10,True,False,5
16,node2-1,node6-1,-10,True,False,5
17,node2-1,node6-1,-10,True,False,5
18,node2-1,node6-1,-10,True,False,5
19,node2-1,node6-1,-10,True,False,6
20,node2-1,node6-1,-10,True,False,4
21,node2-1,node6-1,-10,True,False,5
22,node2-1,node6-1,-10,True,False,3
23,node2-1,node6-1,-10,True,False,3
24,node2-1,node6-1,-10,True,False,4
25,node2-1,node6-1,-10,True,False,4
26,node2-1,node6-1,-10,True,False,5
27,node2-1,node6-1,-10,True,False,6
28,node2-1,node6-1,-10,True,False,4
29,node2-1,node6-1,-10,True,False,5
30,node2-1,node6-1,-10,True,False,5
31,node2-1,node6-1,-10,True,False,5
32,node2-1,node6-1,-10,True,False,4
33,node2-1,node6-1,-10,True,False,4
34,node2-1,node6-1,-10,True,False,4
35,node2-1,node6-1,-10,True,False,4
36,node2-1,node6-1,-10,True,False,4
37,node2-1,node6-1,-10,True,False,3
38,node2-1,node6-1,-10,True,False,4
39,node2-1,node6-1,-10,True,False,5
40,node2-1,node6-1,-10,True,False,6
41,node2-1,node6-1,-10,True,False,4
42,node2-1,node6-1,-10,True,False,4
43,node2-1,node6-1,-10,True,False,6
44,node2-1,node6-1,-10,True,False,5
45,node2-1,node6-1,-10,True,False,6
46,node2-1,node6-1,-10,True,False,6
47,node2-1,node6-1,-10,True,False,3
48,node2-1,node6-1,-10,True,False,4
49,node2-1,node6-1,-10,True,False,5
50,node2-1,node6-1,-10,True,False,5
51,node2-1,node6-1,-10,True,False,5
52,node2-1,node6-1,-10,True,False,3
53,node2-1,node6-1,-10,True,False,6
54,node2-1,node6-1,-10,True,False,4
55,node2-1,node6-1,-10,True,False,6
56,node2-1,node6-1,-10,True,False,3
57,node2-1,node6-1,-10,True,False,5
58,node2-1,node6-1,-10,True,False,5
59,node2-1,node6-1,-10,True,False,6
60,node2-1,node6-1,-10,True,False,5
61,node2-1,node6-1,-10,True,False,6
62,node2-1,node6-1,-10,True,False,5
63,node2-1,node6-1,-10,True,False,5
64,node2-1,node6-1,-10,True,False,5
65,node2-1,node6-1,-10,True,False,6
66,node2-1,node6-1,-10,True,False,5
67,node2-1,node6-1,-10,True,False,6
68,node2-1,node6-1,-10,True,False,5
69,node2-1,node6-1,-10,True,False,5
70,node2-1,node6-1,-10,True,False,6
71,node2-1,node6-1,-10,True,False,5
72,node2-1,node6-1,-10,True,False,4
73,node2-1,node6-1,-10,True,False,4
74,node2-1,node6-1,-10,True,False,6
75,node2-1,node6-1,-10,True,False,4
76,node2-1,node6-1,-10,True,False,4
77,node2-1,node6-1,-10,True,False,5
78,node2-1,node6-1,-10,True,False,6
79,node2-1,node6-1,-10,True,False,5
80,node2-1,node6-1,-10,True,False,5
81,node2-1,node6-1,-10,True,False,5
82,node2-1,node6-1,-10,True,False,5
83,node2-1,node6-1,-10,True,False,7
84,node2-1,node6-1,-10,True,False,5
85,node2-1,node6-1,-10,True,False,6
86,node2-1,node6-1,-10,True,False,6
87,node2-1,node6-1,-10,True,False,3
88,node2-1,node6-1,-10,True,False,3
89,node2-1,node6-1,-10,True,False,3
90,node2-1,node6-1,-10,True,False,5
91,node2-1,node6-1,-10,True,False,4
92,node2-1,node6-1,-10,True,False,5
93,node2-1,node6-1,-10,True,False,2
94,node2-1,node6-1,-10,True,False,4
95,node2-1,node6-1,-10,True,False,3
96,node2-1,node6-1,-10,True,False,3
97,node2-1,node6-1,-10,True,False,4
98,node2-1,node6-1,-10,True,False,5
99,node2-1,node6-1,-10,True,False,5
100,node2-1,node6-1,-10,True,False,3
101,node2-1,node6-1,-10,True,False,4
102,node2-1,node6-1,-10,True,False,4
103,node2-1,node6-1,-10,True,False,5
104,node2-1,node6-1,-10,True,False,4
105,node2-1,node6-1,-10,True,False,6
106,node2-1,node6-1,-10,True,False,5
107,node2-1,node6-1,-10,True,False,5
108,node2-1,node6-1,-10,True,False,4
109,node2-1,node6-1,-10,True,False,5
110,node2-1,node6-1,-10,True,False,5
111,node2-1,node6-1,-10,True,False,4
112,node2-1,node6-1,-10,True,False,4
113,node2-1,node6-1,-10,True,False,3
114,node2-1,node6-1,-10,True,False,4
115,node2-1,node6-1,-10,True,False,6
116,node2-1,node6-1,-10,True,False,4
117,node2-1,node6-1,-10,True,False,5
118,node2-1,node6-1,-10,True,False,5
119,node2-1,node6-1,-10,True,False,3
120,node2-1,node6-1,-10,True,False,4
121,node2-1,node6-1,-10,True,False,4
122,node2-1,node6-1,-10,True,False,4
123,node2-1,node6-1,-10,True,False,3
124,node2-1,node6-1,-10,True,False,6
125,node2-1,node6-1,-10,True,False,4
126,node2-1,node6-1,-10,True,False,6
127,node2-1,node6-1,-10,True,False,5
128,node2-1,node6-1,-10,True,False,4
129,node2-1,node6-1,-10,True,False,6
130,node2-1,node6-1,-10,True,False,5
131,node2-1,node6-1,-10,True,False,5
132,node2-1,node6-1,-10,True,False,5
133,node2-1,node6-1,-10,True,False,4
134,node2-1,node6-1,-10,True,False,5
