seq,src,dst,noise,received,error,rssi
1,node8-5,node5-4,-5,True,False,7
2,node8-5,node5-4,-5,True,False,7
3,node8-5,node5-4,-5,True,False,5
4,node8-5,node5-4,-5,True,False,5
5,node8-5,node5-4,-5,True,False,4
6,node8-5,node5-4,-5,True,False,6
7,node8-5,node5-4,-5,True,False,5
8,node8-5,node5-4,-5,True,False,5
9,node8-5,node5-4,-5,True,False,4
10,node8-5,node5-4,-5,True,False,5
11,node8-5,node5-4,-5,True,False,4
12,node8-5,node5-4,-5,True,False,5
13,node8-5,node5-4,-5,True,False,2
14,node8-5,node5-4,-5,True,False,5
15,node8-5,node5-4,-5,True,False,6
16,node8-5,node5-4,-5,True,False,4
17,node8-5,node5-4,-5,True,False,5
18,node8-5,node5-4,-5,True,False,6
19,node8-5,node5-4,-5,True,False,3
20,node8-5,node5-4,-5,True,False,4
21,node8-5,node5-4,-5,True,False,4
22,node8-5,node5-4,-5,True,False,4
23,node8-5,node5-4,-5,True,False,7
24,node8-5,node5-4,-5,True,False,5
25,node8-5,node5-4,-5,True,False,4
26,node8-5,node5-4,-5,True,False,4
27,node8-5,node5-4,-5,True,False,4
28,node8-5,node5-4,-5,True,False,4
29,node8-5,node5-4,-5,True,False,4
30,node8-5,node5-4,-5,True,False,5
31,node8-5,node5-4,-5,True,False,4
32,node8-5,node5-4,-5,True,False,6
33,node8-5,node5-4,-5,True,False,3
34,node8-5,node5-4,-5,True,False,4
35,node8-5,node5-4,-5,True,False,6
36,node8-5,node5-4,-5,True,False,5
37,node8-5,node5-4,-5,True,False,5
38,node8-5,node5-4,-5,True,False,4
39,node8-5,node5-4,-5,True,False,5
40,node8-5,node5-4,-5,True,False,5
41,node8-5,node5-4,-5,True,False,3
42,node8-5,node5-4,-5,True,False,5
43,node8-5,node5-4,-5,True,False,4
44,node8-5,node5-4,-5,True,False,3
45,node8-5,node5-4,-5,True,False,4
46,node8-5,node5-4,-5,True,False,3
47,node8-5,node5-4,-5,True,False,6
48,node8-5,node5-4,-5,True,False,4
49,node8-5,node5-4,-5,True,False,5
50,node8-5,node5-4,-5,True,False,4
51,node8-5,node5-4,-5,True,False,4
52,node8-5,node5-4,-5,True,False,5
53,node8-5,node5-4,-5,True,False,5
54,node8-5,node5-4,-5,True,False,5
55,node8-5,node5-4,-5,True,False,5
56,node8-5,node5-4,-5,True,False,5
57,node8-5,node5-4,-5,True,False,6
58,node8-5,node5-4,-5,True,False,5
59,node8-5,node5-4,-5,True,False,5
60,node8-5,node5-4,-5,True,False,6
61,node8-5,node5-4,-5,True,False,6
62,node8-5,node5-4,-5,True,False,5
63,node8-5,node5-4,-5,True,False,4
64,node8-5,node5-4,-5,True,False,4
65,node8-5,node5-4,-5,True,False,3
66,node8-5,node5-4,-5,True,False,4
67,node8-5,node5-4,-5,True,False,4
68,node8-5,node5-4,-5,True,False,5
69,node8-5,node5-4,-5,True,False,2
70,node8-5,node5-4,-5,True,False,3
71,node8-5,node5-4,-5,True,False,3
72,node8-5,node5-4,-5,True,False,5
73,node8-5,node5-4,-5,True,False,3
74,node8-5,node5-4,-5,True,False,4
75,node8-5,node5-4,-5,True,False,5
76,node8-5,node5-4,-5,True,False,3
77,node8-5,node5-4,-5,True,False,4
78,node8-5,node5-4,-5,True,False,3
79,node8-5,node5-4,-5,True,False,4
80,node8-5,node5-4,-5,True,False,2
81,node8-5,node5-4,-5,True,False,4
82,node8-5,node5-4,-5,True,False,3
83,node8-5,node5-4,-5,True,False,4
