seq,src,dst,noise,received,error,rssi
1,node1-2,node6-1,-10,True,False,4
2,node1-2,node6-1,-10,True,False,6
3,node1-2,node6-1,-10,True,False,4
4,node1-2,node6-1,-10,True,False,4
5,node1-2,node6-1,-10,True,False,3
6,node1-2,node6-1,-10,False,False,0
7,node1-2,node6-1,-10,True,False,3
8,node1-2,node6-1,-10,True,False,2
9,node1-2,node6-1,-10,True,False,2
10,node1-2,node6-1,-10,True,False,1
11,node1-2,node6-1,-10,True,False,3
12,node1-2,node6-1,-10,False,True,0
13,node1-2,node6-1,-10,True,False,2
14,node1-2,node6-1,-10,False,False,0
15,node1-2,node6-1,-10,True,False,0
16,node1-2,node6-1,-10,True,False,2
17,node1-2,node6-1,-10,True,False,2
18,node1-2,node6-1,-10,False,False,0
19,node1-2,node6-1,-10,False,False,0
20,node1-2,node6-1,-10,False,False,0
21,node1-2,node6-1,-10,False,False,0
22,node1-2,node6-1,-10,False,False,0
23,node1-2,node6-1,-10,False,False,0
24,node1-2,node6-1,-10,False,False,0
25,node1-2,node6-1,-10,True,False,2
26,node1-2,node6-1,-10,False,False,0
27,node1-2,node6-1,-10,True,False,1
28,node1-2,node6-1,-10,False,False,0
29,node1-2,node6-1,-10,False,False,0
30,node1-2,node6-1,-10,False,False,0
31,node1-2,node6-1,-10,False,False,0
32,node1-2,node6-1,-10,False,False,0
33,node1-2,node6-1,-10,False,False,0
34,node1-2,node6-1,-10,True,False,0
35,node1-2,node6-1,-10,False,False,0
36,node1-2,node6-1,-10,True,False,2
37,node1-2,node6-1,-10,False,False,0
38,node1-2,node6-1,-10,False,False,0
39,node1-2,node6-1,-10,False,False,0
40,node1-2,node6-1,-10,False,False,0
41,node1-2,node6-1,-10,True,False,3
42,node1-2,node6-1,-10,False,False,0
43,node1-2,node6-1,-10,True,False,2
44,node1-2,node6-1,-10,True,False,1
45,node1-2,node6-1,-10,True,False,2
46,node1-2,node6-1,-10,True,False,0
47,node1-2,node6-1,-10,False,False,0
48,node1-2,node6-1,-10,True,False,3
49,node1-2,node6-1,-10,True,False,4
50,node1-2,node6-1,-10,False,False,0
51,node1-2,node6-1,-10,True,False,2
52,node1-2,node6-1,-10,False,False,0
53,node1-2,node6-1,-10,False,False,0
54,node1-2,node6-1,-10,False,False,0
55,node1-2,node6-1,-10,True,False,0
56,node1-2,node6-1,-10,False,True,0
57,node1-2,node6-1,-10,False,False,0
58,node1-2,node6-1,-10,True,False,2
59,node1-2,node6-1,-10,True,False,1
60,node1-2,node6-1,-10,False,False,0
61,node1-2,node6-1,-10,True,False,3
62,node1-2,node6-1,-10,True,False,3
63,node1-2,node6-1,-10,False,False,0
64,node1-2,node6-1,-10,False,False,0
65,node1-2,node6-1,-10,True,False,2
66,node1-2,node6-1,-10,False,False,0
67,node1-2,node6-1,-10,False,False,0
68,node1-2,node6-1,-10,False,False,0
69,node1-2,node6-1,-10,False,True,0
70,node1-2,node6-1,-10,False,False,0
71,node1-2,node6-1,-10,False,False,0
72,node1-2,node6-1,-10,True,False,2
73,node1-2,node6-1,-10,False,False,0
74,node1-2,node6-1,-10,False,False,0
75,node1-2,node6-1,-10,False,True,0
76,node1-2,node6-1,-10,True,False,1
77,node1-2,node6-1,-10,False,True,0
78,node1-2,node6-1,-10,True,False,2
79,node1-2,node6-1,-10,True,False,0
80,node1-2,node6-1,-10,False,False,0
81,node1-2,node6-1,-10,False,False,0
82,node1-2,node6-1,-10,False,False,0
83,node1-2,node6-1,-10,False,False,0
84,node1-2,node6-1,-10,True,False,0
85,node1-2,node6-1,-10,False,False,0
86,node1-2,node6-1,-10,True,False,1
87,node1-2,node6-1,-10,True,False,2
88,node1-2,node6-1,-10,False,False,0
89,node1-2,node6-1,-10,False,False,0
90,node1-2,node6-1,-10,False,False,0
91,node1-2,node6-1,-10,True,False,3
92,node1-2,node6-1,-10,False,False,0
93,node1-2,node6-1,-10,False,False,0
94,node1-2,node6-1,-10,True,False,1
95,node1-2,node6-1,-10,False,False,0
96,node1-2,node6-1,-10,False,False,0
97,node1-2,node6-1,-10,True,False,0
98,node1-2,node6-1,-10,True,False,2
99,node1-2,node6-1,-10,False,False,0
100,node1-2,node6-1,-10,False,False,0
101,node1-2,node6-1,-10,True,False,2
102,node1-2,node6-1,-10,False,False,0
103,node1-2,node6-1,-10,True,False,2
104,node1-2,node6-1,-10,False,False,0
105,node1-2,node6-1,-10,False,False,0
