seq,src,dst,noise,received,error,rssi
1,node1-6,node3-4,-15,True,False,19
2,node1-6,node3-4,-15,True,False,18
3,node1-6,node3-4,-15,True,False,14
4,node1-6,node3-4,-15,True,False,15
5,node1-6,node3-4,-15,True,False,14
6,node1-6,node3-4,-15,True,False,14
7,node1-6,node3-4,-15,True,False,15
8,node1-6,node3-4,-15,True,False,16
9,node1-6,node3-4,-15,True,False,16
10,node1-6,node3-4,-15,True,False,15
11,node1-6,node3-4,-15,True,False,15
12,node1-6,node3-4,-15,True,False,15
13,node1-6,node3-4,-15,True,False,16
14,node1-6,node3-4,-15,True,False,16
15,node1-6,node3-4,-15,True,False,15
16,node1-6,node3-4,-15,True,False,15
17,node1-6,node3-4,-15,True,False,16
18,node1-6,node3-4,-15,True,False,15
19,node1-6,node3-4,-15,True,False,15
20,node1-6,node3-4,-15,True,False,15
21,node1-6,node3-4,-15,True,False,15
22,node1-6,node3-4,-15,True,False,15
23,node1-6,node3-4,-15,True,False,16
24,node1-6,node3-4,-15,True,False,15
25,node1-6,node3-4,-15,True,False,14
26,node1-6,node3-4,-15,True,False,14
27,node1-6,node3-4,-15,True,False,15
28,node1-6,node3-4,-15,True,False,14
29,node1-6,node3-4,-15,True,False,15
30,node1-6,node3-4,-15,True,False,15
31,node1-6,node3-4,-15,True,False,14
32,node1-6,node3-4,-15,True,False,16
33,node1-6,node3-4,-15,True,False,14
34,node1-6,node3-4,-15,True,False,15
35,node1-6,node3-4,-15,True,False,15
36,node1-6,node3-4,-15,True,False,15
37,node1-6,node3-4,-15,True,False,15
38,node1-6,node3-4,-15,True,False,13
39,node1-6,node3-4,-15,True,False,15
40,node1-6,node3-4,-15,True,False,16
41,node1-6,node3-4,-15,True,False,15
42,node1-6,node3-4,-15,True,False,14
43,node1-6,node3-4,-15,True,False,15
44,node1-6,node3-4,-15,True,False,15
45,node1-6,node3-4,-15,True,False,16
46,node1-6,node3-4,-15,True,False,14
47,node1-6,node3-4,-15,True,False,15
48,node1-6,node3-4,-15,True,False,15
49,node1-6,node3-4,-15,True,False,15
50,node1-6,node3-4,-15,True,False,13
51,node1-6,node3-4,-15,True,False,14
52,node1-6,node3-4,-15,True,False,15
53,node1-6,node3-4,-15,True,False,15
54,node1-6,node3-4,-15,True,False,15
55,node1-6,node3-4,-15,True,False,15
56,node1-6,node3-4,-15,True,False,15
57,node1-6,node3-4,-15,True,False,15
58,node1-6,node3-4,-15,True,False,15
59,node1-6,node3-4,-15,True,False,14
60,node1-6,node3-4,-15,True,False,14
61,node1-6,node3-4,-15,True,False,15
62,node1-6,node3-4,-15,True,False,15
63,node1-6,node3-4,-15,True,False,14
64,node1-6,node3-4,-15,True,False,15
65,node1-6,node3-4,-15,True,False,15
66,node1-6,node3-4,-15,True,False,15
67,node1-6,node3-4,-15,True,False,15
