seq,src,dst,noise,received,error,rssi
1,node7-2,node4-7,-5,True,False,11
2,node7-2,node4-7,-5,True,False,11
3,node7-2,node4-7,-5,True,False,8
4,node7-2,node4-7,-5,True,False,5
5,node7-2,node4-7,-5,True,False,4
6,node7-2,node4-7,-5,True,False,4
7,node7-2,node4-7,-5,True,False,6
8,node7-2,node4-7,-5,True,False,3
9,node7-2,node4-7,-5,True,False,7
10,node7-2,node4-7,-5,True,False,4
11,node7-2,node4-7,-5,True,False,4
12,node7-2,node4-7,-5,True,False,4
13,node7-2,node4-7,-5,True,False,5
14,node7-2,node4-7,-5,True,False,5
15,node7-2,node4-7,-5,True,False,4
16,node7-2,node4-7,-5,True,False,5
17,node7-2,node4-7,-5,True,False,6
18,node7-2,node4-7,-5,True,False,4
19,node7-2,node4-7,-5,True,False,3
20,node7-2,node4-7,-5,True,False,5
21,node7-2,node4-7,-5,True,False,7
22,node7-2,node4-7,-5,True,False,5
23,node7-2,node4-7,-5,True,False,6
24,node7-2,node4-7,-5,True,False,4
25,node7-2,node4-7,-5,True,False,5
26,node7-2,node4-7,-5,True,False,2
27,node7-2,node4-7,-5,True,False,5
28,node7-2,node4-7,-5,True,False,5
29,node7-2,node4-7,-5,True,False,5
30,node7-2,node4-7,-5,True,False,3
31,node7-2,node4-7,-5,True,False,6
32,node7-2,node4-7,-5,True,False,7
33,node7-2,node4-7,-5,True,False,5
34,node7-2,node4-7,-5,True,False,7
35,node7-2,node4-7,-5,True,False,3
36,node7-2,node4-7,-5,True,False,7
37,node7-2,node4-7,-5,True,False,5
38,node7-2,node4-7,-5,True,False,4
39,node7-2,node4-7,-5,True,False,6
40,node7-2,node4-7,-5,True,False,5
41,node7-2,node4-7,-5,True,False,6
42,node7-2,node4-7,-5,True,False,3
43,node7-2,node4-7,-5,True,False,6
44,node7-2,node4-7,-5,True,False,5
45,node7-2,node4-7,-5,True,False,6
46,node7-2,node4-7,-5,True,False,2
47,node7-2,node4-7,-5,True,False,6
48,node7-2,node4-7,-5,True,False,2
49,node7-2,node4-7,-5,True,False,5
50,node7-2,node4-7,-5,True,False,6
51,node7-2,node4-7,-5,True,False,6
52,node7-2,node4-7,-5,True,False,7
53,node7-2,node4-7,-5,True,False,6
54,node7-2,node4-7,-5,True,False,3
55,node7-2,node4-7,-5,True,False,5
56,node7-2,node4-7,-5,True,False,4
57,node7-2,node4-7,-5,True,False,5
58,node7-2,node4-7,-5,True,False,6
59,node7-2,node4-7,-5,True,False,5
60,node7-2,node4-7,-5,True,False,6
61,node7-2,node4-7,-5,True,False,5
62,node7-2,node4-7,-5,True,False,3
63,node7-2,node4-7,-5,True,False,6
64,node7-2,node4-7,-5,True,False,5
65,node7-2,node4-7,-5,False,False,0
66,node7-2,node4-7,-5,True,False,5
67,node7-2,node4-7,-5,True,False,7
68,node7-2,node4-7,-5,True,False,5
69,node7-2,node4-7,-5,True,False,2
70,node7-2,node4-7,-5,True,False,3
71,node7-2,node4-7,-5,True,False,6
72,node7-2,node4-7,-5,True,False,5
73,node7-2,node4-7,-5,True,False,4
74,node7-2,node4-7,-5,True,False,6
75,node7-2,node4-7,-5,True,False,3
76,node7-2,node4-7,-5,True,False,5
77,node7-2,node4-7,-5,True,False,5
78,node7-2,node4-7,-5,True,False,6
79,node7-2,node4-7,-5,True,False,4
80,node7-2,node4-7,-5,True,False,3
81,node7-2,node4-7,-5,True,False,6
82,node7-2,node4-7,-5,True,False,5
83,node7-2,node4-7,-5,True,False,3
84,node7-2,node4-7,-5,True,False,4
85,node7-2,node4-7,-5,True,False,4
86,node7-2,node4-7,-5,True,False,7
87,node7-2,node4-7,-5,True,False,5
88,node7-2,node4-7,-5,True,False,5
89,node7-2,node4-7,-5,True,False,4
90,node7-2,node4-7,-5,True,False,5
91,node7-2,node4-7,-5,True,False,7
92,node7-2,node4-7,-5,True,False,4
93,node7-2,node4-7,-5,True,False,7
94,node7-2,node4-7,-5,True,False,4
95,node7-2,node4-7,-5,True,False,5
96,node7-2,node4-7,-5,True,False,6
97,node7-2,node4-7,-5,True,False,3
98,node7-2,node4-7,-5,True,False,5
99,node7-2,node4-7,-5,True,False,6
100,node7-2,node4-7,-5,True,False,6
101,node7-2,node4-7,-5,True,False,6
102,node7-2,node4-7,-5,True,False,6
103,node7-2,node4-7,-5,True,False,5
104,node7-2,node4-7,-5,True,False,4
105,node7-2,node4-7,-5,True,False,4
106,node7-2,node4-7,-5,True,False,4
107,node7-2,node4-7,-5,True,False,6
108,node7-2,node4-7,-5,True,False,4
109,node7-2,node4-7,-5,True,False,4
110,node7-2,node4-7,-5,True,False,4
111,node7-2,node4-7,-5,True,False,5
112,node7-2,node4-7,-5,True,False,6
113,node7-2,node4-7,-5,True,False,6
114,node7-2,node4-7,-5,True,False,5
115,node7-2,node4-7,-5,True,False,5
116,node7-2,node4-7,-5,True,False,5
117,node7-2,node4-7,-5,True,False,5
118,node7-2,node4-7,-5,True,False,4
119,node7-2,node4-7,-5,True,False,4
120,node7-2,node4-7,-5,True,False,4
121,node7-2,node4-7,-5,True,False,6
122,node7-2,node4-7,-5,True,False,5
123,node7-2,node4-7,-5,True,False,6
124,node7-2,node4-7,-5,True,False,6
125,node7-2,node4-7,-5,True,False,4
126,node7-2,node4-7,-5,True,False,6
127,node7-2,node4-7,-5,True,False,5
128,node7-2,node4-7,-5,True,False,3
129,node7-2,node4-7,-5,True,False,6
130,node7-2,node4-7,-5,True,False,4
131,node7-2,node4-7,-5,True,False,5
132,node7-2,node4-7,-5,True,False,3
133,node7-2,node4-7,-5,True,False,6
134,node7-2,node4-7,-5,True,False,4
135,node7-2,node4-7,-5,True,False,5
136,node7-2,node4-7,-5,True,False,4
137,node7-2,node4-7,-5,True,False,6
138,node7-2,node4-7,-5,True,False,3
139,node7-2,node4-7,-5,True,False,3
140,node7-2,node4-7,-5,True,False,3
141,node7-2,node4-7,-5,True,False,7
142,node7-2,node4-7,-5,True,False,4
143,node7-2,node4-7,-5,True,False,6
144,node7-2,node4-7,-5,True,False,5
145,node7-2,node4-7,-5,True,False,6
146,node7-2,node4-7,-5,True,False,5
147,node7-2,node4-7,-5,True,False,6
148,node7-2,node4-7,-5,True,False,6
149,node7-2,node4-7,-5,True,False,4
150,node7-2,node4-7,-5,True,False,5
151,node7-2,node4-7,-5,True,False,6
152,node7-2,node4-7,-5,True,False,6
153,node7-2,node4-7,-5,True,False,8
154,node7-2,node4-7,-5,True,False,5
155,node7-2,node4-7,-5,True,False,4
156,node7-2,node4-7,-5,True,False,4
157,node7-2,node4-7,-5,True,False,2
158,node7-2,node4-7,-5,True,False,5
159,node7-2,node4-7,-5,True,False,3
160,node7-2,node4-7,-5,True,False,4
161,node7-2,node4-7,-5,True,False,3
162,node7-2,node4-7,-5,True,False,6
163,node7-2,node4-7,-5,True,False,5
164,node7-2,node4-7,-5,True,False,4
165,node7-2,node4-7,-5,True,False,6
166,node7-2,node4-7,-5,True,False,7
167,node7-2,node4-7,-5,True,False,3
168,node7-2,node4-7,-5,True,False,5
169,node7-2,node4-7,-5,True,False,6
170,node7-2,node4-7,-5,True,False,7
171,node7-2,node4-7,-5,True,False,5
172,node7-2,node4-7,-5,True,False,4
173,node7-2,node4-7,-5,True,False,4
174,node7-2,node4-7,-5,True,False,5
175,node7-2,node4-7,-5,True,False,6
176,node7-2,node4-7,-5,True,False,5
177,node7-2,node4-7,-5,True,False,5
178,node7-2,node4-7,-5,True,False,5
179,node7-2,node4-7,-5,True,False,5
180,node7-2,node4-7,-5,True,False,4
181,node7-2,node4-7,-5,True,False,5
182,node7-2,node4-7,-5,True,False,5
183,node7-2,node4-7,-5,True,False,7
184,node7-2,node4-7,-5,True,False,5
185,node7-2,node4-7,-5,True,False,5
186,node7-2,node4-7,-5,True,False,6
187,node7-2,node4-7,-5,True,False,5
188,node7-2,node4-7,-5,True,False,2
189,node7-2,node4-7,-5,True,False,6
190,node7-2,node4-7,-5,True,False,6
191,node7-2,node4-7,-5,True,False,5
192,node7-2,node4-7,-5,True,False,5
193,node7-2,node4-7,-5,True,False,6
194,node7-2,node4-7,-5,True,False,7
195,node7-2,node4-7,-5,True,False,4
196,node7-2,node4-7,-5,True,False,3
197,node7-2,node4-7,-5,True,False,3
198,node7-2,node4-7,-5,True,False,4
199,node7-2,node4-7,-5,True,False,5
200,node7-2,node4-7,-5,True,False,5
201,node7-2,node4-7,-5,True,False,3
202,node7-2,node4-7,-5,True,False,6
203,node7-2,node4-7,-5,True,False,3
204,node7-2,node4-7,-5,True,False,6
205,node7-2,node4-7,-5,True,False,7
206,node7-2,node4-7,-5,True,False,5
207,node7-2,node4-7,-5,True,False,5
208,node7-2,node4-7,-5,True,False,6
209,node7-2,node4-7,-5,True,False,4
210,node7-2,node4-7,-5,True,False,6
211,node7-2,node4-7,-5,True,False,4
212,node7-2,node4-7,-5,True,False,4
213,node7-2,node4-7,-5,True,False,5
214,node7-2,node4-7,-5,True,False,5
215,node7-2,node4-7,-5,True,False,5
216,node7-2,node4-7,-5,True,False,5
217,node7-2,node4-7,-5,True,False,6
218,node7-2,node4-7,-5,True,False,5
219,node7-2,node4-7,-5,True,False,5
220,node7-2,node4-7,-5,True,False,4
221,node7-2,node4-7,-5,True,False,5
222,node7-2,node4-7,-5,True,False,6
223,node7-2,node4-7,-5,True,False,6
224,node7-2,node4-7,-5,True,False,5
225,node7-2,node4-7,-5,True,False,4
226,node7-2,node4-7,-5,True,False,6
227,node7-2,node4-7,-5,True,False,4
228,node7-2,node4-7,-5,True,False,5
229,node7-2,node4-7,-5,True,False,7
230,node7-2,node4-7,-5,True,False,5
231,node7-2,node4-7,-5,True,False,6
232,node7-2,node4-7,-5,True,False,4
233,node7-2,node4-7,-5,True,False,5
234,node7-2,node4-7,-5,True,False,4
235,node7-2,node4-7,-5,True,False,2
236,node7-2,node4-7,-5,True,False,5
237,node7-2,node4-7,-5,True,False,6
238,node7-2,node4-7,-5,True,False,4
239,node7-2,node4-7,-5,True,False,5
240,node7-2,node4-7,-5,True,False,7
241,node7-2,node4-7,-5,True,False,6
242,node7-2,node4-7,-5,True,False,5
243,node7-2,node4-7,-5,True,False,6
244,node7-2,node4-7,-5,True,False,7
245,node7-2,node4-7,-5,True,False,3
246,node7-2,node4-7,-5,True,False,4
247,node7-2,node4-7,-5,True,False,5
248,node7-2,node4-7,-5,True,False,5
249,node7-2,node4-7,-5,True,False,4
250,node7-2,node4-7,-5,True,False,4
251,node7-2,node4-7,-5,True,False,4
252,node7-2,node4-7,-5,True,False,4
253,node7-2,node4-7,-5,True,False,3
254,node7-2,node4-7,-5,True,False,6
255,node7-2,node4-7,-5,True,False,3
256,node7-2,node4-7,-5,True,False,4
257,node7-2,node4-7,-5,True,False,4
258,node7-2,node4-7,-5,True,False,6
259,node7-2,node4-7,-5,True,False,6
260,node7-2,node4-7,-5,True,False,7
