seq,src,dst,noise,received,error,rssi
1,node5-4,node5-8,-10,True,False,12
2,node5-4,node5-8,-10,True,False,11
3,node5-4,node5-8,-10,True,False,8
4,node5-4,node5-8,-10,True,False,7
5,node5-4,node5-8,-10,True,False,7
6,node5-4,node5-8,-10,True,False,6
7,node5-4,node5-8,-10,True,False,7
8,node5-4,node5-8,-10,True,False,6
9,node5-4,node5-8,-10,True,False,7
10,node5-4,node5-8,-10,True,False,6
11,node5-4,node5-8,-10,True,False,7
12,node5-4,node5-8,-10,True,False,8
13,node5-4,node5-8,-10,True,False,6
14,node5-4,node5-8,-10,True,False,7
15,node5-4,node5-8,-10,True,False,6
16,node5-4,node5-8,-10,True,False,6
17,node5-4,node5-8,-10,True,False,7
18,node5-4,node5-8,-10,True,False,7
19,node5-4,node5-8,-10,True,False,8
20,node5-4,node5-8,-10,True,False,7
21,node5-4,node5-8,-10,True,False,8
22,node5-4,node5-8,-10,True,False,7
23,node5-4,node5-8,-10,True,False,6
24,node5-4,node5-8,-10,True,False,7
25,node5-4,node5-8,-10,True,False,7
26,node5-4,node5-8,-10,True,False,7
27,node5-4,node5-8,-10,True,False,7
28,node5-4,node5-8,-10,True,False,8
29,node5-4,node5-8,-10,True,False,7
30,node5-4,node5-8,-10,True,False,7
31,node5-4,node5-8,-10,True,False,7
32,node5-4,node5-8,-10,True,False,8
33,node5-4,node5-8,-10,True,False,7
34,node5-4,node5-8,-10,True,False,7
35,node5-4,node5-8,-10,True,False,7
36,node5-4,node5-8,-10,True,False,7
37,node5-4,node5-8,-10,True,False,7
38,node5-4,node5-8,-10,True,False,7
39,node5-4,node5-8,-10,True,False,7
40,node5-4,node5-8,-10,True,False,7
41,node5-4,node5-8,-10,True,False,7
42,node5-4,node5-8,-10,True,False,6
43,node5-4,node5-8,-10,True,False,7
44,node5-4,node5-8,-10,True,False,6
45,node5-4,node5-8,-10,True,False,7
46,node5-4,node5-8,-10,True,False,7
47,node5-4,node5-8,-10,True,False,7
48,node5-4,node5-8,-10,True,False,7
49,node5-4,node5-8,-10,True,False,6
50,node5-4,node5-8,-10,True,False,7
51,node5-4,node5-8,-10,True,False,8
52,node5-4,node5-8,-10,True,False,7
53,node5-4,node5-8,-10,True,False,6
54,node5-4,node5-8,-10,True,False,7
55,node5-4,node5-8,-10,True,False,7
56,node5-4,node5-8,-10,True,False,6
57,node5-4,node5-8,-10,True,False,7
58,node5-4,node5-8,-10,True,False,7
59,node5-4,node5-8,-10,True,False,6
60,node5-4,node5-8,-10,True,False,7
61,node5-4,node5-8,-10,True,False,8
62,node5-4,node5-8,-10,True,False,7
63,node5-4,node5-8,-10,True,False,7
64,node5-4,node5-8,-10,True,False,7
65,node5-4,node5-8,-10,True,False,7
66,node5-4,node5-8,-10,True,False,6
67,node5-4,node5-8,-10,True,False,6
68,node5-4,node5-8,-10,True,False,8
69,node5-4,node5-8,-10,True,False,6
70,node5-4,node5-8,-10,True,False,6
71,node5-4,node5-8,-10,True,False,7
72,node5-4,node5-8,-10,True,False,6
73,node5-4,node5-8,-10,True,False,6
74,node5-4,node5-8,-10,True,False,7
75,node5-4,node5-8,-10,True,False,7
76,node5-4,node5-8,-10,True,False,8
77,node5-4,node5-8,-10,True,False,7
78,node5-4,node5-8,-10,True,False,7
79,node5-4,node5-8,-10,True,False,6
80,node5-4,node5-8,-10,True,False,6
81,node5-4,node5-8,-10,True,False,7
82,node5-4,node5-8,-10,True,False,6
83,node5-4,node5-8,-10,True,False,6
84,node5-4,node5-8,-10,True,False,7
85,node5-4,node5-8,-10,True,False,7
86,node5-4,node5-8,-10,True,False,7
87,node5-4,node5-8,-10,True,False,6
88,node5-4,node5-8,-10,True,False,8
89,node5-4,node5-8,-10,True,False,7
90,node5-4,node5-8,-10,True,False,7
91,node5-4,node5-8,-10,True,False,7
92,node5-4,node5-8,-10,True,False,8
93,node5-4,node5-8,-10,True,False,7
94,node5-4,node5-8,-10,True,False,9
95,node5-4,node5-8,-10,True,False,6
96,node5-4,node5-8,-10,True,False,7
97,node5-4,node5-8,-10,True,False,7
98,node5-4,node5-8,-10,True,False,7
99,node5-4,node5-8,-10,True,False,7
100,node5-4,node5-8,-10,True,False,6
101,node5-4,node5-8,-10,True,False,7
102,node5-4,node5-8,-10,True,False,7
103,node5-4,node5-8,-10,True,False,7
104,node5-4,node5-8,-10,True,False,7
105,node5-4,node5-8,-10,True,False,8
106,node5-4,node5-8,-10,True,False,7
107,node5-4,node5-8,-10,True,False,6
108,node5-4,node5-8,-10,True,False,7
109,node5-4,node5-8,-10,True,False,6
110,node5-4,node5-8,-10,True,False,7
111,node5-4,node5-8,-10,True,False,8
112,node5-4,node5-8,-10,True,False,6
113,node5-4,node5-8,-10,True,False,7
114,node5-4,node5-8,-10,True,False,8
115,node5-4,node5-8,-10,True,False,6
116,node5-4,node5-8,-10,True,False,7
117,node5-4,node5-8,-10,True,False,7
118,node5-4,node5-8,-10,True,False,8
119,node5-4,node5-8,-10,True,False,8
120,node5-4,node5-8,-10,True,False,8
121,node5-4,node5-8,-10,True,False,7
122,node5-4,node5-8,-10,True,False,7
123,node5-4,node5-8,-10,True,False,7
124,node5-4,node5-8,-10,True,False,6
125,node5-4,node5-8,-10,True,False,7
126,node5-4,node5-8,-10,True,False,7
127,node5-4,node5-8,-10,True,False,7
128,node5-4,node5-8,-10,True,False,7
129,node5-4,node5-8,-10,True,False,6
130,node5-4,node5-8,-10,True,False,7
131,node5-4,node5-8,-10,True,False,7
132,node5-4,node5-8,-10,True,False,7
133,node5-4,node5-8,-10,True,False,8
134,node5-4,node5-8,-10,True,False,6
135,node5-4,node5-8,-10,True,False,6
136,node5-4,node5-8,-10,True,False,7
137,node5-4,node5-8,-10,True,False,7
138,node5-4,node5-8,-10,True,False,7
139,node5-4,node5-8,-10,True,False,7
140,node5-4,node5-8,-10,True,False,8
141,node5-4,node5-8,-10,True,False,8
142,node5-4,node5-8,-10,True,False,7
143,node5-4,node5-8,-10,True,False,7
144,node5-4,node5-8,-10,True,False,7
145,node5-4,node5-8,-10,True,False,7
146,node5-4,node5-8,-10,True,False,7
147,node5-4,node5-8,-10,True,False,6
148,node5-4,node5-8,-10,True,False,7
149,node5-4,node5-8,-10,True,False,8
150,node5-4,node5-8,-10,True,False,7
151,node5-4,node5-8,-10,True,False,7
152,node5-4,node5-8,-10,True,False,7
153,node5-4,node5-8,-10,True,False,8
154,node5-4,node5-8,-10,True,False,7
155,node5-4,node5-8,-10,True,False,7
156,node5-4,node5-8,-10,True,False,8
157,node5-4,node5-8,-10,True,False,6
158,node5-4,node5-8,-10,True,False,8
159,node5-4,node5-8,-10,True,False,7
160,node5-4,node5-8,-10,True,False,7
161,node5-4,node5-8,-10,True,False,6
162,node5-4,node5-8,-10,True,False,6
163,node5-4,node5-8,-10,True,False,8
164,node5-4,node5-8,-10,True,False,7
165,node5-4,node5-8,-10,True,False,6
166,node5-4,node5-8,-10,True,False,7
167,node5-4,node5-8,-10,True,False,7
168,node5-4,node5-8,-10,True,False,6
169,node5-4,node5-8,-10,True,False,8
170,node5-4,node5-8,-10,True,False,7
171,node5-4,node5-8,-10,True,False,6
172,node5-4,node5-8,-10,True,False,7
173,node5-4,node5-8,-10,True,False,8
174,node5-4,node5-8,-10,True,False,6
175,node5-4,node5-8,-10,True,False,6
176,node5-4,node5-8,-10,True,False,7
177,node5-4,node5-8,-10,True,False,7
178,node5-4,node5-8,-10,True,False,7
179,node5-4,node5-8,-10,True,False,8
180,node5-4,node5-8,-10,True,False,8
181,node5-4,node5-8,-10,True,False,7
182,node5-4,node5-8,-10,True,False,8
183,node5-4,node5-8,-10,True,False,6
184,node5-4,node5-8,-10,True,False,8
185,node5-4,node5-8,-10,True,False,7
186,node5-4,node5-8,-10,True,False,7
187,node5-4,node5-8,-10,True,False,8
188,node5-4,node5-8,-10,True,False,7
189,node5-4,node5-8,-10,True,False,8
190,node5-4,node5-8,-10,True,False,6
191,node5-4,node5-8,-10,True,False,7
192,node5-4,node5-8,-10,True,False,8
193,node5-4,node5-8,-10,True,False,7
194,node5-4,node5-8,-10,True,False,7
195,node5-4,node5-8,-10,True,False,7
196,node5-4,node5-8,-10,True,False,7
197,node5-4,node5-8,-10,True,False,6
198,node5-4,node5-8,-10,True,False,6
