seq,src,dst,noise,received,error,rssi
1,node7-2,node1-2,-15,True,False,19
2,node7-2,node1-2,-15,True,False,17
3,node7-2,node1-2,-15,True,False,16
4,node7-2,node1-2,-15,True,False,10
5,node7-2,node1-2,-15,True,False,12
6,node7-2,node1-2,-15,True,False,12
7,node7-2,node1-2,-15,True,False,13
8,node7-2,node1-2,-15,True,False,13
9,node7-2,node1-2,-15,True,False,13
10,node7-2,node1-2,-15,True,False,13
11,node7-2,node1-2,-15,True,False,13
12,node7-2,node1-2,-15,True,False,13
13,node7-2,node1-2,-15,True,False,12
14,node7-2,node1-2,-15,True,False,12
15,node7-2,node1-2,-15,True,False,12
16,node7-2,node1-2,-15,True,False,12
17,node7-2,node1-2,-15,True,False,12
18,node7-2,node1-2,-15,True,False,13
19,node7-2,node1-2,-15,True,False,13
20,node7-2,node1-2,-15,True,False,11
21,node7-2,node1-2,-15,True,False,13
22,node7-2,node1-2,-15,True,False,11
23,node7-2,node1-2,-15,True,False,12
24,node7-2,node1-2,-15,True,False,13
25,node7-2,node1-2,-15,True,False,12
26,node7-2,node1-2,-15,True,False,12
27,node7-2,node1-2,-15,True,False,12
28,node7-2,node1-2,-15,True,False,12
29,node7-2,node1-2,-15,True,False,12
30,node7-2,node1-2,-15,True,False,12
31,node7-2,node1-2,-15,True,False,13
32,node7-2,node1-2,-15,True,False,13
33,node7-2,node1-2,-15,True,False,13
34,node7-2,node1-2,-15,True,False,11
35,node7-2,node1-2,-15,True,False,12
36,node7-2,node1-2,-15,True,False,13
37,node7-2,node1-2,-15,True,False,12
38,node7-2,node1-2,-15,True,False,12
39,node7-2,node1-2,-15,True,False,12
40,node7-2,node1-2,-15,True,False,12
41,node7-2,node1-2,-15,True,False,13
42,node7-2,node1-2,-15,True,False,12
43,node7-2,node1-2,-15,True,False,11
44,node7-2,node1-2,-15,True,False,12
45,node7-2,node1-2,-15,True,False,13
46,node7-2,node1-2,-15,True,False,12
47,node7-2,node1-2,-15,True,False,12
48,node7-2,node1-2,-15,True,False,13
49,node7-2,node1-2,-15,True,False,13
50,node7-2,node1-2,-15,True,False,13
51,node7-2,node1-2,-15,True,False,12
52,node7-2,node1-2,-15,True,False,12
53,node7-2,node1-2,-15,True,False,13
54,node7-2,node1-2,-15,True,False,12
55,node7-2,node1-2,-15,True,False,12
56,node7-2,node1-2,-15,True,False,12
57,node7-2,node1-2,-15,True,False,13
58,node7-2,node1-2,-15,True,False,12
59,node7-2,node1-2,-15,True,False,13
60,node7-2,node1-2,-15,True,False,12
61,node7-2,node1-2,-15,True,False,13
62,node7-2,node1-2,-15,True,False,13
63,node7-2,node1-2,-15,True,False,12
64,node7-2,node1-2,-15,True,False,12
65,node7-2,node1-2,-15,True,False,12
66,node7-2,node1-2,-15,True,False,12
67,node7-2,node1-2,-15,True,False,13
68,node7-2,node1-2,-15,True,False,12
69,node7-2,node1-2,-15,True,False,13
70,node7-2,node1-2,-15,True,False,12
71,node7-2,node1-2,-15,True,False,13
72,node7-2,node1-2,-15,True,False,13
73,node7-2,node1-2,-15,True,False,13
74,node7-2,node1-2,-15,True,False,12
75,node7-2,node1-2,-15,True,False,13
76,node7-2,node1-2,-15,True,False,13
77,node7-2,node1-2,-15,True,False,12
78,node7-2,node1-2,-15,True,False,13
79,node7-2,node1-2,-15,True,False,14
80,node7-2,node1-2,-15,True,False,12
81,node7-2,node1-2,-15,True,False,12
82,node7-2,node1-2,-15,True,False,12
83,node7-2,node1-2,-15,True,False,13
84,node7-2,node1-2,-15,True,False,12
85,node7-2,node1-2,-15,True,False,13
86,node7-2,node1-2,-15,True,False,13
87,node7-2,node1-2,-15,True,False,13
88,node7-2,node1-2,-15,True,False,12
89,node7-2,node1-2,-15,True,False,12
90,node7-2,node1-2,-15,True,False,12
91,node7-2,node1-2,-15,True,False,12
92,node7-2,node1-2,-15,True,False,13
93,node7-2,node1-2,-15,True,False,12
94,node7-2,node1-2,-15,True,False,13
95,node7-2,node1-2,-15,True,False,13
96,node7-2,node1-2,-15,True,False,12
97,node7-2,node1-2,-15,True,False,12
98,node7-2,node1-2,-15,True,False,12
99,node7-2,node1-2,-15,True,False,12
100,node7-2,node1-2,-15,True,False,13
101,node7-2,node1-2,-15,True,False,11
102,node7-2,node1-2,-15,True,False,13
103,node7-2,node1-2,-15,True,False,12
104,node7-2,node1-2,-15,True,False,12
105,node7-2,node1-2,-15,True,False,13
106,node7-2,node1-2,-15,True,False,12
107,node7-2,node1-2,-15,True,False,12
108,node7-2,node1-2,-15,True,False,14
109,node7-2,node1-2,-15,True,False,13
110,node7-2,node1-2,-15,True,False,13
111,node7-2,node1-2,-15,True,False,13
112,node7-2,node1-2,-15,True,False,13
113,node7-2,node1-2,-15,True,False,13
114,node7-2,node1-2,-15,True,False,11
115,node7-2,node1-2,-15,True,False,12
116,node7-2,node1-2,-15,True,False,12
117,node7-2,node1-2,-15,True,False,12
118,node7-2,node1-2,-15,True,False,13
119,node7-2,node1-2,-15,True,False,13
120,node7-2,node1-2,-15,True,False,11
121,node7-2,node1-2,-15,True,False,13
122,node7-2,node1-2,-15,True,False,13
123,node7-2,node1-2,-15,True,False,12
124,node7-2,node1-2,-15,True,False,12
125,node7-2,node1-2,-15,True,False,13
126,node7-2,node1-2,-15,True,False,13
127,node7-2,node1-2,-15,True,False,13
128,node7-2,node1-2,-15,True,False,13
129,node7-2,node1-2,-15,True,False,11
130,node7-2,node1-2,-15,True,False,13
131,node7-2,node1-2,-15,True,False,11
132,node7-2,node1-2,-15,True,False,12
133,node7-2,node1-2,-15,True,False,11
134,node7-2,node1-2,-15,True,False,13
135,node7-2,node1-2,-15,True,False,12
136,node7-2,node1-2,-15,True,False,13
137,node7-2,node1-2,-15,True,False,12
138,node7-2,node1-2,-15,True,False,12
139,node7-2,node1-2,-15,True,False,13
140,node7-2,node1-2,-15,True,False,13
141,node7-2,node1-2,-15,True,False,12
142,node7-2,node1-2,-15,True,False,11
143,node7-2,node1-2,-15,True,False,13
144,node7-2,node1-2,-15,True,False,13
145,node7-2,node1-2,-15,True,False,12
146,node7-2,node1-2,-15,True,False,12
147,node7-2,node1-2,-15,True,False,12
148,node7-2,node1-2,-15,True,False,13
149,node7-2,node1-2,-15,True,False,12
150,node7-2,node1-2,-15,True,False,13
151,node7-2,node1-2,-15,True,False,13
152,node7-2,node1-2,-15,True,False,13
153,node7-2,node1-2,-15,True,False,14
154,node7-2,node1-2,-15,True,False,13
155,node7-2,node1-2,-15,True,False,12
156,node7-2,node1-2,-15,True,False,11
157,node7-2,node1-2,-15,True,False,12
158,node7-2,node1-2,-15,True,False,13
159,node7-2,node1-2,-15,True,False,12
160,node7-2,node1-2,-15,True,False,12
161,node7-2,node1-2,-15,True,False,13
162,node7-2,node1-2,-15,True,False,13
163,node7-2,node1-2,-15,True,False,12
164,node7-2,node1-2,-15,True,False,13
165,node7-2,node1-2,-15,True,False,12
166,node7-2,node1-2,-15,True,False,13
167,node7-2,node1-2,-15,True,False,13
168,node7-2,node1-2,-15,True,False,13
169,node7-2,node1-2,-15,True,False,12
170,node7-2,node1-2,-15,True,False,12
171,node7-2,node1-2,-15,True,False,12
172,node7-2,node1-2,-15,True,False,10
173,node7-2,node1-2,-15,True,False,13
174,node7-2,node1-2,-15,True,False,12
175,node7-2,node1-2,-15,True,False,13
176,node7-2,node1-2,-15,True,False,12
177,node7-2,node1-2,-15,True,False,13
178,node7-2,node1-2,-15,True,False,13
179,node7-2,node1-2,-15,True,False,12
180,node7-2,node1-2,-15,True,False,12
181,node7-2,node1-2,-15,True,False,13
182,node7-2,node1-2,-15,True,False,13
183,node7-2,node1-2,-15,True,False,13
184,node7-2,node1-2,-15,True,False,13
185,node7-2,node1-2,-15,True,False,12
186,node7-2,node1-2,-15,True,False,12
