seq,src,dst,noise,received,error,rssi
1,node6-5,node7-2,-15,True,False,10
2,node6-5,node7-2,-15,True,False,8
3,node6-5,node7-2,-15,True,False,6
4,node6-5,node7-2,-15,True,False,8
5,node6-5,node7-2,-15,True,False,7
6,node6-5,node7-2,-15,True,False,7
7,node6-5,node7-2,-15,True,False,8
8,node6-5,node7-2,-15,True,False,5
9,node6-5,node7-2,-15,True,False,5
10,node6-5,node7-2,-15,True,False,6
11,node6-5,node7-2,-15,True,False,7
12,node6-5,node7-2,-15,True,False,9
13,node6-5,node7-2,-15,True,False,7
14,node6-5,node7-2,-15,True,False,7
15,node6-5,node7-2,-15,True,False,6
16,node6-5,node7-2,-15,True,False,8
17,node6-5,node7-2,-15,True,False,7
18,node6-5,node7-2,-15,True,False,6
19,node6-5,node7-2,-15,True,False,7
20,node6-5,node7-2,-15,True,False,7
21,node6-5,node7-2,-15,True,False,7
22,node6-5,node7-2,-15,True,False,8
23,node6-5,node7-2,-15,True,False,5
24,node6-5,node7-2,-15,True,False,5
25,node6-5,node7-2,-15,True,False,6
26,node6-5,node7-2,-15,True,False,6
27,node6-5,node7-2,-15,True,False,6
28,node6-5,node7-2,-15,True,False,6
29,node6-5,node7-2,-15,True,False,8
30,node6-5,node7-2,-15,True,False,6
31,node6-5,node7-2,-15,True,False,7
32,node6-5,node7-2,-15,True,False,6
33,node6-5,node7-2,-15,True,False,6
34,node6-5,node7-2,-15,True,False,5
35,node6-5,node7-2,-15,True,False,5
36,node6-5,node7-2,-15,True,False,6
37,node6-5,node7-2,-15,True,False,5
38,node6-5,node7-2,-15,True,False,8
39,node6-5,node7-2,-15,True,False,7
40,node6-5,node7-2,-15,True,False,8
41,node6-5,node7-2,-15,True,False,6
42,node6-5,node7-2,-15,True,False,5
43,node6-5,node7-2,-15,True,False,5
44,node6-5,node7-2,-15,True,False,6
45,node6-5,node7-2,-15,True,False,8
46,node6-5,node7-2,-15,True,False,6
47,node6-5,node7-2,-15,True,False,9
48,node6-5,node7-2,-15,True,False,5
49,node6-5,node7-2,-15,True,False,7
50,node6-5,node7-2,-15,True,False,7
51,node6-5,node7-2,-15,True,False,6
52,node6-5,node7-2,-15,True,False,7
53,node6-5,node7-2,-15,True,False,6
54,node6-5,node7-2,-15,True,False,5
55,node6-5,node7-2,-15,True,False,7
56,node6-5,node7-2,-15,True,False,7
57,node6-5,node7-2,-15,True,False,6
58,node6-5,node7-2,-15,True,False,8
59,node6-5,node7-2,-15,True,False,7
60,node6-5,node7-2,-15,True,False,7
61,node6-5,node7-2,-15,True,False,6
62,node6-5,node7-2,-15,True,False,7
63,node6-5,node7-2,-15,True,False,7
64,node6-5,node7-2,-15,True,False,8
65,node6-5,node7-2,-15,True,False,7
66,node6-5,node7-2,-15,True,False,7
67,node6-5,node7-2,-15,True,False,6
68,node6-5,node7-2,-15,True,False,5
69,node6-5,node7-2,-15,True,False,8
70,node6-5,node7-2,-15,True,False,6
71,node6-5,node7-2,-15,True,False,6
72,node6-5,node7-2,-15,True,False,8
73,node6-5,node7-2,-15,True,False,6
74,node6-5,node7-2,-15,True,False,5
75,node6-5,node7-2,-15,True,False,6
76,node6-5,node7-2,-15,True,False,8
77,node6-5,node7-2,-15,True,False,4
78,node6-5,node7-2,-15,True,False,7
79,node6-5,node7-2,-15,True,False,7
80,node6-5,node7-2,-15,True,False,6
81,node6-5,node7-2,-15,True,False,7
82,node6-5,node7-2,-15,True,False,6
83,node6-5,node7-2,-15,True,False,7
84,node6-5,node7-2,-15,True,False,6
85,node6-5,node7-2,-15,True,False,7
86,node6-5,node7-2,-15,True,False,7
87,node6-5,node7-2,-15,True,False,6
88,node6-5,node7-2,-15,True,False,7
89,node6-5,node7-2,-15,True,False,7
90,node6-5,node7-2,-15,True,False,5
