seq,src,dst,noise,received,error,rssi
1,node1-4,node7-2,-10,True,False,7
2,node1-4,node7-2,-10,True,False,6
3,node1-4,node7-2,-10,True,False,5
4,node1-4,node7-2,-10,True,False,5
5,node1-4,node7-2,-10,True,False,6
6,node1-4,node7-2,-10,True,False,6
7,node1-4,node7-2,-10,True,False,4
8,node1-4,node7-2,-10,True,False,3
9,node1-4,node7-2,-10,True,False,3
10,node1-4,node7-2,-10,True,False,5
11,node1-4,node7-2,-10,True,False,4
12,node1-4,node7-2,-10,True,False,3
13,node1-4,node7-2,-10,True,False,4
14,node1-4,node7-2,-10,True,False,4
15,node1-4,node7-2,-10,True,False,4
16,node1-4,node7-2,-10,True,False,5
17,node1-4,node7-2,-10,True,False,5
18,node1-4,node7-2,-10,True,False,4
19,node1-4,node7-2,-10,True,False,4
20,node1-4,node7-2,-10,True,False,6
21,node1-4,node7-2,-10,True,False,3
22,node1-4,node7-2,-10,True,False,4
23,node1-4,node7-2,-10,True,False,4
24,node1-4,node7-2,-10,True,False,4
25,node1-4,node7-2,-10,True,False,3
26,node1-4,node7-2,-10,True,False,4
27,node1-4,node7-2,-10,True,False,3
28,node1-4,node7-2,-10,True,False,4
29,node1-4,node7-2,-10,True,False,4
30,node1-4,node7-2,-10,True,False,5
31,node1-4,node7-2,-10,True,False,3
32,node1-4,node7-2,-10,True,False,5
33,node1-4,node7-2,-10,True,False,4
34,node1-4,node7-2,-10,True,False,3
35,node1-4,node7-2,-10,True,False,3
36,node1-4,node7-2,-10,True,False,2
37,node1-4,node7-2,-10,True,False,4
38,node1-4,node7-2,-10,True,False,4
39,node1-4,node7-2,-10,True,False,3
40,node1-4,node7-2,-10,True,False,6
41,node1-4,node7-2,-10,True,False,4
42,node1-4,node7-2,-10,True,False,3
43,node1-4,node7-2,-10,True,False,4
44,node1-4,node7-2,-10,True,False,3
45,node1-4,node7-2,-10,True,False,5
46,node1-4,node7-2,-10,True,False,4
47,node1-4,node7-2,-10,True,False,4
48,node1-4,node7-2,-10,True,False,6
49,node1-4,node7-2,-10,True,False,1
50,node1-4,node7-2,-10,True,False,6
51,node1-4,node7-2,-10,True,False,4
52,node1-4,node7-2,-10,True,False,3
53,node1-4,node7-2,-10,True,False,4
54,node1-4,node7-2,-10,True,False,5
55,node1-4,node7-2,-10,True,False,4
56,node1-4,node7-2,-10,True,False,3
57,node1-4,node7-2,-10,True,False,4
58,node1-4,node7-2,-10,True,False,5
59,node1-4,node7-2,-10,True,False,5
60,node1-4,node7-2,-10,True,False,3
61,node1-4,node7-2,-10,True,False,4
62,node1-4,node7-2,-10,True,False,4
63,node1-4,node7-2,-10,True,False,4
64,node1-4,node7-2,-10,True,False,2
65,node1-4,node7-2,-10,True,False,4
66,node1-4,node7-2,-10,True,False,4
67,node1-4,node7-2,-10,True,False,4
68,node1-4,node7-2,-10,True,False,4
69,node1-4,node7-2,-10,True,False,5
70,node1-4,node7-2,-10,True,False,5
71,node1-4,node7-2,-10,True,False,4
72,node1-4,node7-2,-10,True,False,4
73,node1-4,node7-2,-10,True,False,6
74,node1-4,node7-2,-10,True,False,6
75,node1-4,node7-2,-10,True,False,4
76,node1-4,node7-2,-10,True,False,4
77,node1-4,node7-2,-10,True,False,5
78,node1-4,node7-2,-10,True,False,4
79,node1-4,node7-2,-10,True,False,4
80,node1-4,node7-2,-10,True,False,5
81,node1-4,node7-2,-10,True,False,1
82,node1-4,node7-2,-10,True,False,4
83,node1-4,node7-2,-10,True,False,4
84,node1-4,node7-2,-10,True,False,5
85,node1-4,node7-2,-10,True,False,6
86,node1-4,node7-2,-10,True,False,4
87,node1-4,node7-2,-10,True,False,4
88,node1-4,node7-2,-10,True,False,4
89,node1-4,node7-2,-10,True,False,6
90,node1-4,node7-2,-10,True,False,4
91,node1-4,node7-2,-10,True,False,4
92,node1-4,node7-2,-10,True,False,3
93,node1-4,node7-2,-10,True,False,6
94,node1-4,node7-2,-10,True,False,4
95,node1-4,node7-2,-10,True,False,5
96,node1-4,node7-2,-10,True,False,5
97,node1-4,node7-2,-10,True,False,5
98,node1-4,node7-2,-10,True,False,5
99,node1-4,node7-2,-10,True,False,4
100,node1-4,node7-2,-10,True,False,4
101,node1-4,node7-2,-10,True,False,6
102,node1-4,node7-2,-10,True,False,6
103,node1-4,node7-2,-10,True,False,7
104,node1-4,node7-2,-10,True,False,3
105,node1-4,node7-2,-10,True,False,4
106,node1-4,node7-2,-10,True,False,5
107,node1-4,node7-2,-10,True,False,5
108,node1-4,node7-2,-10,True,False,3
109,node1-4,node7-2,-10,True,False,2
110,node1-4,node7-2,-10,True,False,5
111,node1-4,node7-2,-10,True,False,3
112,node1-4,node7-2,-10,True,False,4
113,node1-4,node7-2,-10,True,False,3
114,node1-4,node7-2,-10,True,False,5
115,node1-4,node7-2,-10,True,False,5
116,node1-4,node7-2,-10,True,False,3
