seq,src,dst,noise,received,error,rssi
1,node6-3,node7-2,-15,True,False,12
2,node6-3,node7-2,-15,True,False,11
3,node6-3,node7-2,-15,True,False,8
4,node6-3,node7-2,-15,True,False,9
5,node6-3,node7-2,-15,True,False,7
6,node6-3,node7-2,-15,True,False,8
7,node6-3,node7-2,-15,True,False,7
8,node6-3,node7-2,-15,True,False,9
9,node6-3,node7-2,-15,True,False,9
10,node6-3,node7-2,-15,True,False,8
11,node6-3,node7-2,-15,True,False,7
12,node6-3,node7-2,-15,True,False,9
13,node6-3,node7-2,-15,True,False,7
14,node6-3,node7-2,-15,True,False,9
15,node6-3,node7-2,-15,True,False,8
16,node6-3,node7-2,-15,True,False,8
17,node6-3,node7-2,-15,True,False,9
18,node6-3,node7-2,-15,True,False,9
19,node6-3,node7-2,-15,True,False,10
20,node6-3,node7-2,-15,True,False,8
21,node6-3,node7-2,-15,True,False,8
22,node6-3,node7-2,-15,True,False,8
23,node6-3,node7-2,-15,True,False,8
24,node6-3,node7-2,-15,True,False,8
25,node6-3,node7-2,-15,True,False,8
26,node6-3,node7-2,-15,True,False,9
27,node6-3,node7-2,-15,True,False,9
28,node6-3,node7-2,-15,True,False,6
29,node6-3,node7-2,-15,True,False,8
30,node6-3,node7-2,-15,True,False,8
31,node6-3,node7-2,-15,True,False,9
32,node6-3,node7-2,-15,True,False,8
33,node6-3,node7-2,-15,True,False,7
34,node6-3,node7-2,-15,True,False,8
35,node6-3,node7-2,-15,True,False,9
36,node6-3,node7-2,-15,True,False,8
37,node6-3,node7-2,-15,True,False,7
38,node6-3,node7-2,-15,True,False,9
39,node6-3,node7-2,-15,True,False,7
40,node6-3,node7-2,-15,True,False,8
41,node6-3,node7-2,-15,True,False,7
42,node6-3,node7-2,-15,True,False,7
43,node6-3,node7-2,-15,True,False,10
44,node6-3,node7-2,-15,True,False,8
45,node6-3,node7-2,-15,True,False,8
46,node6-3,node7-2,-15,True,False,8
47,node6-3,node7-2,-15,True,False,9
48,node6-3,node7-2,-15,True,False,7
49,node6-3,node7-2,-15,True,False,8
50,node6-3,node7-2,-15,True,False,9
51,node6-3,node7-2,-15,True,False,7
52,node6-3,node7-2,-15,True,False,8
53,node6-3,node7-2,-15,True,False,8
54,node6-3,node7-2,-15,True,False,8
55,node6-3,node7-2,-15,True,False,9
56,node6-3,node7-2,-15,True,False,9
57,node6-3,node7-2,-15,True,False,8
58,node6-3,node7-2,-15,True,False,8
59,node6-3,node7-2,-15,True,False,7
60,node6-3,node7-2,-15,True,False,7
61,node6-3,node7-2,-15,True,False,8
62,node6-3,node7-2,-15,True,False,8
63,node6-3,node7-2,-15,True,False,8
64,node6-3,node7-2,-15,True,False,8
65,node6-3,node7-2,-15,True,False,8
66,node6-3,node7-2,-15,True,False,9
67,node6-3,node7-2,-15,True,False,9
68,node6-3,node7-2,-15,True,False,8
69,node6-3,node7-2,-15,True,False,7
70,node6-3,node7-2,-15,True,False,7
71,node6-3,node7-2,-15,True,False,8
72,node6-3,node7-2,-15,True,False,8
73,node6-3,node7-2,-15,True,False,9
74,node6-3,node7-2,-15,True,False,8
75,node6-3,node7-2,-15,True,False,8
76,node6-3,node7-2,-15,True,False,8
77,node6-3,node7-2,-15,True,False,7
78,node6-3,node7-2,-15,True,False,8
79,node6-3,node7-2,-15,True,False,8
80,node6-3,node7-2,-15,True,False,8
81,node6-3,node7-2,-15,True,False,8
82,node6-3,node7-2,-15,True,False,8
83,node6-3,node7-2,-15,True,False,8
84,node6-3,node7-2,-15,True,False,6
85,node6-3,node7-2,-15,True,False,9
86,node6-3,node7-2,-15,True,False,7
87,node6-3,node7-2,-15,True,False,8
88,node6-3,node7-2,-15,True,False,8
89,node6-3,node7-2,-15,True,False,7
90,node6-3,node7-2,-15,True,False,8
91,node6-3,node7-2,-15,True,False,6
92,node6-3,node7-2,-15,True,False,8
93,node6-3,node7-2,-15,True,False,8
94,node6-3,node7-2,-15,True,False,8
95,node6-3,node7-2,-15,True,False,8
96,node6-3,node7-2,-15,True,False,8
97,node6-3,node7-2,-15,True,False,9
98,node6-3,node7-2,-15,True,False,7
99,node6-3,node7-2,-15,True,False,8
100,node6-3,node7-2,-15,True,False,8
101,node6-3,node7-2,-15,True,False,9
102,node6-3,node7-2,-15,True,False,8
103,node6-3,node7-2,-15,True,False,9
