seq,src,dst,noise,received,error,rssi
1,node6-1,node4-1,-10,True,False,23
2,node6-1,node4-1,-10,True,False,23
3,node6-1,node4-1,-10,True,False,20
4,node6-1,node4-1,-10,True,False,18
5,node6-1,node4-1,-10,True,False,18
6,node6-1,node4-1,-10,True,False,18
7,node6-1,node4-1,-10,True,False,18
8,node6-1,node4-1,-10,True,False,18
9,node6-1,node4-1,-10,True,False,17
10,node6-1,node4-1,-10,True,False,18
11,node6-1,node4-1,-10,True,False,18
12,node6-1,node4-1,-10,True,False,18
13,node6-1,node4-1,-10,True,False,18
14,node6-1,node4-1,-10,True,False,18
15,node6-1,node4-1,-10,True,False,18
16,node6-1,node4-1,-10,True,False,18
17,node6-1,node4-1,-10,True,False,18
18,node6-1,node4-1,-10,True,False,18
19,node6-1,node4-1,-10,True,False,19
20,node6-1,node4-1,-10,True,False,18
21,node6-1,node4-1,-10,True,False,19
22,node6-1,node4-1,-10,True,False,18
23,node6-1,node4-1,-10,True,False,17
24,node6-1,node4-1,-10,True,False,19
25,node6-1,node4-1,-10,True,False,18
26,node6-1,node4-1,-10,True,False,18
27,node6-1,node4-1,-10,True,False,18
28,node6-1,node4-1,-10,True,False,18
29,node6-1,node4-1,-10,True,False,18
30,node6-1,node4-1,-10,True,False,18
31,node6-1,node4-1,-10,True,False,18
32,node6-1,node4-1,-10,True,False,18
33,node6-1,node4-1,-10,True,False,18
34,node6-1,node4-1,-10,True,False,18
35,node6-1,node4-1,-10,True,False,18
36,node6-1,node4-1,-10,True,False,18
37,node6-1,node4-1,-10,True,False,18
38,node6-1,node4-1,-10,True,False,17
39,node6-1,node4-1,-10,True,False,18
40,node6-1,node4-1,-10,True,False,18
41,node6-1,node4-1,-10,True,False,18
42,node6-1,node4-1,-10,True,False,19
43,node6-1,node4-1,-10,True,False,18
44,node6-1,node4-1,-10,True,False,18
45,node6-1,node4-1,-10,True,False,17
46,node6-1,node4-1,-10,True,False,18
47,node6-1,node4-1,-10,True,False,18
48,node6-1,node4-1,-10,True,False,18
49,node6-1,node4-1,-10,True,False,18
50,node6-1,node4-1,-10,True,False,18
51,node6-1,node4-1,-10,True,False,18
52,node6-1,node4-1,-10,True,False,18
53,node6-1,node4-1,-10,True,False,18
54,node6-1,node4-1,-10,True,False,19
55,node6-1,node4-1,-10,True,False,18
56,node6-1,node4-1,-10,True,False,19
57,node6-1,node4-1,-10,True,False,19
58,node6-1,node4-1,-10,True,False,17
59,node6-1,node4-1,-10,True,False,18
60,node6-1,node4-1,-10,True,False,18
61,node6-1,node4-1,-10,True,False,18
62,node6-1,node4-1,-10,True,False,17
63,node6-1,node4-1,-10,True,False,18
64,node6-1,node4-1,-10,True,False,18
65,node6-1,node4-1,-10,True,False,18
66,node6-1,node4-1,-10,True,False,18
67,node6-1,node4-1,-10,True,False,18
68,node6-1,node4-1,-10,True,False,18
69,node6-1,node4-1,-10,True,False,18
70,node6-1,node4-1,-10,True,False,18
71,node6-1,node4-1,-10,True,False,19
72,node6-1,node4-1,-10,True,False,18
73,node6-1,node4-1,-10,True,False,19
74,node6-1,node4-1,-10,True,False,18
75,node6-1,node4-1,-10,True,False,17
76,node6-1,node4-1,-10,True,False,18
77,node6-1,node4-1,-10,True,False,18
78,node6-1,node4-1,-10,True,False,18
79,node6-1,node4-1,-10,True,False,18
80,node6-1,node4-1,-10,True,False,18
81,node6-1,node4-1,-10,True,False,18
82,node6-1,node4-1,-10,True,False,18
83,node6-1,node4-1,-10,True,False,18
84,node6-1,node4-1,-10,True,False,18
85,node6-1,node4-1,-10,True,False,17
86,node6-1,node4-1,-10,True,False,18
87,node6-1,node4-1,-10,True,False,18
88,node6-1,node4-1,-10,True,False,19
89,node6-1,node4-1,-10,True,False,19
90,node6-1,node4-1,-10,True,False,18
91,node6-1,node4-1,-10,True,False,18
92,node6-1,node4-1,-10,True,False,18
93,node6-1,node4-1,-10,True,False,18
94,node6-1,node4-1,-10,True,False,18
95,node6-1,node4-1,-10,True,False,19
96,node6-1,node4-1,-10,True,False,19
97,node6-1,node4-1,-10,True,False,17
98,node6-1,node4-1,-10,True,False,18
99,node6-1,node4-1,-10,True,False,18
100,node6-1,node4-1,-10,True,False,18
101,node6-1,node4-1,-10,True,False,19
102,node6-1,node4-1,-10,True,False,18
103,node6-1,node4-1,-10,True,False,18
104,node6-1,node4-1,-10,True,False,19
105,node6-1,node4-1,-10,True,False,18
106,node6-1,node4-1,-10,True,False,18
107,node6-1,node4-1,-10,True,False,18
108,node6-1,node4-1,-10,True,False,18
109,node6-1,node4-1,-10,True,False,18
