seq,src,dst,noise,received,error,rssi
1,node8-1,node7-4,-15,True,False,12
2,node8-1,node7-4,-15,True,False,11
3,node8-1,node7-4,-15,True,False,8
4,node8-1,node7-4,-15,True,False,8
5,node8-1,node7-4,-15,True,False,7
6,node8-1,node7-4,-15,True,False,7
7,node8-1,node7-4,-15,True,False,6
8,node8-1,node7-4,-15,True,False,7
9,node8-1,node7-4,-15,True,False,8
10,node8-1,node7-4,-15,True,False,9
11,node8-1,node7-4,-15,True,False,9
12,node8-1,node7-4,-15,True,False,8
13,node8-1,node7-4,-15,True,False,7
14,node8-1,node7-4,-15,True,False,9
15,node8-1,node7-4,-15,True,False,8
16,node8-1,node7-4,-15,True,False,8
17,node8-1,node7-4,-15,True,False,7
18,node8-1,node7-4,-15,True,False,7
19,node8-1,node7-4,-15,True,False,8
20,node8-1,node7-4,-15,True,False,7
21,node8-1,node7-4,-15,True,False,7
22,node8-1,node7-4,-15,True,False,8
23,node8-1,node7-4,-15,True,False,5
24,node8-1,node7-4,-15,True,False,7
25,node8-1,node7-4,-15,True,False,7
26,node8-1,node7-4,-15,True,False,7
27,node8-1,node7-4,-15,True,False,7
28,node8-1,node7-4,-15,True,False,7
29,node8-1,node7-4,-15,True,False,8
30,node8-1,node7-4,-15,True,False,9
31,node8-1,node7-4,-15,True,False,8
32,node8-1,node7-4,-15,True,False,8
33,node8-1,node7-4,-15,True,False,9
34,node8-1,node7-4,-15,True,False,7
35,node8-1,node7-4,-15,True,False,9
36,node8-1,node7-4,-15,True,False,7
37,node8-1,node7-4,-15,True,False,9
38,node8-1,node7-4,-15,True,False,7
39,node8-1,node7-4,-15,True,False,5
40,node8-1,node7-4,-15,True,False,8
41,node8-1,node7-4,-15,True,False,8
42,node8-1,node7-4,-15,True,False,7
43,node8-1,node7-4,-15,True,False,5
44,node8-1,node7-4,-15,True,False,8
45,node8-1,node7-4,-15,True,False,7
46,node8-1,node7-4,-15,True,False,8
47,node8-1,node7-4,-15,True,False,8
48,node8-1,node7-4,-15,True,False,10
49,node8-1,node7-4,-15,True,False,7
50,node8-1,node7-4,-15,True,False,8
51,node8-1,node7-4,-15,True,False,6
52,node8-1,node7-4,-15,True,False,6
53,node8-1,node7-4,-15,True,False,7
54,node8-1,node7-4,-15,True,False,7
55,node8-1,node7-4,-15,True,False,8
56,node8-1,node7-4,-15,True,False,8
57,node8-1,node7-4,-15,True,False,8
58,node8-1,node7-4,-15,True,False,8
59,node8-1,node7-4,-15,True,False,8
60,node8-1,node7-4,-15,True,False,7
61,node8-1,node7-4,-15,True,False,7
62,node8-1,node7-4,-15,True,False,8
63,node8-1,node7-4,-15,True,False,7
64,node8-1,node7-4,-15,True,False,8
65,node8-1,node7-4,-15,True,False,7
66,node8-1,node7-4,-15,True,False,9
67,node8-1,node7-4,-15,True,False,7
68,node8-1,node7-4,-15,True,False,7
69,node8-1,node7-4,-15,True,False,8
70,node8-1,node7-4,-15,True,False,8
71,node8-1,node7-4,-15,True,False,7
72,node8-1,node7-4,-15,True,False,6
73,node8-1,node7-4,-15,True,False,6
74,node8-1,node7-4,-15,True,False,7
75,node8-1,node7-4,-15,True,False,8
76,node8-1,node7-4,-15,True,False,8
77,node8-1,node7-4,-15,True,False,5
78,node8-1,node7-4,-15,True,False,8
79,node8-1,node7-4,-15,True,False,8
80,node8-1,node7-4,-15,True,False,9
81,node8-1,node7-4,-15,True,False,8
82,node8-1,node7-4,-15,True,False,9
83,node8-1,node7-4,-15,True,False,8
84,node8-1,node7-4,-15,True,False,7
85,node8-1,node7-4,-15,True,False,8
86,node8-1,node7-4,-15,True,False,7
87,node8-1,node7-4,-15,True,False,8
88,node8-1,node7-4,-15,True,False,8
89,node8-1,node7-4,-15,True,False,8
90,node8-1,node7-4,-15,True,False,7
91,node8-1,node7-4,-15,True,False,8
92,node8-1,node7-4,-15,True,False,8
93,node8-1,node7-4,-15,True,False,6
94,node8-1,node7-4,-15,True,False,7
95,node8-1,node7-4,-15,True,False,8
96,node8-1,node7-4,-15,True,False,7
97,node8-1,node7-4,-15,True,False,6
98,node8-1,node7-4,-15,True,False,7
99,node8-1,node7-4,-15,True,False,8
100,node8-1,node7-4,-15,True,False,8
101,node8-1,node7-4,-15,True,False,9
102,node8-1,node7-4,-15,True,False,8
103,node8-1,node7-4,-15,True,False,7
104,node8-1,node7-4,-15,True,False,8
105,node8-1,node7-4,-15,True,False,6
106,node8-1,node7-4,-15,True,False,8
107,node8-1,node7-4,-15,True,False,9
108,node8-1,node7-4,-15,True,False,9
109,node8-1,node7-4,-15,True,False,6
110,node8-1,node7-4,-15,True,False,8
111,node8-1,node7-4,-15,True,False,8
112,node8-1,node7-4,-15,True,False,8
113,node8-1,node7-4,-15,True,False,8
114,node8-1,node7-4,-15,True,False,7
115,node8-1,node7-4,-15,True,False,8
116,node8-1,node7-4,-15,True,False,7
117,node8-1,node7-4,-15,True,False,8
118,node8-1,node7-4,-15,True,False,8
119,node8-1,node7-4,-15,True,False,9
120,node8-1,node7-4,-15,True,False,7
121,node8-1,node7-4,-15,True,False,8
122,node8-1,node7-4,-15,True,False,8
123,node8-1,node7-4,-15,True,False,8
124,node8-1,node7-4,-15,True,False,8
125,node8-1,node7-4,-15,True,False,7
126,node8-1,node7-4,-15,True,False,5
127,node8-1,node7-4,-15,True,False,6
128,node8-1,node7-4,-15,True,False,7
129,node8-1,node7-4,-15,True,False,8
130,node8-1,node7-4,-15,True,False,9
131,node8-1,node7-4,-15,True,False,7
132,node8-1,node7-4,-15,True,False,7
133,node8-1,node7-4,-15,True,False,9
134,node8-1,node7-4,-15,True,False,6
135,node8-1,node7-4,-15,True,False,7
136,node8-1,node7-4,-15,True,False,7
137,node8-1,node7-4,-15,True,False,8
138,node8-1,node7-4,-15,True,False,8
139,node8-1,node7-4,-15,True,False,7
140,node8-1,node7-4,-15,True,False,8
141,node8-1,node7-4,-15,True,False,7
142,node8-1,node7-4,-15,True,False,8
143,node8-1,node7-4,-15,True,False,8
144,node8-1,node7-4,-15,True,False,6
145,node8-1,node7-4,-15,True,False,9
146,node8-1,node7-4,-15,True,False,6
147,node8-1,node7-4,-15,True,False,8
148,node8-1,node7-4,-15,True,False,7
149,node8-1,node7-4,-15,True,False,7
150,node8-1,node7-4,-15,True,False,9
151,node8-1,node7-4,-15,True,False,8
152,node8-1,node7-4,-15,True,False,6
153,node8-1,node7-4,-15,True,False,7
154,node8-1,node7-4,-15,True,False,5
155,node8-1,node7-4,-15,True,False,8
156,node8-1,node7-4,-15,True,False,9
157,node8-1,node7-4,-15,True,False,8
158,node8-1,node7-4,-15,True,False,6
159,node8-1,node7-4,-15,True,False,8
160,node8-1,node7-4,-15,True,False,7
161,node8-1,node7-4,-15,True,False,9
162,node8-1,node7-4,-15,True,False,7
163,node8-1,node7-4,-15,True,False,7
164,node8-1,node7-4,-15,True,False,7
165,node8-1,node7-4,-15,True,False,6
166,node8-1,node7-4,-15,True,False,8
167,node8-1,node7-4,-15,True,False,8
168,node8-1,node7-4,-15,True,False,7
169,node8-1,node7-4,-15,True,False,7
170,node8-1,node7-4,-15,True,False,9
171,node8-1,node7-4,-15,True,False,8
172,node8-1,node7-4,-15,True,False,9
173,node8-1,node7-4,-15,True,False,8
174,node8-1,node7-4,-15,True,False,7
175,node8-1,node7-4,-15,True,False,7
176,node8-1,node7-4,-15,True,False,7
177,node8-1,node7-4,-15,True,False,6
178,node8-1,node7-4,-15,True,False,8
179,node8-1,node7-4,-15,True,False,8
180,node8-1,node7-4,-15,True,False,8
181,node8-1,node7-4,-15,True,False,6
182,node8-1,node7-4,-15,True,False,9
183,node8-1,node7-4,-15,True,False,7
184,node8-1,node7-4,-15,True,False,9
185,node8-1,node7-4,-15,True,False,9
186,node8-1,node7-4,-15,True,False,7
187,node8-1,node7-4,-15,True,False,8
188,node8-1,node7-4,-15,True,False,6
189,node8-1,node7-4,-15,True,False,8
190,node8-1,node7-4,-15,True,False,8
191,node8-1,node7-4,-15,True,False,8
192,node8-1,node7-4,-15,True,False,7
193,node8-1,node7-4,-15,True,False,7
194,node8-1,node7-4,-15,True,False,7
195,node8-1,node7-4,-15,True,False,9
196,node8-1,node7-4,-15,True,False,8
197,node8-1,node7-4,-15,True,False,8
198,node8-1,node7-4,-15,True,False,6
199,node8-1,node7-4,-15,True,False,8
200,node8-1,node7-4,-15,True,False,6
201,node8-1,node7-4,-15,True,False,8
202,node8-1,node7-4,-15,True,False,8
203,node8-1,node7-4,-15,True,False,7
204,node8-1,node7-4,-15,True,False,8
205,node8-1,node7-4,-15,True,False,9
206,node8-1,node7-4,-15,True,False,8
207,node8-1,node7-4,-15,True,False,9
208,node8-1,node7-4,-15,True,False,7
209,node8-1,node7-4,-15,True,False,7
210,node8-1,node7-4,-15,True,False,8
211,node8-1,node7-4,-15,True,False,7
212,node8-1,node7-4,-15,True,False,7
213,node8-1,node7-4,-15,True,False,8
214,node8-1,node7-4,-15,True,False,8
215,node8-1,node7-4,-15,True,False,7
216,node8-1,node7-4,-15,True,False,8
217,node8-1,node7-4,-15,True,False,9
218,node8-1,node7-4,-15,True,False,7
219,node8-1,node7-4,-15,True,False,8
220,node8-1,node7-4,-15,True,False,6
221,node8-1,node7-4,-15,True,False,7
222,node8-1,node7-4,-15,True,False,7
223,node8-1,node7-4,-15,True,False,9
224,node8-1,node7-4,-15,True,False,7
225,node8-1,node7-4,-15,True,False,7
226,node8-1,node7-4,-15,True,False,8
227,node8-1,node7-4,-15,True,False,6
228,node8-1,node7-4,-15,True,False,7
229,node8-1,node7-4,-15,True,False,9
230,node8-1,node7-4,-15,True,False,8
231,node8-1,node7-4,-15,True,False,8
232,node8-1,node7-4,-15,True,False,6
233,node8-1,node7-4,-15,True,False,8
234,node8-1,node7-4,-15,True,False,8
235,node8-1,node7-4,-15,True,False,7
236,node8-1,node7-4,-15,True,False,8
237,node8-1,node7-4,-15,True,False,6
238,node8-1,node7-4,-15,True,False,7
239,node8-1,node7-4,-15,True,False,8
240,node8-1,node7-4,-15,True,False,6
241,node8-1,node7-4,-15,True,False,9
242,node8-1,node7-4,-15,True,False,8
243,node8-1,node7-4,-15,True,False,7
244,node8-1,node7-4,-15,True,False,8
245,node8-1,node7-4,-15,True,False,9
246,node8-1,node7-4,-15,True,False,8
247,node8-1,node7-4,-15,True,False,8
248,node8-1,node7-4,-15,True,False,8
249,node8-1,node7-4,-15,True,False,7
250,node8-1,node7-4,-15,True,False,7
251,node8-1,node7-4,-15,True,False,8
252,node8-1,node7-4,-15,True,False,8
253,node8-1,node7-4,-15,True,False,8
254,node8-1,node7-4,-15,True,False,9
255,node8-1,node7-4,-15,True,False,8
