seq,src,dst,noise,received,error,rssi
1,node4-3,node3-2,-5,True,False,16
2,node4-3,node3-2,-5,True,False,15
3,node4-3,node3-2,-5,True,False,12
4,node4-3,node3-2,-5,True,False,9
5,node4-3,node3-2,-5,True,False,8
6,node4-3,node3-2,-5,True,False,10
7,node4-3,node3-2,-5,True,False,9
8,node4-3,node3-2,-5,True,False,9
9,node4-3,node3-2,-5,True,False,9
10,node4-3,node3-2,-5,True,False,10
11,node4-3,node3-2,-5,True,False,9
12,node4-3,node3-2,-5,True,False,11
13,node4-3,node3-2,-5,True,False,9
14,node4-3,node3-2,-5,True,False,9
15,node4-3,node3-2,-5,True,False,9
16,node4-3,node3-2,-5,True,False,9
17,node4-3,node3-2,-5,True,False,8
18,node4-3,node3-2,-5,True,False,9
19,node4-3,node3-2,-5,True,False,10
20,node4-3,node3-2,-5,True,False,9
21,node4-3,node3-2,-5,True,False,9
22,node4-3,node3-2,-5,True,False,9
23,node4-3,node3-2,-5,True,False,10
24,node4-3,node3-2,-5,True,False,8
25,node4-3,node3-2,-5,True,False,9
26,node4-3,node3-2,-5,True,False,9
27,node4-3,node3-2,-5,True,False,9
28,node4-3,node3-2,-5,True,False,10
29,node4-3,node3-2,-5,True,False,8
30,node4-3,node3-2,-5,True,False,10
31,node4-3,node3-2,-5,True,False,9
32,node4-3,node3-2,-5,True,False,10
33,node4-3,node3-2,-5,True,False,9
34,node4-3,node3-2,-5,True,False,9
35,node4-3,node3-2,-5,True,False,9
36,node4-3,node3-2,-5,True,False,10
37,node4-3,node3-2,-5,True,False,9
38,node4-3,node3-2,-5,True,False,9
39,node4-3,node3-2,-5,True,False,9
40,node4-3,node3-2,-5,True,False,10
41,node4-3,node3-2,-5,True,False,8
42,node4-3,node3-2,-5,True,False,9
43,node4-3,node3-2,-5,True,False,10
44,node4-3,node3-2,-5,True,False,10
45,node4-3,node3-2,-5,True,False,9
46,node4-3,node3-2,-5,True,False,10
47,node4-3,node3-2,-5,True,False,10
48,node4-3,node3-2,-5,True,False,9
49,node4-3,node3-2,-5,True,False,10
50,node4-3,node3-2,-5,True,False,9
51,node4-3,node3-2,-5,True,False,8
52,node4-3,node3-2,-5,True,False,9
53,node4-3,node3-2,-5,True,False,8
54,node4-3,node3-2,-5,True,False,10
55,node4-3,node3-2,-5,True,False,10
56,node4-3,node3-2,-5,True,False,8
57,node4-3,node3-2,-5,True,False,8
58,node4-3,node3-2,-5,True,False,9
59,node4-3,node3-2,-5,True,False,10
60,node4-3,node3-2,-5,True,False,10
61,node4-3,node3-2,-5,True,False,9
62,node4-3,node3-2,-5,True,False,11
63,node4-3,node3-2,-5,True,False,9
64,node4-3,node3-2,-5,True,False,10
65,node4-3,node3-2,-5,True,False,8
66,node4-3,node3-2,-5,True,False,9
67,node4-3,node3-2,-5,True,False,9
68,node4-3,node3-2,-5,True,False,8
69,node4-3,node3-2,-5,True,False,9
70,node4-3,node3-2,-5,True,False,9
71,node4-3,node3-2,-5,True,False,8
72,node4-3,node3-2,-5,True,False,8
73,node4-3,node3-2,-5,True,False,8
74,node4-3,node3-2,-5,True,False,8
75,node4-3,node3-2,-5,True,False,9
76,node4-3,node3-2,-5,True,False,9
77,node4-3,node3-2,-5,True,False,8
78,node4-3,node3-2,-5,True,False,10
79,node4-3,node3-2,-5,True,False,10
80,node4-3,node3-2,-5,True,False,9
81,node4-3,node3-2,-5,True,False,9
82,node4-3,node3-2,-5,True,False,8
83,node4-3,node3-2,-5,True,False,9
84,node4-3,node3-2,-5,True,False,8
85,node4-3,node3-2,-5,True,False,10
86,node4-3,node3-2,-5,True,False,8
87,node4-3,node3-2,-5,True,False,9
88,node4-3,node3-2,-5,True,False,9
89,node4-3,node3-2,-5,True,False,9
90,node4-3,node3-2,-5,True,False,8
91,node4-3,node3-2,-5,True,False,9
92,node4-3,node3-2,-5,True,False,8
93,node4-3,node3-2,-5,True,False,10
94,node4-3,node3-2,-5,True,False,8
95,node4-3,node3-2,-5,True,False,8
96,node4-3,node3-2,-5,True,False,9
97,node4-3,node3-2,-5,True,False,9
98,node4-3,node3-2,-5,True,False,9
99,node4-3,node3-2,-5,True,False,7
100,node4-3,node3-2,-5,True,False,8
